district,party,votes,sex,status
89,DEM,24526,male,challenger
90,DEM,13259,male,incumbent
91,REP,25906,female,incumbent
91,DEM,14588,male,challenger
92,REP,23320,male,incumbent
92,DEM,21389,male,challenger
0,LIB,1059,male,challenger
93,REP,22296,male,incumbent
93,DEM,19006,female,challenger
94,REP,24653,male,incumbent
94,DEM,20324,male,challenger
0,LIB,1416,female,challenger
95,REP,6567,male,challenger
95,DEM,23486,female,incumbent
0,LIB,401,male,challenger
96,REP,24536,male,incumbent
96,DEM,22658,male,challenger
0,LIB,746,male,challenger
97,REP,26160,male,incumbent
97,DEM,22551,female,challenger
0,LIB,752,male,challenger
98,REP,45587,male,incumbent
98,DEM,19773,male,challenger
0,LIB,1356,male,challenger
99,REP,27154,male,challenger
99,DEM,15045,male,challenger
100,DEM,23891,male,incumbent
101,DEM,21897,male,incumbent
101,LIB,2885,male,challenger
102,REP,19338,female,incumbent
102,DEM,22265,female,challenger
103,REP,5474,male,challenger
103,DEM,20814,male,incumbent
104,DEM,17112,female,challenger
105,REP,14805,male,incumbent
105,DEM,16943,female,challenger
106,REP,38135,male,challenger
106,DEM,27088,male,challenger
107,REP,15443,female,challenger
107,DEM,20517,male,incumbent
108,REP,27090,male,incumbent
108,DEM,28931,female,challenger
109,DEM,39554,male,challenger
109,W-I,596,male,challenger
110,DEM,17856,male,incumbent
111,DEM,33444,female,incumbent
112,REP,19075,female,incumbent
112,DEM,18541,male,challenger
113,REP,17696,male,challenger
113,DEM,20442,male,challenger
114,REP,21793,female,challenger
114,DEM,28010,male,challenger
115,REP,18976,male,incumbent
115,DEM,24373,female,challenger
116,REP,10380,male,challenger
116,DEM,24439,male,challenger
117,REP,17536,male,challenger
117,DEM,23591,male,incumbent
118,REP,13233,male,challenger
118,DEM,17561,male,challenger
119,DEM,21933,male,incumbent
120,REP,9724,male,challenger
120,DEM,20505,female,incumbent
121,REP,31367,male,challenger
121,DEM,25967,female,challenger
0,LIB,1016,female,challenger
122,REP,46298,male,incumbent
122,DEM,28214,female,challenger
123,DEM,27214,male,incumbent
124,REP,10958,male,challenger
124,DEM,22931,female,incumbent
125,DEM,24850,male,incumbent
125,LIB,5782,male,challenger
126,REP,21844,male,challenger
126,DEM,17027,female,challenger
127,REP,33882,male,incumbent
127,LIB,8014,male,challenger
128,REP,28064,male,incumbent
129,REP,23807,male,incumbent
129,DEM,18598,male,challenger
0,LIB,552,male,challenger
130,REP,38594,male,incumbent
130,DEM,16130,male,challenger
0,LIB,864,male,challenger
131,REP,3705,male,challenger
131,DEM,23962,female,incumbent
132,REP,25112,male,incumbent
132,DEM,23744,female,challenger
0,LIB,700,male,challenger
133,REP,28923,male,incumbent
133,DEM,21538,male,challenger
134,REP,31471,female,incumbent
134,DEM,30600,female,challenger
135,REP,19686,male,incumbent
135,DEM,20113,male,challenger
0,LIB,532,male,challenger
136,REP,25691,male,incumbent
136,DEM,33177,male,challenger
0,LIB,1412,male,challenger
137,DEM,11427,male,incumbent
137,LIB,1517,male,challenger
138,REP,17257,male,incumbent
138,DEM,17058,male,challenger
0,W-I,16,male,challenger
139,DEM,26166,male,incumbent
139,LIB,1939,male,challenger
140,DEM,11133,male,incumbent
141,DEM,18602,female,challenger
142,DEM,21994,male,incumbent
143,DEM,14342,female,challenger
144,REP,6097,male,challenger
144,DEM,8575,female,incumbent
145,DEM,15638,female,challenger
145,LIB,1714,male,challenger
146,DEM,24050,male,incumbent
146,LIB,1730,male,challenger
147,REP,6859,male,challenger
147,DEM,30913,male,incumbent
148,REP,10510,male,challenger
148,DEM,23173,female,incumbent
149,DEM,17965,male,incumbent
149,LIB,2548,male,challenger
150,REP,29852,female,incumbent
150,DEM,21017,male,challenger
