Order,Family,Genus,species,Sexual System,Karyotype,notes: Karyotype,Genotypic,Haplodiploidy,Chromosome number (female) 2N,Chromosome number (male) 2N
Blattodea,Blaberidae,Phoetalia,circumvagans,,XO,,male heterogametic,,54,53
Blattodea,Blaberidae,Phortioica,phoraspoides,,XO,,male heterogametic,,66,65
Blattodea,Blaberidae,Pinaconota,sicca,,XO,,male heterogametic,,34,33
Blattodea,Blaberidae,Proscratea,complanata,,XO,,male heterogametic,,36,35
Blattodea,Blaberidae,Pycnoscelus,indicus,,XO,,male heterogametic,,36,35
Blattodea,Blaberidae,Pycnoscelus,surinamensis,,,,,,35,
Blattodea,Blaberidae,Pycnoscelus,surinamensis,,,,,,53,
Blattodea,Blaberidae,Rhabdoblatta,annandalei,,XO,,male heterogametic,,50,49
Blattodea,Blaberidae,Rhabdoblatta,sp.39T,,XO,,male heterogametic,,32,31
Blattodea,Blaberidae,Sp.,sp41B,,XO,,male heterogametic,,30,29
Blattodea,Blattellidae,Agmoblatta,thaxteri,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Amazonina,conspersa,,XO,,male heterogametic,,24,23
Blattodea,Blattellidae,Amazonina,n.sp.,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Amazonina,n.sp.38B,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Attaphila,fungicola,,XO,,male heterogametic,,34,33
Blattodea,Blattellidae,Blattella,bisignata,,XO,,male heterogametic,,24,23
Blattodea,Blattellidae,Blattella,germanica,,XO,,male heterogametic,,24,23
Blattodea,Blattellidae,Blattella,lituricollis lituricollis,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Blattella,sauteri,,XO,,male heterogametic,,24,23
Blattodea,Blattellidae,Blattella,sp.C43T,,XO,,male heterogametic,,28,27
Blattodea,Blattellidae,Blattella,sp.D,,XO,,male heterogametic,,30,29
Blattodea,Blattellidae,Blattella,sp.E71A,,XO,,male heterogametic,,50,49
Blattodea,Blattellidae,Blattella,vaga,,XO,,male heterogametic,,24,23
Blattodea,Blattellidae,Cariblatta,lutea minima,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Dendroblatta,cnephaia,,XO,,male heterogametic,,32,31
Blattodea,Blattellidae,Dendroblatta,sobrina,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Ectobius,pallidus,,XO,,male heterogametic,,22,21
Blattodea,Blattellidae,Gislenia,australica,,XO,,male heterogametic,,34,33
Blattodea,Blattellidae,Hemithyrsocera,latera/is,,XO,,male heterogametic,,26,25
Blattodea,Blattellidae,Ischnoptera,castanea,,XO,,male heterogametic,,34,33
Blattodea,Blattellidae,Ischnoptera,deropeltiformis,,XO,,male heterogametic,,50,49
Blattodea,Blattellidae,Ischnoptera,galibi,,XO,,male heterogametic,,44,43
Blattodea,Blattellidae,Ischnoptera,mura,,XO,,male heterogametic,,34,33
Blattodea,Blattellidae,Ischnoptera,panamae,,XO,,male heterogametic,,40,39
Blattodea,Blattellidae,Ischnoptera,rufa rufa,,XO,,male heterogametic,,40,39
Blattodea,Blattellidae,Ischnoptera,sp.93B,,XO,,male heterogametic,,38,37
Blattodea,Blattellidae,Loboptera,decipiens,,XO,,male heterogametic,,34,33
Blattodea,Blattellidae,Lobopterella,dimidiatipes,,XO,,male heterogametic,,38,37
Blattodea,Blattellidae,Lophoblatta,brevis,,XO,,male heterogametic,,32,31
Blattodea,Blattellidae,Lophoblatta,fissa,,XO,,male heterogametic,,16,15
Blattodea,Blattellidae,Lupparia,notulata,,XO,,male heterogametic,,20,19
Blattodea,Blattellidae,Margattea,punctulata,,XO,,male heterogametic,,32,31
Blattodea,Blattellidae,Nahublattella,n.sp.72B,,XO,,male heterogametic,,20,19
Blattodea,Blattellidae,Parasymploce,limbata,,XO,,male heterogametic,,24,23
Blattodea,Blattellidae,Parasymploce,sp.25T,,XO,,male heterogametic,,32,31
Blattodea,Blattellidae,Parasymploce,sp.30T,,XO,,male heterogametic,,32,31
Blattodea,Blattellidae,Parcoblatta,fulvescens,,XO,,male heterogametic,,38,37
Blattodea,Blattellidae,Parcoblatta,pennsylvanica,,XO,,male heterogametic,,38,37
Blattodea,Blattellidae,Pseudomops,septentrionalis,,XO,,male heterogametic,,32,31
Blattodea,Blattellidae,Shawella,couloniana,,XO,,male heterogametic,,36,35
Blattodea,Blattellidae,Supella,longipalpa,,XO,,male heterogametic,,20,19
Blattodea,Blattellidae,Symploce,capitata,,XO,,male heterogametic,,28,27
Blattodea,Blattellidae,Symploce,fusca,,XO,,male heterogametic,,30,29
Blattodea,Blattellidae,Symplocodes,marmorata,,XO,,male heterogametic,,40,39
Blattodea,Blattellidae,Symplocodes,n.sp.50,,XO,,male heterogametic,,38,37
Blattodea,Blattellidae,Xestoblatta,immaculata,,XO,,male heterogametic,,38,37
Blattodea,Blattidae,Blatta,orientalis,,XO,,male heterogametic,,48,47
Blattodea,Blattidae,Cryptocercus,punctulatus,,XO,,male heterogametic,,40,39
Blattodea,Blattidae,Deropeltis,erythrocephala,,XO,,male heterogametic,,50,49
Blattodea,Blattidae,Duchailluia,n.sp.,,XO,,male heterogametic,,42,41
Blattodea,Blattidae,Eurycotis,biolleyi,,XO,,male heterogametic,,22,21
Blattodea,Blattidae,Eurycotis,decipiens,,XO,,male heterogametic,,28,27
Blattodea,Blattidae,Eurycotis,floridana,,XO,,male heterogametic,,28,27
Blattodea,Blattidae,Lamproblatta,albipalpus,,XO,,male heterogametic,,18,17
Blattodea,Blattidae,Pelmatosilpha,coriacea,,XO,,male heterogametic,,38,37
Blattodea,Blattidae,Periplaneta,americana,,XO,,male heterogametic,,34,33
Blattodea,Blattidae,Periplaneta,australasiae,,XO,,male heterogametic,,28,27
Blattodea,Blattidae,Periplaneta,brunnea,,XO,,male heterogametic,,28,27
Blattodea,Blattidae,Periplaneta,fuliginosa,,XO,,male heterogametic,,28,27
Blattodea,Blattidae,Periplaneta,japonica,,XO,,male heterogametic,,34,33
Blattodea,Polyphagidae,Arenivaga,investigata,,XO,,male heterogametic,,46,45
Blattodea,Polyphagidae,Cryptocercus,primarius,,XO, multivalent absent order listed as Dictyoptera,male heterogametic,,20,19
Blattodea,Polyphagidae,Cryptocercus,punctulatus,gonochorous,XO, multivalent absent order listed as Dictyoptera,male heterogametic,,48,47
Blattodea,Polyphagidae,Cryptocercus,punctulatus,,XO, multivalent absent order listed as Dictyoptera,male heterogametic,,38,37
Blattodea,Polyphagidae,Cryptocercus,relictus,,XO, multivalent absent order listed as Dictyoptera,male heterogametic,,18,17
Blattodea,Polyphagidae,Latindia,sp.3,,,,,,,22
Blattodea,Polyphagidae,Polyphaga,aegyptiaca,,XO,,male heterogametic,,64,63
Coleoptera,Anobiidae,Ernobius,mollis ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anobiidae,Gibbium,psylloides ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anobiidae,Lasioderma,serricorne ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anobiidae,Ptinus,clavipes ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anobiidae,Ptinus,clavipes ,parthenogenetic,,,,,27,
Coleoptera,Anobiidae,Ptinus,hirtellus ,gonochorous,XY,,male heterogametic,,18,18
Coleoptera,Anobiidae,Ptinus,hirtellus ,parthenogenetic,,,,,27,
Coleoptera,Anobiidae,Ptinus,villiger ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anobiidae,Stegobium,paniceum ,gonochorous,XO,,male heterogametic,,18,17
Coleoptera,Anthicidae,Notoxus,calcaratus ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anthicidae,Notoxus,constrictus ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anthicidae,Notoxus,monodon ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Anthribidae,Araecerus,fasciculatus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Euparius,marmoreus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Euparius,oculatus ,gonochorous,complex XY,Xyyp  ,male heterogametic,,,49
Coleoptera,Anthribidae,Habrissus,longipes ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Platystomos,sellatus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Ptychoderes,bivittatus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Ptychoderes,tricostifrons ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Tropideres,germanus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Tropideres,germanus ,gonochorous,XY,Xyp,male heterogametic,,24,24
Coleoptera,Anthribidae,Tropideres,japonicus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Anthribidae,Tropideres,laxus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Apoderus,balteatus,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Apoderus,balteatus,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Attelabidae,Apoderus,coryli ,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Attelabidae,Apoderus,erythrogaster nigriventris    ,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Attelabidae,Apoderus,erythrogaster rufiventris    ,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Attelabidae,Apoderus,jekeli,gonochorous,XY,,male heterogametic,,36,36
Coleoptera,Attelabidae,Apoderus,jekeli,gonochorous,XY,,male heterogametic,,38,38
Coleoptera,Attelabidae,Auletobius,irkutensis japonicus    ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Attelabidae,Auletobius,puberulus,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Attelabidae,Byctiscus,launipennis ,gonochorous,,,,,,22
Coleoptera,Attelabidae,Centrocorynus,aemulus ,gonochorous,XY,Xyp,male heterogametic,,28,28
Coleoptera,Attelabidae,Deporaus,affectatus,gonochorous,XY,NeoXY  ,male heterogametic,,24,24
Coleoptera,Attelabidae,Deporaus,harmanni,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Deporaus,marginatus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Deporaus,minimus,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Attelabidae,Deporaus,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Deporaus,sp. 2    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Deporaus,unicolor,gonochorous,XY,NeoXY  ,male heterogametic,,24,24
Coleoptera,Attelabidae,Deporaus,unicolor,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Attelabidae,Deporaus,unicolor,gonochorous,complex XY,Xyyp  ,male heterogametic,,,29
Coleoptera,Attelabidae,Hypera,viciae ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Larinus,sturnus ,gonochorous,XY,Xyp,male heterogametic,,38,38
Coleoptera,Attelabidae,Liophloeus,lentus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Liparus,glabrirostris ,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Attelabidae,Pissodes,notatus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Attelabidae,Rhynchites,heros,gonochorous,XY,Xyp,male heterogametic,,38,38
Coleoptera,Attelabidae,Rhynchites,pilosus,gonochorous,XY,Xyp,male heterogametic,,32,32
Coleoptera,Attelabidae,Rhynchites,placidus,gonochorous,XY,Xyp,male heterogametic,,38,38
Coleoptera,Attelabidae,Rhynchites,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,34,34
Coleoptera,Bostrichidae,Apate,monacha ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Bostrichidae,Bostrychopsis,bengalensis ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Bostrichidae,Rhizopertha,dominica ,gonochorous,XY,Xyp,male heterogametic,,18,18
Coleoptera,Bostrichidae,Sinoxylon,anale ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Brentidae,Apion,abruptum,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Apion,collare,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Apion,sp. 1    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Apion,sp. 2    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Aplemonus,tuberculata ,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Brentidae,Brentus,anchorago ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Brentidae,Brentus,mexicanus ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Brentidae,Ceratapion,austriacum ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Ceratapion,penetrans ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Cylas,formicarius,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Cylas,formicarius elegantulus    ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Eutrichapion,melancholicum ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Nanophyes,marmoratus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Nemocephalus,femoratus ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Brentidae,Oxystoma,cerdo ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Proepisphales,elegans ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Brentidae,Pseudorychoides,insignis ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Brentidae,Rhopalapion,longirostre ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Squamapion,flavimanum ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Brentidae,Trachelizus,sp. 1 ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Buprestidae, Spruce,borer sp. I ,gonochorous,XY,,male heterogametic,,20,20
Coleoptera,Buprestidae, Spruce,borer sp. II ,gonochorous,XY,,male heterogametic,,22,22
Coleoptera,Buprestidae,Acmaeodera,boryi ,gonochorous,XY,Xyr  ,male heterogametic,,18,18
Coleoptera,Buprestidae,Acmaeodera,flavofasciata ,gonochorous,XY,Xyr  ,male heterogametic,,18,18
Coleoptera,Buprestidae,Acmaeodera,flavolineata ,gonochorous,XY,NeoXY  ,male heterogametic,,20,20
Coleoptera,Buprestidae,Acmaeodera,gibbulosa ,gonochorous,XY,Xyr  ,male heterogametic,,18,18
Coleoptera,Buprestidae,Acmaeodera,hepburni ,gonochorous,XY,NeoXY  ,male heterogametic,,18,18
Coleoptera,Buprestidae,Acmaeodera,pilosellae persica,gonochorous,XY,NeoXY  ,male heterogametic,,20,20
Coleoptera,Buprestidae,Acmaeodera,vetusta ,gonochorous,XY,Xyr  ,male heterogametic,,18,18
Coleoptera,Buprestidae,Agrilus,angustulus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Agrilus,anxius ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Agrilus,araxenus ,gonochorous,XY,,male heterogametic,,20,20
Coleoptera,Buprestidae,Agrilus,liragus ,gonochorous,XY,NeoXY  ,male heterogametic,,20,20
Coleoptera,Buprestidae,Agrilus,obscuricollis ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Agrilus,politus pseudocoryli ,gonochorous,XY,,male heterogametic,,20,20
Coleoptera,Buprestidae,Agrilus,sp. ,gonochorous,XY,NeoXY  ,male heterogametic,,20,20
Coleoptera,Buprestidae,Agrilus,sp. nr. Pensus ,gonochorous,XY,Xyp,male heterogametic,,,
Coleoptera,Buprestidae,Anthaxia,amasina ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,bicolor ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,deaurata ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,hungarica ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,lgockii ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,mirabilis ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,olympica ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,podolica ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,sponsa ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Anthaxia,viridifrons ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Buprestis,fasciata ,gonochorous,,,,,,20
Coleoptera,Buprestidae,Capnodis,miliaris ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Capnodis,tenebrionis ,gonochorous,XY,NeoXY  ,male heterogametic,,14,14
Coleoptera,Buprestidae,Castiarina,adelaidae ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,argillacea ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,cupreoflava ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,decemmaculata ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,flavopicta ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,grata ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,rufipennis ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,sexplagiata ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,simulata ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,subnotata ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,subtincta ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Castiarina,triramosa ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Chalcophora,lacustris ,gonochorous,XO,,male heterogametic,,22,21
Coleoptera,Buprestidae,Chrysobothris,affinis tetragramma ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Chrysobothris,dentipes ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Chrysobothris,floricola ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Coraebus,rubi ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Coraebus,sinuatus ,gonochorous,XY,,male heterogametic,,24,24
Coleoptera,Buprestidae,Dicera,divaricata ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Dicera,prolongata ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Dicera,tenebrosa ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Dicerca,aenea validiuscula,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Euchroma,gigantea ,gonochorous,complex XY,XXXYY,male heterogametic,,,26
Coleoptera,Buprestidae,Euchroma,gigantea ,gonochorous,complex XY,XXXYYY,male heterogametic,,,24
Coleoptera,Buprestidae,Euchroma,gigantea ,gonochorous,complex XY,XXXYYY,male heterogametic,,,24
Coleoptera,Buprestidae,Euchroma,gigantea ,gonochorous,complex XY,XXXYYY,male heterogametic,,,32
Coleoptera,Buprestidae,Euchroma,gigantea ,gonochorous,complex XY,XXXYYY,male heterogametic,,,34
Coleoptera,Buprestidae,Euchroma,gigantea ,gonochorous,complex XY,XXXYYY,male heterogametic,,,36
Coleoptera,Buprestidae,Julodella,globithorax ,gonochorous,XY,Xyp,male heterogametic,,26,26
Coleoptera,Buprestidae,Julodis,andreae ,gonochorous,XY,NeoXY  ,male heterogametic,,26,26
Coleoptera,Buprestidae,Julodis,faldermanni ,gonochorous,XY,,male heterogametic,,26,26
Coleoptera,Buprestidae,Julodis,whithilli ,gonochorous,XY,NeoXY  ,male heterogametic,,24,24
Coleoptera,Buprestidae,Melanophila,acuminata ,gonochorous,XY,Xyp,male heterogametic,,12,12
Coleoptera,Buprestidae,Melanophila,drummondi ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Melanophila,intrusa ,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Meliboeus,caucasicus ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Ovalisia,nadezhdae ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Perotis,cuprata ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Perotis,lugubris ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Sphaerobothris,aghababiani,gonochorous,XY,Xyp,male heterogametic,,16,16
Coleoptera,Buprestidae,Sphenoptera,artemisiae ,gonochorous,XY,,male heterogametic,,24,24
Coleoptera,Buprestidae,Sphenoptera,glabrata ,gonochorous,XY,,male heterogametic,,40,40
Coleoptera,Buprestidae,Sphenoptera,mesopotamica ,gonochorous,,,,,,24
Coleoptera,Buprestidae,Sphenoptera,scovitzi ,gonochorous,,,,,,24
Coleoptera,Buprestidae,Sphenoptera,scpvitzii,gonochorous,,,,,,42
Coleoptera,Buprestidae,Sphenoptera,tamarisci ,gonochorous,XY,NeoXY  ,male heterogametic,,30,30
Coleoptera,Buprestidae,Stenocera,sp,gonochorous,XY,NeoXY  ,male heterogametic,,26,26
Coleoptera,Buprestidae,Sternocera,laevigata ,gonochorous,XY,NeoXY  ,male heterogametic,,26,26
Coleoptera,Buprestidae,Sternocera,nitidicollis ,gonochorous,XY,NeoXY  ,male heterogametic,,26,26
Coleoptera,Buprestidae,Stigmodera,cancellata ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Stigmodera,goryi ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Stigmodera,gratiosa ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Stigmodera,macularia ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Stigmodera,porosa ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Stigmodera,roei ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,alternata ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Themognatha,barbiventris ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,bonvouloiri ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,chalcodera ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,chevrolati ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,donovani ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,heros ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,mitchelli ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,mniszechi ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,nickerli ,gonochorous,XY,Xyp,male heterogametic,,20,20
Coleoptera,Buprestidae,Themognatha,parvicollis ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,pubicollis ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,regia ,gonochorous,XY,Xyp,male heterogametic,,22,22
Coleoptera,Buprestidae,Themognatha,tricolorata ,gonochorous,XY,Xyp,male heterogametic,,22,22
