"id","method","family","scenario","n_rows","seed","design","scientific_question","null_or_target","generating_model","generating_truth","columns","observed_summary","report","full_output","teaching_point","data_csv","analysis_script","plot","csv_md5","results_md5"
"one_proportion","One-proportion test","Proportions and categories","Germination of salt-tolerant seeds",120,"3102","One germination outcome per seed under a fixed salt treatment.","Does the germination probability differ from the 50% benchmark?","The population germination probability is 0.50.","Generate 120 independent seeds with Bernoulli germination probability 0.67. Every seed has the same probability. No rounding or tray dependence is simulated.","The true germination probability is 0.67 rather than the null benchmark 0.50; the population difference is +0.17.","seed: Unique independent seed identifier: [none]; germinated: 1 = germinated; 0 = did not germinate: [binary]","Germination: 70 / 120 | Estimated probability: 0.583 | 95% score CI: 0.494 to 0.668 | Two-sided p = 0.06789","Germination was 58.3% (95% score CI 49.4–66.8%; p = 0.0679 against 50%). The test concerns this germination probability, not the mean of arbitrary continuous percentages.","
	1-sample proportions test without continuity correction

data:  x out of nrow(d), null probability 0.5
X-squared = 3.3333, df = 1, p-value = 0.06789
alternative hypothesis: true p is not equal to 0.5
95 percent confidence interval:
 0.4938803 0.6676165
sample estimates:
        p 
0.5833333 
","A binomial proportion is successes out of a known number of trials; arbitrary continuous percentages are different data.","modules/one_proportion/generated/data.csv","modules/one_proportion/analysis.R","modules/one_proportion/generated/plot.png","3aa4e04c832419f4915c508cd8d1e014","ea6eb1761d5d771f18673fabe1e337d9"
"two_proportions","Two-proportion test","Proportions and categories","Heat survival in evolved and ancestral yeast",220,"3103","Independent cultures assigned to one genotype; survival is scored once.","Does survival probability differ between evolved and ancestral yeast?","Evolved and ancestral cultures have equal survival probabilities.","Generate 110 independent evolved cultures and 110 independent ancestral cultures. Survival is Bernoulli with probabilities 0.72 and 0.52, respectively. No batching or pairing is introduced.","Evolved minus ancestral survival probability is 0.20, so the equal-probabilities null is false. The corresponding population odds ratio is approximately 2.37.","group: Culture genotype: Evolved or Ancestral: [none]; survived: 1 = survived heat; 0 = died: [binary]","Evolved: 78 / 110; ancestral: 61 / 110 | Difference (evolved − ancestral): 0.155 | 95% CI for difference: 0.029 to 0.280 | Two-sided p = 0.01748","Evolved minus ancestral survival was 15.5 percentage points (95% CI 2.9 to 28.0; p = 0.0175). The interval for this difference answers the comparison directly.","
	2-sample test for equality of proportions without continuity correction

data:  x out of n
X-squared = 5.647, df = 1, p-value = 0.01748
alternative hypothesis: two.sided
95 percent confidence interval:
 0.02872612 0.28036479
sample estimates:
   prop 1    prop 2 
0.7090909 0.5545455 
","Keep group order explicit: the contrast is evolved minus ancestral, and its confidence interval addresses the actual comparison.","modules/two_proportions/generated/data.csv","modules/two_proportions/analysis.R","modules/two_proportions/generated/plot.png","646efd8456506deed7ec521c8df86c2b","5ae49df3180b4da1cd5316dd15c10672"
"chi_gof","Chi-square goodness-of-fit","Proportions and categories","Segregation in an F2 cross",240,"3104","Each offspring is assigned to one of three genotypes.","Do the genotype frequencies follow the expected 1:2:1 segregation ratio?","Genotype probabilities are AA = 0.25, Aa = 0.50, and aa = 0.25.","Independently sample 240 offspring genotypes with probabilities AA = 0.18, Aa = 0.54, aa = 0.28. Test against the fixed Mendelian probabilities 0.25, 0.50, 0.25; no probabilities are estimated for the null.","The simulated probabilities differ from 1:2:1 by -0.07, +0.04, and +0.03. The goodness-of-fit null is false.","offspring: Unique independent offspring identifier: [none]; genotype: AA, Aa, or aa genotype category: [none]","Observed: 43, 128, 69 | Expected: 60, 120, 60 | Chi-square = 6.700; df = 2 | p = 0.03508","Observed genotype proportions were 0.179, 0.533, 0.287. The goodness-of-fit test gives chi-square(2) = 6.70, p = 0.0351 against the prespecified 1:2:1 ratio; the test does not identify a biological mechanism for the departure.","
	Chi-squared test for given probabilities

data:  observed
X-squared = 6.7, df = 2, p-value = 0.03508
","Expected counts encode the biological hypothesis. Equal expected counts would test a different hypothesis.","modules/chi_gof/generated/data.csv","modules/chi_gof/analysis.R","modules/chi_gof/generated/plot.png","daa72c7d6c58406f8d37879ca121d111","bfaa286d979a5e2faae3271755a3f0c4"
"chi_independence","Chi-square test of independence","Proportions and categories","Infection across three lizard habitats",270,"3105","Independent lizards sampled once in one of three habitats.","Is infection status associated with habitat?","Infection status and habitat are independent; infection probabilities are equal across habitats.","Generate 90 independent lizards from each of Forest, Grassland, and Urban habitats. Infection is Bernoulli with probabilities 0.25, 0.42, and 0.55, respectively. No site-level clustering is simulated.","Infection probability depends on habitat, so the independence null is false. Urban minus forest infection probability is 0.30; the simulation does not assign causality to habitat.","habitat: Sampling habitat: Forest, Grassland, or Urban: [none]; infection: Infected or Uninfected status: [none]","Infection probabilities: Forest 0.14; Grassland 0.41; Urban 0.54 | Minimum expected count: 33.0 | Chi-square(2) = 32.153 | p = 1.042e-07; Cramer V = 0.345","Infection probabilities differed descriptively across habitats (Forest 14%, Grassland 41%, Urban 54%). The independence test gives chi-square(2) = 32.15, p = 1.04e-07; Cramer V = 0.35. This observational association does not establish a habitat effect.","
	Pearson's Chi-squared test

data:  tab
X-squared = 32.153, df = 2, p-value = 1.042e-07
","A significant omnibus association does not establish a causal habitat effect or identify every differing pair.","modules/chi_independence/generated/data.csv","modules/chi_independence/analysis.R","modules/chi_independence/generated/plot.png","4cca58f443d62124b591fa4d52bbde41","e7aca6fc2f4b18bfd497390a6de261f8"
"fisher_exact","Fisher exact test","Proportions and categories","Survival of rare resistant and susceptible clones",24,"3106","Two small independent clone groups; binary survival after exposure.","Are survival odds associated with clone type?","The population odds ratio for clone type and survival is 1.","Generate 12 independent susceptible clones with survival probability 0.20 and 12 independent resistant clones with probability 0.65. Each contributes one Bernoulli outcome; small table cells are intentional.","The resistant-to-susceptible population survival odds ratio is (0.65/0.35)/(0.20/0.80), approximately 7.43. The odds-ratio-one null is false.","clone: Unique independent clone identifier: [none]; type: Susceptible or Resistant clone type: [none]; survived: 1 = survived exposure; 0 = died: [binary]","Survivors: susceptible 2/12; resistant 7/12 | Survival odds ratio (resistant / susceptible): 6.395 | 95% exact CI: 0.810 to 85.671 | Two-sided exact p = 0.08938","The resistant-to-susceptible survival odds ratio was 6.39 (95% exact CI 0.81–85.67; p = 0.0894). A wide interval reflects limited information from these small groups; odds are not probabilities.","
	Fisher's Exact Test for Count Data

data:  tab
p-value = 0.08938
alternative hypothesis: true odds ratio is not equal to 1
95 percent confidence interval:
  0.8098091 85.6709653
sample estimates:
odds ratio 
  6.394505 
","Exact inference handles sparse counts, but it cannot create the precision missing from a small sample.","modules/fisher_exact/generated/data.csv","modules/fisher_exact/analysis.R","modules/fisher_exact/generated/plot.png","5918ac0486bf231b57574957e14fa348","a48e48c4ed756ef5a93566f9d9f4a733"
"mcnemar","McNemar test","Paired binary outcomes","Antibody detection before and after an exposure season",80,"3107","The same 80 wild mice are sampled twice.","Does the marginal probability of antibody detection change between visits?","The probability of changing from negative to positive equals that of changing from positive to negative.","Generate 80 independent mice. Before status is Bernoulli(0.45). Conditional after positivity is 0.85 for a previously positive mouse and 0.35 for a previously negative mouse, producing correlated within-mouse measurements.","Marginal after positivity is 0.45×0.85 + 0.55×0.35 = 0.575, a +0.125 change from before. Population gain and loss probabilities are 0.1925 and 0.0675, so the McNemar null is false.","mouse: Matched mouse identifier: [none]; before: Antibody detected at the first visit (1 = yes): [binary]; after: Antibody detected at the second visit (1 = yes): [binary]","Gained detection: 10; lost detection: 5 | Before: 0.438; after: 0.500 | Change: 0.062 | McNemar p = 0.1967; exact paired p = 0.3018","Detection changed from 43.8% to 50.0% (change 6.2 percentage points). There were 10 gains and 5 losses; McNemar p = 0.197 and exact paired p = 0.302. The comparison preserves mouse identity.","$McNemar

	McNemar's Chi-squared test

data:  tab
McNemar's chi-squared = 1.6667, df = 1, p-value = 0.1967


$exact_discordant_pairs

	Exact binomial test

data:  gained and gained + lost
number of successes = 10, number of trials = 15, p-value = 0.3018
alternative hypothesis: true probability of success is not equal to 0.5
95 percent confidence interval:
 0.3838037 0.8817589
sample estimates:
probability of success 
             0.6666667 

","The information about a change is in discordant pairs. Keeping the mouse identity changes the appropriate test.","modules/mcnemar/generated/data.csv","modules/mcnemar/analysis.R","modules/mcnemar/generated/plot.png","8b650cbe668012b67b5d1b5fcacb5455","b0e2a763d73ee8e74c40d4e79216a02e"
"cochran_q","Cochran’s Q test","Paired binary outcomes","Bee visits to three floral odors",180,"3108","Each bee experiences all odors in randomized sessions with a washout.","Are marginal visit probabilities equal for all three odors?","The three odor conditions have equal marginal probabilities of a visit.","Generate 60 independent bees, each with a Normal(0, 0.8²) latent effect. Each bee encounters odors A, B, and C. Visit logits are -0.7 + bee effect + odor effect, with odor effects 0, 0.5, and 1. Outcomes are independent conditional on the bee effect but correlated within a bee marginally.","Increasing odor effects produce strictly increasing marginal visit probabilities across A, B, and C. The equal-probabilities null is false; the latent log-odds differences are not themselves the marginal probability differences.","bee: Independent bee and repeated-measures identifier: [none]; odor: Repeated odor condition: A, B, or C: [none]; visit: 1 = visit; 0 = no visit: [binary]","Matched bees: 60; conditions: 3 | Visit probabilities: 0.317, 0.417, 0.517 | Q = 5.143; df = 2 | Omnibus p = 0.07643","Visit probabilities were 31.7%, 41.7%, 51.7%. Cochran Q(2) = 5.14, p = 0.0764 tests equality across all odors while retaining matching. It does not identify which odor pairs differ.","$statistic
[1] 5.142857

$df
[1] 2

$p.value
[1] 0.07642629

$visit_probabilities
        A         B         C 
0.3166667 0.4166667 0.5166667 
","A matched omnibus binary test uses complete sets of responses; a significant result does not identify which conditions differ.","modules/cochran_q/generated/data.csv","modules/cochran_q/analysis.R","modules/cochran_q/generated/plot.png","7f64e642515bd9c9d123ba3811728d5c","f8f241323a89f64e2ae63fb8c6c1f6ea"
"logistic","Logistic regression","Generalized linear models","Hybrid viability across parental divergence",160,"3110","One independent hybrid offspring per cross.","Does viability probability change with parental divergence?","The divergence coefficient is zero: modeled viability odds do not change with divergence.","Generate 160 independent crosses with divergence Uniform(0,8) percentage points. One hybrid viability outcome per cross is Bernoulli with probability plogis(1.9 - 0.5 × divergence). Predictors are not rounded.","The true divergence coefficient is -0.5; viability odds are multiplied by exp(-0.5) ≈ 0.607 per divergence percentage point. The zero-slope null is false. The probability decline is nonlinear.","cross: Unique independent cross identifier: [none]; divergence: Parental divergence: [percentage points]; viable: 1 = viable hybrid; 0 = nonviable: [binary]","Divergence coefficient: -0.464 | Odds ratio per percentage point: 0.629 | 95% Wald CI for odds ratio: 0.528 to 0.749 | Likelihood-ratio p = 6.573e-09","Each additional percentage point of divergence multiplied modeled viability odds by 0.63 (95% Wald CI 0.53–0.75; likelihood-ratio p = 6.57e-09). The curve translates odds into probabilities; this association alone does not establish causation.","
Call:
glm(formula = viable ~ divergence, family = binomial, data = d)

Coefficients:
            Estimate Std. Error z value Pr(>|z|)    
(Intercept)  1.99600    0.41934   4.760 1.94e-06 ***
divergence  -0.46382    0.08915  -5.203 1.96e-07 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

(Dispersion parameter for binomial family taken to be 1)

    Null deviance: 221.78  on 159  degrees of freedom
Residual deviance: 188.12  on 158  degrees of freedom
AIC: 192.12

Number of Fisher Scoring iterations: 4
","A coefficient describes log odds; translate to odds ratios or plotted probabilities to answer the biological question.","modules/logistic/generated/data.csv","modules/logistic/analysis.R","modules/logistic/generated/plot.png","73b15228f196d7720cb813ec358859a1","0f92e7f6f3afffbee9216ad21cd08115"
"poisson_exact","Exact Poisson rate test","Counts and exposure","De novo mutations in sequenced microbial lineages",60,"3109","Independent lineages have different amounts of callable sequence.","Does the mutation rate differ from 0.25 mutations per callable megabase?","The common mutation rate is 0.25 per callable megabase.","Generate 60 independent lineages with callable sequence Uniform(8,20) megabases. Each count is Poisson with mean 0.40 × callable megabases. The population rate is constant across lineages and exposure is unrounded.","The true rate is 0.40 mutations/Mb rather than the null rate 0.25/Mb. The population rate ratio to the null is 1.6.","lineage: Unique independent microbial lineage: [none]; megabases: Callable sequence exposure: [Mb]; mutations: Observed de novo mutations: [count]","Events: 345; exposure: 845.0 Mb | Rate: 0.408 mutations/Mb | 95% exact CI: 0.366 to 0.454 | Exact p = 3.246e-17","The mutation rate was 0.408 per callable Mb (95% exact CI 0.366–0.454; p = 3.25e-17 against 0.25/Mb). Pooling counts is justified here by the common-rate Poisson model.","
	Exact Poisson test

data:  sum(d$mutations) time base: sum(d$megabases)
number of events = 345, time base = 844.99, p-value < 2.2e-16
alternative hypothesis: true event rate is not equal to 0.25
95 percent confidence interval:
 0.3663373 0.4537273
sample estimates:
event rate 
 0.4082887 
","A count becomes a rate only after the exposure and its units are supplied.","modules/poisson_exact/generated/data.csv","modules/poisson_exact/analysis.R","modules/poisson_exact/generated/plot.png","6c0df6ea4946158614c8e55a31a2c6a2","aae68e2c3e39a4f00f29bdcff928d0ba"
"poisson_glm","Poisson regression","Generalized linear models","Coral recruit counts and live coral cover",120,"3111","Independent transects differ in surveyed area and live coral cover.","Does recruit density change with live coral cover after accounting for surveyed area?","The coral-cover coefficient is zero: recruit rate per square meter is unrelated to cover in this model.","Generate 120 independent transects. Cover is Uniform(0,80) percentage points and area is independently Uniform(2,8) square meters. Recruit counts are Poisson(area × exp(-0.5 + 0.016 × cover)). No clustering or rounding is introduced.","The true cover coefficient is 0.016. A 10-point cover increase multiplies recruit density by exp(0.16) ≈ 1.174. The zero-slope null is false, and the exposure coefficient is fixed at one.","transect: Unique independent transect identifier: [none]; cover: Live coral cover: [percentage points]; area: Surveyed transect area: [m²]; recruits: Observed coral recruits: [count]","Rate ratio per 10 cover points: 1.200 | 95% Wald CI: 1.162 to 1.240 | Likelihood-ratio p = 2.64e-30 | Pearson dispersion diagnostic: 1.111","A 10-percentage-point increase in coral cover multiplied modeled recruit density by 1.20 (95% Wald CI 1.16–1.24; p = 2.64e-30). Area is handled as exposure; the observational association is not a causal effect.","
Call:
glm(formula = recruits ~ cover + offset(log(area)), family = poisson, 
    data = d)

Coefficients:
             Estimate Std. Error z value Pr(>|z|)    
(Intercept) -0.587917   0.092543  -6.353 2.11e-10 ***
cover        0.018256   0.001649  11.071  < 2e-16 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

(Dispersion parameter for poisson family taken to be 1)

    Null deviance: 258.31  on 119  degrees of freedom
Residual deviance: 127.43  on 118  degrees of freedom
AIC: 541.72

Number of Fisher Scoring iterations: 4
","The exposure offset separates a biological density difference from simply looking over a larger area.","modules/poisson_glm/generated/data.csv","modules/poisson_glm/analysis.R","modules/poisson_glm/generated/plot.png","de13e1f00ce1f19a106c6c3d6a58b1d3","8889ec0994b64e5333a25177f5be1dab"
"quasipoisson","Quasi-Poisson regression","Generalized linear models","Bacterial colony counts with clumping",120,"3113","Independent plated samples vary in medium and plated volume.","Does mean colony density differ between media after accounting for plated volume?","The high-medium coefficient is zero: mean colony rates are equal between media.","Generate 60 low-medium and 60 high-medium independent plates, with volume Uniform(0.7,1.3) ml. Set mean count μ = volume × exp(2.4 + 0.5 × high). Generate clumps ~ Poisson(μ/3), then colonies ~ Poisson(3 × clumps). Marginal mean is μ and variance is 4μ.","High medium multiplies mean colony density by exp(0.5) ≈ 1.649; the equal-rate null is false. The true dispersion multiplier is 4, so Poisson uncertainty would be too small.","medium: Low or High nutrient medium: [none]; volume_ml: Plated volume exposure: [ml]; colonies: Observed colony count after clumping: [count]","High / low mean rate ratio: 1.351 | 95% t-based CI: 1.117 to 1.633 | Dispersion multiplier: 3.953 | Quasi-Poisson t-test p = 0.002166","High-nutrient medium had 1.35 times the modeled colony rate of low-nutrient medium (95% t-based CI 1.12–1.63; p = 0.00217). Estimated dispersion 3.95 adjusts uncertainty for extra-Poisson variation.","
Call:
glm(formula = colonies ~ medium + offset(log(volume_ml)), family = quasipoisson, 
    data = d)

Coefficients:
            Estimate Std. Error t value Pr(>|t|)    
(Intercept)  2.52196    0.07284  34.622  < 2e-16 ***
mediumHigh   0.30075    0.09592   3.135  0.00217 ** 
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

(Dispersion parameter for quasipoisson family taken to be 3.953259)

    Null deviance: 489.45  on 119  degrees of freedom
Residual deviance: 450.13  on 118  degrees of freedom
AIC: NA

Number of Fisher Scoring iterations: 4
","Quasi-Poisson retains the log-mean question while changing the uncertainty model; ordinary likelihood AIC is unavailable.","modules/quasipoisson/generated/data.csv","modules/quasipoisson/analysis.R","modules/quasipoisson/generated/plot.png","0f905c81d8e3aa72ae0ec64b34c6fe74","275191ef5b00a34f0db32f17a2679b20"
"negbin_glm","Negative binomial regression","Generalized linear models","Parasite abundance and fish body length",130,"3112","Independent fish vary in body length; parasite burdens are highly variable.","Does expected parasite burden change with fish length?","The length coefficient is zero: expected parasite abundance does not change with length in this model.","Generate 130 independent fish with length Uniform(18,42) cm. Parasite count follows a negative binomial with mean exp(-0.2 + 0.085 × length) and size/theta 2. Conditional variance is mean + mean²/2.","The length coefficient is 0.085, so 5 cm multiplies expected parasite abundance by exp(0.425) ≈ 1.530. The slope-zero null is false; the Poisson variance assumption is intentionally violated.","fish: Unique independent fish identifier: [none]; length_cm: Fish body length: [cm]; parasites: Observed parasite burden: [count]","Mean count ratio per 5 cm: 1.602 | 95% Wald CI: 1.458 to 1.761 | Wald p = 1.634e-22 | Estimated negative-binomial theta: 2.292","A 5-cm increase in fish length multiplied expected parasite count by 1.60 (95% Wald CI 1.46–1.76; Wald p = 1.63e-22). Negative binomial variation allows more spread than a Poisson model.","
Call:
MASS::glm.nb(formula = parasites ~ length_cm, data = d, init.theta = 2.292042228, 
    link = log)

Coefficients:
             Estimate Std. Error z value Pr(>|z|)    
(Intercept) -0.617706   0.299553  -2.062   0.0392 *  
length_cm    0.094281   0.009658   9.762   <2e-16 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

(Dispersion parameter for Negative Binomial(2.292) family taken to be 1)

    Null deviance: 234.38  on 129  degrees of freedom
Residual deviance: 140.90  on 128  degrees of freedom
AIC: 814.62

Number of Fisher Scoring iterations: 1


              Theta:  2.292 
          Std. Err.:  0.374 

 2 x log-likelihood:  -808.615 ","Overdispersion can be addressed with a parametric count model; it does not automatically require replacing the scientific question with a rank test.","modules/negbin_glm/generated/data.csv","modules/negbin_glm/analysis.R","modules/negbin_glm/generated/plot.png","5d7e5d39af555feea420bbbd67fe7c12","dab11b1743c65ea9696e6d6c7c512c49"
"multinomial","Multinomial logistic regression","Generalized linear models","Fish use of three unordered feeding microhabitats",240,"3114","Independent fish encounter either low or high food availability.","Does food availability change the distribution of feeding microhabitat choices?","All nonreference food coefficients are zero; microhabitat probabilities are the same under low and high food.","Generate 120 independent fish choices under Low food with Open/Shelter/Surface probabilities 0.25/0.50/0.25 and 120 under High food with probabilities 0.50/0.30/0.20. Choices are unordered, mutually exclusive, and independent.","The outcome distributions differ, so the joint no-food-effect null is false. Relative to Open, the food coefficients are log(0.30/0.50)-log(0.50/0.25) ≈ -1.204 for Shelter and log(0.20/0.50)-log(0.25/0.25) ≈ -0.916 for Surface.","food: Low or High food availability: [none]; choice: Open, Shelter, or Surface microhabitat: [none]","Low-food probabilities: 0.217, 0.508, 0.275 | High-food probabilities: 0.475, 0.292, 0.233 | Likelihood ratio = 19.404; df = 2 | Joint p = 6.115e-05","Predicted probabilities for open/shelter/surface were 0.22/0.51/0.28 under low food and 0.48/0.29/0.23 under high food. The joint likelihood-ratio test gives chi-square(2) = 19.40, p = 6.11e-05; it tests the whole distribution of choices.","Call:
nnet::multinom(formula = choice ~ food, data = d, trace = FALSE)

Coefficients:
        (Intercept)   foodHigh
Shelter   0.8527665 -1.3404733
Surface   0.2384121 -0.9492706

Std. Errors:
        (Intercept)  foodHigh
Shelter   0.2342112 0.3177579
Surface   0.2622292 0.3493172

Residual Deviance: 499.8932 
AIC: 507.8932 ","A categorical response with more than two levels requires a joint question across several coefficients.","modules/multinomial/generated/data.csv","modules/multinomial/analysis.R","modules/multinomial/generated/plot.png","27133eb8aad23b5099306c41430a75ea","7bda880c059b5a701bf0555015ca33de"
"ordinal_logistic","Ordinal logistic regression","Generalized linear models","Coral bleaching severity along a temperature gradient",180,"3115","Independent coral fragments are assigned a four-level ordered bleaching score.","Does temperature shift bleaching severity toward higher ordered categories?","The common temperature coefficient is zero; the modeled severity distribution does not change with temperature.","Generate 180 independent fragments with temperature Uniform(26,32) °C. Latent severity is 0.8 × (temperature - 28) plus a standard logistic error. Cut at -1, 0.7, and 2.2 to obtain None, Mild, Moderate, Severe. Do not treat category spacing as numeric distance.","The common temperature coefficient is 0.8, so each °C multiplies odds of higher versus lower severity by exp(0.8) ≈ 2.226 at every cumulative threshold. The zero-effect null is false and proportional odds holds by construction.","fragment: Unique independent coral fragment identifier: [none]; temperature: Experimental temperature: [°C]; severity: Ordered bleaching level: None < Mild < Moderate < Severe: [none]","Common odds ratio per 1°C: 2.613 | 95% Wald CI: 2.105 to 3.244 | Likelihood ratio = 97.836; df = 1 | p = 4.544e-23","Each 1°C increase multiplied the modeled odds of higher rather than lower bleaching severity by 2.61 (95% Wald CI 2.11–3.24; likelihood-ratio p = 4.54e-23), assuming the same temperature effect across thresholds.","formula: severity ~ temperature
data:    d

 link  threshold nobs logLik  AIC    niter max.grad cond.H 
 logit flexible  180  -200.34 408.69 5(0)  2.85e-11 1.3e+06

Coefficients:
            Estimate Std. Error z value Pr(>|z|)    
temperature   0.9606     0.1103    8.71   <2e-16 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Threshold coefficients:
                Estimate Std. Error z value
None|Mild         25.935      3.098   8.373
Mild|Moderate     27.589      3.178   8.682
Moderate|Severe   29.316      3.273   8.957","Ordering carries information without assuming equal distances; the common effect across thresholds is the key model assumption.","modules/ordinal_logistic/generated/data.csv","modules/ordinal_logistic/analysis.R","modules/ordinal_logistic/generated/plot.png","c3940bdfa2c3bf5f2710eee66e016b6b","10a4db05146ef6e19c122ebd522a8bac"
"linear_mixed","Linear mixed model","Repeated and clustered data","Evolutionary biologists follow larval growth under two diets.",144,"2106","36 larvae measured at weeks 0–3; diet assigned to larvae.","Does diet change the mean growth slope?","The population growth-slope difference between diets is zero.","36 larvae (18 per diet) are measured at weeks 0–3. Mass = 12 + 2 × week + 0.8 if enriched + 0.9 × week if enriched + a larval Normal(0, 2.3²) intercept + a larval Normal(0, 0.7²) slope × week + independent Normal(0, 1.1²) error. Simulated intercepts and slopes are independent. Repeated values share both effects; no rounding.","The control slope is 2 mg/week; enrichment adds 0.9 mg/week. The diet-by-week null is false. Simulated random-intercept and slope SDs are 2.3 mg and 0.7 mg/week.","week: Time since baseline: [week]; larva: Repeated biological individual: [ID]; treatment: Control or enriched diet: [category]; mass: Larval mass: [mg]","Growth-slope difference = 0.79 mg/week | Approximate 95% Wald CI 0.31 to 1.27 | Satterthwaite df = 34.0; t = 3.20; p = 0.002966 | 36 larvae; 144 rows; singular fit: FALSE","Enrichment increased the fitted growth slope by 0.79 mg/week (approximate 95% Wald CI 0.31 to 1.27; Satterthwaite t with 34.0 df, p = 0.002966). Individual intercepts and slopes model repeated larvae; 144 rows do not represent 144 independent animals.","Linear mixed model fit by REML. t-tests use Satterthwaite's method [
lmerModLmerTest]
Formula: mass ~ treatment * week + (week | larva)
   Data: d

REML criterion at convergence: 570

Scaled residuals: 
     Min       1Q   Median       3Q      Max 
-1.64582 -0.56247  0.05774  0.54128  1.60492 

Random effects:
 Groups   Name        Variance Std.Dev. Corr  
 larva    (Intercept) 5.7165   2.3909         
          week        0.3129   0.5594   -0.01 
 Residual             1.1701   1.0817         
Number of obs: 144, groups:  larva, 36

Fixed effects:
                       Estimate Std. Error      df t value Pr(>|t|)    
(Intercept)             12.2501     0.6026 33.9995  20.330  < 2e-16 ***
treatmentEnriched        1.3465     0.8522 33.9995   1.580  0.12335    
week                     2.0463     0.1743 34.0002  11.740 1.65e-13 ***
treatmentEnriched:week   0.7891     0.2465 34.0002   3.201  0.00297 ** 
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Correlation of Fixed Effects:
            (Intr) trtmnE week  
trtmntEnrch -0.707              
week        -0.193  0.137       
trtmntEnrc:  0.137 -0.193 -0.707","Random intercepts describe starting differences; random slopes describe trajectory differences.","modules/linear_mixed/generated/data.csv","modules/linear_mixed/analysis.R","modules/linear_mixed/generated/plot.png","3b5b178a6344767eec588fd56ade6c01","88ae715af85e4691f4f12ef51bfa5038"
"binary_glmm","Binary mixed model","Repeated and clustered data","Immunologists record repeated infection outcomes in vaccinated and control hosts.",288,"2107","72 hosts with four weekly binary responses.","Does vaccination affect infection odds while accounting for repeated hosts?","The vaccination coefficient is zero: its conditional odds ratio is one.","72 hosts (36 per group) are scored at weeks 0–3. Host intercepts are Normal(0, 0.8²). The infection log odds equal −0.4 + 0.25 × week − 1.0 if vaccinated + host intercept. Independent Bernoulli outcomes are sampled conditional on those probabilities. Host intercepts create dependence across visits; latent probabilities are removed from the saved student dataset.","The conditional vaccine odds ratio is exp(−1) ≈ 0.368; the week odds ratio is exp(0.25) ≈ 1.284. The vaccine null is false. These are conditional effects, not population-average odds ratios.","week: Scheduled visit relative to baseline: [week]; host: Repeated host identifier: [ID]; treatment: Control or vaccine assignment: [category]; infected: Infection outcome: 1 infected, 0 not infected: [binary]","Conditional vaccine odds ratio = 0.24 | Approximate 95% CI 0.12 to 0.48 | Wald z = -3.99; p = 6.63e-05 | 72 independent hosts; four repeated observations each","At the same week and host random effect, vaccination multiplied infection odds by 0.24 (approximate 95% Wald CI 0.12 to 0.48; p = 6.63e-05). This is a conditional odds ratio, not a probability ratio or the population-average odds ratio estimated by a GEE.","Generalized linear mixed model fit by maximum likelihood (Laplace
  Approximation) [glmerMod]
 Family: binomial  ( logit )
Formula: infected ~ treatment + week + (1 | host)
   Data: d
Control: lme4::glmerControl(optimizer = ""bobyqa"")

      AIC       BIC    logLik -2*log(L)  df.resid 
    366.0     380.7    -179.0     358.0       284 

Scaled residuals: 
    Min      1Q  Median      3Q     Max 
-1.4049 -0.6888 -0.4268  0.7494  1.8362 

Random effects:
 Groups Name        Variance Std.Dev.
 host   (Intercept) 0.8177   0.9043  
Number of obs: 288, groups:  host, 72

Fixed effects:
                 Estimate Std. Error z value Pr(>|z|)    
(Intercept)       0.34030    0.29953   1.136    0.256    
treatmentVaccine -1.42502    0.35722  -3.989 6.63e-05 ***
week             -0.05141    0.12047  -0.427    0.670    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Correlation of Fixed Effects:
            (Intr) trtmnV
tretmntVccn -0.550       
week        -0.607  0.016","Repeated binary outcomes need both a response distribution and a dependence model.","modules/binary_glmm/generated/data.csv","modules/binary_glmm/analysis.R","modules/binary_glmm/generated/plot.png","b977b8f50a676ce85b178b6531f9065e","af1710c0ead30d3ea43dc2aca5f90d4e"
