"animal","week","vaccine","infected"
34,3,"Control",1
35,0,"Control",0
35,1,"Control",0
35,2,"Control",0
35,3,"Control",1
36,0,"Control",0
36,1,"Control",0
36,2,"Control",1
36,3,"Control",0
37,0,"Control",1
37,1,"Control",0
37,2,"Control",0
37,3,"Control",1
38,0,"Control",0
38,1,"Control",1
38,2,"Control",1
38,3,"Control",1
39,0,"Control",0
39,1,"Control",1
39,2,"Control",0
39,3,"Control",0
40,0,"Control",0
40,1,"Control",0
40,2,"Control",1
40,3,"Control",0
41,0,"Vaccinated",1
41,1,"Vaccinated",1
41,2,"Vaccinated",1
41,3,"Vaccinated",1
42,0,"Vaccinated",1
42,1,"Vaccinated",1
42,2,"Vaccinated",1
42,3,"Vaccinated",1
43,0,"Vaccinated",0
43,1,"Vaccinated",0
43,2,"Vaccinated",1
43,3,"Vaccinated",0
44,0,"Vaccinated",0
44,1,"Vaccinated",0
44,2,"Vaccinated",0
44,3,"Vaccinated",0
45,0,"Vaccinated",0
45,1,"Vaccinated",0
45,2,"Vaccinated",0
45,3,"Vaccinated",0
46,0,"Vaccinated",0
46,1,"Vaccinated",0
46,2,"Vaccinated",0
46,3,"Vaccinated",0
47,0,"Vaccinated",0
47,1,"Vaccinated",0
47,2,"Vaccinated",1
47,3,"Vaccinated",1
48,0,"Vaccinated",1
48,1,"Vaccinated",1
48,2,"Vaccinated",1
48,3,"Vaccinated",1
49,0,"Vaccinated",0
49,1,"Vaccinated",0
49,2,"Vaccinated",0
49,3,"Vaccinated",0
50,0,"Vaccinated",0
50,1,"Vaccinated",0
50,2,"Vaccinated",0
50,3,"Vaccinated",1
51,0,"Vaccinated",0
51,1,"Vaccinated",0
51,2,"Vaccinated",0
51,3,"Vaccinated",1
52,0,"Vaccinated",0
52,1,"Vaccinated",1
52,2,"Vaccinated",0
52,3,"Vaccinated",0
53,0,"Vaccinated",0
53,1,"Vaccinated",0
53,2,"Vaccinated",0
53,3,"Vaccinated",0
54,0,"Vaccinated",0
54,1,"Vaccinated",1
54,2,"Vaccinated",0
54,3,"Vaccinated",0
55,0,"Vaccinated",0
55,1,"Vaccinated",0
55,2,"Vaccinated",0
55,3,"Vaccinated",1
56,0,"Vaccinated",0
56,1,"Vaccinated",1
56,2,"Vaccinated",0
56,3,"Vaccinated",0
57,0,"Vaccinated",0
57,1,"Vaccinated",0
57,2,"Vaccinated",0
57,3,"Vaccinated",0
58,0,"Vaccinated",0
58,1,"Vaccinated",0
58,2,"Vaccinated",0
58,3,"Vaccinated",0
59,0,"Vaccinated",0
59,1,"Vaccinated",0
59,2,"Vaccinated",0
59,3,"Vaccinated",0
60,0,"Vaccinated",0
60,1,"Vaccinated",1
60,2,"Vaccinated",1
60,3,"Vaccinated",1
61,0,"Vaccinated",1
61,1,"Vaccinated",1
61,2,"Vaccinated",1
61,3,"Vaccinated",1
62,0,"Vaccinated",0
62,1,"Vaccinated",0
62,2,"Vaccinated",1
62,3,"Vaccinated",0
63,0,"Vaccinated",0
63,1,"Vaccinated",1
63,2,"Vaccinated",1
63,3,"Vaccinated",0
64,0,"Vaccinated",0
64,1,"Vaccinated",0
64,2,"Vaccinated",1
64,3,"Vaccinated",0
65,0,"Vaccinated",0
65,1,"Vaccinated",0
65,2,"Vaccinated",1
65,3,"Vaccinated",0
66,0,"Vaccinated",0
66,1,"Vaccinated",0
66,2,"Vaccinated",0
66,3,"Vaccinated",0
67,0,"Vaccinated",0
67,1,"Vaccinated",0
67,2,"Vaccinated",1
67,3,"Vaccinated",1
68,0,"Vaccinated",0
68,1,"Vaccinated",0
68,2,"Vaccinated",0
68,3,"Vaccinated",1
69,0,"Vaccinated",1
69,1,"Vaccinated",0
69,2,"Vaccinated",1
69,3,"Vaccinated",1
70,0,"Vaccinated",0
70,1,"Vaccinated",1
70,2,"Vaccinated",0
70,3,"Vaccinated",0
71,0,"Vaccinated",0
71,1,"Vaccinated",0
71,2,"Vaccinated",1
71,3,"Vaccinated",0
72,0,"Vaccinated",0
72,1,"Vaccinated",0
72,2,"Vaccinated",0
72,3,"Vaccinated",0
73,0,"Vaccinated",0
73,1,"Vaccinated",1
73,2,"Vaccinated",0
73,3,"Vaccinated",0
74,0,"Vaccinated",0
74,1,"Vaccinated",0
74,2,"Vaccinated",0
74,3,"Vaccinated",0
75,0,"Vaccinated",1
75,1,"Vaccinated",0
75,2,"Vaccinated",0
75,3,"Vaccinated",0
76,0,"Vaccinated",0
76,1,"Vaccinated",0
76,2,"Vaccinated",1
76,3,"Vaccinated",1
77,0,"Vaccinated",0
77,1,"Vaccinated",0
77,2,"Vaccinated",0
77,3,"Vaccinated",0
78,0,"Vaccinated",0
78,1,"Vaccinated",1
78,2,"Vaccinated",0
78,3,"Vaccinated",0
79,0,"Vaccinated",0
79,1,"Vaccinated",1
79,2,"Vaccinated",0
79,3,"Vaccinated",1
80,0,"Vaccinated",0
80,1,"Vaccinated",0
80,2,"Vaccinated",0
80,3,"Vaccinated",1
