doi,paper_title,paper_authors,first_author,paper_year,paper_journal,session_id,kingdom,phylum,class,order,family,subfamily,genus,species,tau_mean_hours,tau_sd_hours,tau_sem_hours,tau_min_hours,tau_max_hours,sample_size,sex,age_class,genotype,strain,light_condition,temperature_celsius,measurement_method,tissue_or_output,collection_locality,country,source_page,source_context,extraction_reasoning,accepted_name,gbif_key,taxonomy_note,extraction_confidence,flag_for_review,source_type,pdf_source,pdf_filename,pdf_url,notes,processed_date,calibrated_confidence,consensus_agreement,extraction_trace_id,audit_status,audit_session,audit_prior_values,pdf_path
10.1371/journal.pone.0111504,Cyclic Colour Change in the Bearded Dragon Pogona vitticeps under Different Photoperiods,"Fan M, Stuart-Fox D, Cadena V",Fan,2014,PLoS ONE,2026-03-27T17:18:43Z,Animalia,Chordata,Reptilia,Squamata,Agamidae,,Pogona,Pogona vitticeps,24.0,0.9,0.4025,,,5,male,adult,wild-type,,DD,30,other,dorsal skin pigmentation,Alice Springs,Australia,5-6,"DD: Five of 11 lizards (45.5%) displayed clear rhythmicity under constant darkness, with period length of 24.0±0.9 h (Table 1). Endogenous circadian rhythm in dorsal skin reflectance.",Period estimates (τ) obtained using MESA from time series analysis of dorsal skin reflectance measured at 3-hour intervals for 72 hours. Five lizards showed statistically significant rhythmicity (p<0.15) in DD conditions. Mean period = 24.0±0.9 h.,Pogona vitticeps,2465641,Central bearded dragon,0.95,False,primary,Fan_2014_PlosONE_0111504.pdf,Fan_2014_PlosONE_0111504.pdf,,"Measured in constant darkness (DD). Temperature maintained at 30°C. 45.5% of lizards displayed significant rhythmicity. No significant difference from 24 hours (t4=0.03, p=0.98).; SEM computed from SD/√n",2026-03-27,0.95,,Fan_2014_DD_001,,,,
10.1111/ppl.13108,The evening complex is central to the difference between the circadian clocks of shoots and roots,"Hugh G. Nimmo, Janet Laird, Rebecca Bindbeute, Dmitri A. Nusinow",Nimmo,2020,Physiologia Plantarum,2026-03-27T17:18:43Z,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,,Arabidopsis,Arabidopsis thaliana,23.36,0.08,0.016,,,24,not_specified,,lux-4,,LL,20,luciferase_reporter,shoots,,,4,"lux-4 shoots (23.36 ± 0.08 h, n=24) is shorter than Col-0 shoots",Extracted from main text and figures showing constant-condition circadian period measurements in red+blue light,Arabidopsis thaliana,3052436,,0.95,False,primary,user_supplied,Nimmo_2020_PhysiolPlant_13108.pdf,,lux-4 is a null mutant of LUX ARRHYTHMO; measurement in constant light (LL) with red+blue LEDs at 20 μmol m-2 s-1,2026-03-27,0.95,,nimmo2020_lux4_shoots_redblue,,,,
10.1111/ppl.13108,The evening complex is central to the difference between the circadian clocks of shoots and roots,"Hugh G. Nimmo, Janet Laird, Rebecca Bindbeute, Dmitri A. Nusinow",Nimmo,2020,Physiologia Plantarum,2026-03-27T17:18:43Z,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,,Arabidopsis,Arabidopsis thaliana,25.07,0.38,0.085,,,20,not_specified,,Col-0,,LL,20,luciferase_reporter,shoots,,,4,"Col-0 shoots (25.07 ± 0.38 h, n=20)",Extracted from main text and figures showing constant-condition circadian period measurements in red+blue light,Arabidopsis thaliana,3052436,,0.95,False,primary,user_supplied,Nimmo_2020_PhysiolPlant_13108.pdf,,Col-0 is the wild-type; measurement in constant light (LL) with red+blue LEDs at 20 μmol m-2 s-1; Figure 3,2026-03-27,0.95,,nimmo2020_col0_shoots_redblue,,,,
10.1111/ppl.13108,The evening complex is central to the difference between the circadian clocks of shoots and roots,"Hugh G. Nimmo, Janet Laird, Rebecca Bindbeute, Dmitri A. Nusinow",Nimmo,2020,Physiologia Plantarum,2026-03-27T17:18:43Z,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,,Arabidopsis,Arabidopsis thaliana,28.51,0.34,0.12,,,8,not_specified,,YHB,Ler,DD,20,luciferase_reporter,roots,,,6,"YHB roots in DD (28.51 ± 0.34 h, n=8) is shorter than Ler roots in DD",Extracted from main text and figures showing constant-condition circadian period measurements in constant dark (DD),Arabidopsis thaliana,3052436,,0.95,False,primary,user_supplied,Nimmo_2020_PhysiolPlant_13108.pdf,,YHB (Ler background) is a constitutively active phytochrome B; measurement in constant dark at 20°C; Figure 5,2026-03-27,0.95,,nimmo2020_yhb_roots_dd,,,,
10.1111/ppl.13108,The evening complex is central to the difference between the circadian clocks of shoots and roots,"Hugh G. Nimmo, Janet Laird, Rebecca Bindbeute, Dmitri A. Nusinow",Nimmo,2020,Physiologia Plantarum,2026-03-27T17:18:43Z,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,,Arabidopsis,Arabidopsis thaliana,31.14,1.21,0.428,,,8,not_specified,,Ler,Ler,DD,20,luciferase_reporter,roots,,,6,"Ler roots in DD (31.14 ± 1.21 h, n=8)",Extracted from main text and figures showing constant-condition circadian period measurements in constant dark (DD),Arabidopsis thaliana,3052436,,0.95,True,primary,user_supplied,Nimmo_2020_PhysiolPlant_13108.pdf,,Ler is the background strain; measurement in constant dark at 20°C; Figure 5; tau outside 18-30h guideline | flag_reason: needs_verification,2026-03-27,0.95,,nimmo2020_ler_roots_dd,,,,
10.1111/ppl.13108,The evening complex is central to the difference between the circadian clocks of shoots and roots,"Hugh G. Nimmo, Janet Laird, Rebecca Bindbeute, Dmitri A. Nusinow",Nimmo,2020,Physiologia Plantarum,2026-03-27T17:18:43Z,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,,Arabidopsis,Arabidopsis thaliana,30.59,2.15,0.621,,,12,not_specified,,Ler,Ler,LL_red,20,luciferase_reporter,roots,,,6,"Ler roots in red LL (30.59 ± 2.15 h, n=12)",Extracted from main text and figures showing constant-condition circadian period measurements in constant red light (LL),Arabidopsis thaliana,3052436,,0.95,True,primary,user_supplied,Nimmo_2020_PhysiolPlant_13108.pdf,,Ler is the background strain; measurement in constant red light (627 nm LED) at 25 μmol m-2 s-1 at 20°C; Figure 5; tau outside 18-30h guideline | flag_reason: needs_verification,2026-03-27,0.95,,nimmo2020_ler_roots_redll,,,,
10.1101/gad.349305,The PAS/LOV protein VIVID supports a rapidly dampened daytime oscillator that facilitates entrainment of the Neurospora circadian clock,"Elvin, M.; Loros, J.J.; Dunlap, J.C.; Heintzen, C.",Elvin,2005,Genes & Development,2026-03-27T17:18:43Z,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,Neurospora,Neurospora crassa,25.1,,,,,,not_specified,,"Δvvd, bd",289-10,DD,25,conidiation_rhythm,conidiation_rhythm,,,432,"The free-running period (FRP) of both parent (289-10, FRP = 25.1 h) and qa-2:VVD transformants (FRP = 25.0 h) are long, due to the presence of histidine in the growth medium",Explicit tau measurement stated in Results section for the vvd knockout strain in DD constant darkness at 25°C,Neurospora crassa,5253986,Neurospora crassa is a model fungal organism commonly used in circadian biology research,0.95,False,primary,2005_gad.349305.pdf,2005_gad.349305.pdf,,"Strain grown on medium with histidine, which lengthens period compared to wild-type. This is a vvd knockout (loss-of-function) mutant; vvd is required for muting light responses at dawn.",2026-03-27,0.95,,tau_2005_gad_349305_289-10,,,,
10.1101/gad.349305,The PAS/LOV protein VIVID supports a rapidly dampened daytime oscillator that facilitates entrainment of the Neurospora circadian clock,"Elvin, M.; Loros, J.J.; Dunlap, J.C.; Heintzen, C.",Elvin,2005,Genes & Development,2026-03-27T17:18:43Z,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,Neurospora,Neurospora crassa,25.0,,,,,,not_specified,,"qa-2-vvd, bd",40-3 (qa-vvd knock-in),DD,25,conidiation_rhythm,conidiation_rhythm,,,432,"The free-running period (FRP) of both parent (289-10, FRP = 25.1 h) and qa-2:VVD transformants (FRP = 25.0 h) are long, due to the presence of histidine in the growth medium",Explicit tau measurement stated in Results section for qa-2:VVD transformant (40-3) in DD constant darkness at 25°C. This is a rescue strain where vvd is reintroduced under inducible promoter.,Neurospora crassa,5253986,Neurospora crassa is a model fungal organism commonly used in circadian biology research,0.95,False,primary,2005_gad.349305.pdf,2005_gad.349305.pdf,,"Strain grown on medium with histidine, which lengthens period compared to wild-type. This is a rescue strain (qa-2:VVD knock-in) where vvd expression is restored under inducible qa-2 promoter.",2026-03-27,0.95,,tau_2005_gad_349305_qa2vvd,,,,
10.1101/gad.349305,The PAS/LOV protein VIVID supports a rapidly dampened daytime oscillator that facilitates entrainment of the Neurospora circadian clock,"Elvin, M.; Loros, J.J.; Dunlap, J.C.; Heintzen, C.",Elvin,2005,Genes & Development,2026-03-27T17:18:43Z,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,Neurospora,Neurospora crassa,29.0,,,,,,not_specified,,"frq7, bd",585-7,DD,25,conidiation_rhythm,conidiation_rhythm,,,168,"We repeated the entrainment experiment with the long period (29 h) frq7 mutant, reasoning that banding in LL should follow a long period rhythm if under control of the frq locus",Period explicitly stated as ~29 h for frq7 mutant in text. frq7 is a well-characterized clock mutant with a longer than wild-type period. All experiments conducted at 25°C in DD (constant darkness).,Neurospora crassa,5253986,Neurospora crassa is a model fungal organism commonly used in circadian biology research. frq7 is a classic circadian period mutant.,0.9,False,primary,2005_gad.349305.pdf,2005_gad.349305.pdf,,frq7 is a clock mutant with a naturally long period (~29 h). frq (frequency) locus controls period length in Neurospora. Measurement context: testing frq-dependent period effects in LL after entrainment.,2026-03-27,0.9,,tau_2005_gad_349305_frq7,,,,
10.1101/gad.360906,Phosphorylation-dependent maturation of Neurospora circadian clock protein from a nuclear repressor toward a cytoplasmic activator,"Tobias Schafmeier, Krisztina Káldi, Axel Diernfellner, Christian Mohr, Michael Brunner",Schafmeier,2006,Genes & Development,2026-03-27T17:18:43Z,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,Neurospora,Neurospora crassa,21.52,0.74,0.2616,,,8,not_specified,,frq-S885/7D,frq10 transformant,DD,,conidiation_rhythm,conidiation_rhythm,,Germany,304,"frq-S885/7D was rhythmic on race tubes in DD (Fig. 5E). The free-running period (21.52 ± 0.74 h, n = 8) was similar to that of the frq+-transformed control strain (21.59 ± 0.5 h, n = 2)",DD (constant darkness) is constant condition tau per CRITICAL RULES. Extracted from Figure 5E racetube analysis with n=8 replicates and SD provided.,Neurospora crassa,5253986,Model organism for circadian biology research,0.95,False,primary,Genes & Development 2006,2006_gad.360906.pdf,,Frq-S885/7D is a phospho-mimetic mutant with enhanced cytoplasmic function. Control frq+ strain had tau=21.59±0.5h (n=2). Phase advance of 3h observed vs control.; SEM computed from SD/√n,2026-03-27,0.95,,2006_gad.360906_fig5e_frqS885_7D,,,,
10.1101/gad.360906,Phosphorylation-dependent maturation of Neurospora circadian clock protein from a nuclear repressor toward a cytoplasmic activator,"Tobias Schafmeier, Krisztina Káldi, Axel Diernfellner, Christian Mohr, Michael Brunner",Schafmeier,2006,Genes & Development,2026-03-27T17:18:43Z,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,Neurospora,Neurospora crassa,21.59,0.5,0.3536,,,2,not_specified,,frq+,frq10 transformant (control),DD,,conidiation_rhythm,conidiation_rhythm,,Germany,304,"frq-S885/7D was rhythmic on race tubes in DD (Fig. 5E). The free-running period (21.52 ± 0.74 h, n = 8) was similar to that of the frq+-transformed control strain (21.59 ± 0.5 h, n = 2)","DD (constant darkness) is constant condition tau per CRITICAL RULES. Control wild-type strain from same figure for comparison, n=2 replicates with SD provided.",Neurospora crassa,5253986,Model organism for circadian biology research,0.92,False,primary,Genes & Development 2006,2006_gad.360906.pdf,,Wild-type control for frq-S885/7D comparison. Small sample size (n=2) noted in original.; SEM computed from SD/√n,2026-03-27,0.92,,2006_gad.360906_fig5e_frqplus_control,,,,
10.1073/pnas.97.1.256,Circadian rhythms in Neurospora crassa: Lipid deficiencies restore robust rhythmicity to null frequency and white-collar mutants,"Patricia L Lakin-Thomas, Stuart Brody",Patricia L Lakin-Thomas,2000,Proceedings of the National Academy of Sciences of the United States of America,2026-03-27T17:18:43Z,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,Neurospora,Neurospora crassa,20.0,,,,,,not_specified,,,cel,DD,22,conidiation_rhythm,conidiation_rhythm,,,256-261,the cel strain has a period of about 20 h,Explicit period measurement in text for cel strain in DD at 22°C,Neurospora crassa,5253986,,0.75,False,primary,,2000_pnas.97.1.256.pdf,,,2026-03-27,,,,,,,
10.1371/journal.pone.0007571,Timing of Locomotor Activity Circadian Rhythms in Caenorhabditis elegans,"Simonetta SH, Migliori ML, Romanowski A, Golombek DA",Simonetta,2009,PLoS ONE,2026-03-27T17:18:43Z,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,Caenorhabditis,Caenorhabditis elegans,23.9,0.4,,,,,not_specified,adult,,N2 (wild type),DD,18,locomotor_activity,locomotor_activity,,,1-2,"under constant conditions, circadian periodicity shows a population distribution of periods centered at 23.9±0.4 h","Wild-type control, constant dark conditions (DD), 18°C. Reported in abstract and confirmed in results (Figure 4B). Temperature-compensated (15-25°C range).",Caenorhabditis elegans,2283683,"Model nematode, extensively used in genetic research",0.95,False,primary,/sessions/laughing-pensive-hopper/mnt/tau/pdfs/paper1_0007571.pdf,paper1_0007571.pdf,,"Population mean from histogram analysis, rhythmic animals under DD conditions",2026-03-27,0.95,,paper1_0007571_N2_DD,,,,pdfs/Nematoda/10_1371_journal_pone_0007571.pdf
10.1371/journal.pone.0007571,Timing of Locomotor Activity Circadian Rhythms in Caenorhabditis elegans,"Simonetta SH, Migliori ML, Romanowski A, Golombek DA",Simonetta,2009,PLoS ONE,2026-03-27T17:18:43Z,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,Caenorhabditis,Caenorhabditis elegans,25.2,0.4,0.0784,,,26,not_specified,adult,lin-42(mg152),lin-42(mg152),DD,18,locomotor_activity,locomotor_activity,,,1-2,lin-42(mg152) mutants exhibit a significantly longer circadian period of 25.2±0.4 h,"lin-42 period homolog mutant (8 bp deletion, 2 bp insertion, stop codon, PAS domain lost). Constant dark conditions (DD), 18°C. n=26 animals per Figure 5a.",Caenorhabditis elegans lin-42(mg152),2283683,"Clock gene mutant, lin-42 is period homolog",0.95,False,primary,/sessions/laughing-pensive-hopper/mnt/tau/pdfs/paper1_0007571.pdf,paper1_0007571.pdf,,Homolog of Drosophila/mammalian per gene. Significant increase vs N2 controls (p<0.05); SEM computed from SD/√n,2026-03-27,0.95,,paper1_0007571_lin42mg152_DD,,,,pdfs/Nematoda/10_1371_journal_pone_0007571.pdf
10.1371/journal.pone.0007571,Timing of Locomotor Activity Circadian Rhythms in Caenorhabditis elegans,"Simonetta SH, Migliori ML, Romanowski A, Golombek DA",Simonetta,2009,PLoS ONE,2026-03-27T17:18:43Z,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,Caenorhabditis,Caenorhabditis elegans,25.6,0.5,0.07,,,51,not_specified,adult,lin-42(n1089),lin-42(n1089),DD,18,locomotor_activity,locomotor_activity,,,1-2,"lin-42(n1089) mutants also exhibited a significant increase in circadian period (25.6±0.5 h, p<0.02 versus N2 controls)","lin-42 period homolog mutant (5233 bp deletion including PAS domain). Constant dark conditions (DD), 18°C. n=51 animals per Figure 5b.",Caenorhabditis elegans lin-42(n1089),2283683,"Clock gene mutant, lin-42 is period homolog",0.95,False,primary,/sessions/laughing-pensive-hopper/mnt/tau/pdfs/paper1_0007571.pdf,paper1_0007571.pdf,,Longer period allele than mg152. Significant increase vs N2 controls (p<0.02); SEM computed from SD/√n,2026-03-27,0.95,,paper1_0007571_lin42n1089_DD,,,,pdfs/Nematoda/10_1371_journal_pone_0007571.pdf
