"fragment","temperature","severity"
145,26.2534711058252,"None"
146,28.9726322060451,"Mild"
147,31.8106435313821,"Severe"
148,28.7078069183044,"Moderate"
149,28.7650912627578,"Mild"
150,27.8119008066133,"None"
151,30.582363831345,"Severe"
152,26.282635464333,"None"
153,26.5207914486527,"None"
154,31.960051368922,"Severe"
155,31.6630852501839,"Severe"
156,28.7970021278597,"Mild"
157,31.7034673821181,"Mild"
158,29.274635345675,"Moderate"
159,27.5224925284274,"Moderate"
160,26.7803295338526,"None"
161,29.6207814402878,"Mild"
162,27.6690152548254,"None"
163,28.5102694858797,"Moderate"
164,26.9644921477884,"None"
165,29.1705143623985,"Moderate"
166,27.1631500688381,"None"
167,30.3584144869819,"Severe"
168,31.0915550794452,"Severe"
169,30.5542342509143,"Severe"
170,28.052284269128,"Mild"
171,28.1714606899768,"Mild"
172,31.1003173589706,"Moderate"
173,31.0257971240208,"Severe"
174,31.4977886630222,"Moderate"
175,27.6015520347282,"None"
176,28.1419067489915,"Mild"
177,26.1401560157537,"None"
178,29.9021681826562,"Severe"
179,30.2158092008904,"Moderate"
180,29.2852435787208,"Moderate"
