Date,Open,High,Low,Close,Volume
1996-02-01,1.8272,2.321,1.8272,1.9259,3056229
1996-03-01,1.9259,2.0247,1.7284,1.7654,1645817
1996-04-01,1.7654,2.1728,1.7531,2.0494,1736940
1996-05-01,2.0741,2.0988,1.7284,1.8025,2683122
1996-06-01,1.8272,1.8272,1.284,1.6543,2032084
1996-07-01,1.679,1.679,1.1358,1.1852,1348648
1996-08-01,1.1852,1.284,1.0864,1.1852,854043
1996-09-01,1.1605,1.5802,1.0864,1.358,1435723
1996-10-01,1.3333,1.4074,1.1481,1.1852,1118304
1996-11-01,1.1605,1.4321,1.1358,1.4074,1728840
1996-12-01,1.4321,1.8272,1.4074,1.4321,2155104
1997-01-01,1.4321,1.5802,1.4074,1.4568,660145
1997-02-01,1.4815,1.8025,1.3333,1.7037,1450912
1997-03-01,1.7284,1.7531,1.4321,1.5309,652046
1997-04-01,1.5309,2.0494,1.5309,1.9259,1373960
1997-05-01,1.9259,2.1235,1.8025,1.8765,1478753
1997-06-01,1.8765,1.9753,1.7284,1.7284,852524
1997-07-01,1.7284,2.5432,1.7284,2.1852,3372634
1997-08-01,2.1728,2.7531,2.0988,2.5432,3254173
1997-09-01,2.5679,2.6173,2.2963,2.5926,2162190
1997-10-01,2.5926,3.3086,2.4691,2.4691,5023010
1997-11-01,2.4938,2.7407,2.321,2.3704,1130958
1997-12-01,2.4198,2.5185,1.3333,1.9259,2638573
1998-01-01,1.9753,1.9753,1.6296,1.7778,709760
1998-02-01,1.8272,2.321,1.8272,2.1975,1460022
1998-03-01,2.2222,2.2222,1.8889,1.9506,605978
1998-04-01,1.963,2.0247,1.6049,1.7531,1098560
1998-05-01,1.7284,1.7284,1.3333,1.6049,926940
1998-06-01,1.6296,1.679,1.3086,1.358,958834
1998-07-01,1.358,1.4321,1.2099,1.284,504223
1998-08-01,1.284,1.284,0.8642,0.8642,929472
1998-09-01,0.8395,1.0864,0.7407,0.9877,2032591
1998-10-01,0.963,1.1111,0.7778,1.037,798861
1998-11-01,1.0617,1.284,1.0617,1.1111,671790
1998-12-01,1.0864,1.1605,0.8148,0.9877,1113239
1999-01-01,1.0123,1.3827,1.0123,1.1111,795316
1999-02-01,1.1111,1.1358,0.9259,0.9753,519915
1999-03-01,0.963,0.9753,0.8148,0.963,729502
1999-04-01,0.9753,0.9753,0.7901,0.9753,909728
1999-05-01,0.9877,1.2099,0.8889,0.9136,1042872
1999-06-01,0.9383,1.7778,0.9012,1.6543,3633859
1999-07-01,1.679,1.9259,1.6049,1.6667,1466604
1999-08-01,1.642,1.642,1.3086,1.3827,753297
1999-09-01,1.4074,1.5802,1.1358,1.1358,1670118
1999-10-01,1.1605,2.4198,1.1358,2.3704,5417883
1999-11-01,2.3827,3.5802,2.3827,3.0123,10338632
1999-12-01,2.8642,4.3951,2.8642,4.2469,3503248
2000-01-01,4.3457,5.3333,3.358,4.7161,4958210
2000-02-01,4.6914,5.5309,4.4444,5.0123,4151247
2000-03-01,5.0617,7.9506,4.7407,7.4074,7808397
2000-04-01,7.7778,7.8765,4.6667,7.2716,5386497
2000-05-01,7.2717,7.8519,4.7901,5.3827,4691415
2000-06-01,5.3827,10.1606,5.4321,8.4691,14719722
2000-07-01,7.1358,8.5926,5.4444,6.0741,14208070
2000-08-01,6.2963,7.0187,4.4444,6.3333,10851972
2000-09-01,6.2963,6.4815,4.037,4.5556,6804330
2000-10-01,4.5556,5.4815,3.1852,4.6667,9461471
2000-11-01,4.5185,5.1111,2.9076,3.2963,5072618
2000-12-01,3.4074,4.1481,2.3333,3.0741,6111108
2001-01-01,3.1111,4.7224,2.8148,3.9816,5947420
2001-02-01,3.861,4.2222,2.963,3.037,2275084
2001-03-01,2.9446,3.389,2.3704,2.4907,2655107
2001-04-01,2.4027,3.1407,1.6667,2.7259,2792132
2001-05-01,2.7052,3.2296,2.3852,3.1704,2257868
2001-06-01,2.9778,3.2593,2.5748,2.7556,772194
2001-07-01,2.72,2.8889,2.3704,2.5778,787721
2001-08-01,2.6904,2.9778,2.2281,2.5778,1544057
2001-09-01,2.5244,2.5447,1.2296,1.3778,1028359
2001-10-01,1.3319,2.163,1.2444,1.7185,858594
2001-11-01,1.7481,2.0741,1.7215,1.837,1182257
2001-12-01,1.837,2.3704,1.837,1.9704,1972682
2002-01-01,1.9763,2.4444,1.9407,2.1867,753632
2002-02-01,2.1926,2.3407,2,2.1511,510969
2002-03-01,2.1333,2.6222,2.0919,2.3985,997982
2002-04-01,2.3941,2.6074,2.3407,2.3941,574084
2002-05-01,2.3941,2.8563,2.3941,2.4919,863996
2002-06-01,2.4681,2.8415,2.003,2.5274,877496
2002-07-01,2.6637,2.6933,1.9733,2.637,819106
2002-08-01,2.6519,2.9037,2.3289,2.6664,1609569
2002-09-01,2.6519,2.6519,1.9941,2.163,683393
2002-10-01,2.163,2.7852,1.7985,2.6667,903625
2002-11-01,2.6104,3.2504,2.6104,3.2234,906330
2002-12-01,3.2652,3.3333,2.6104,2.8474,839195
2003-01-01,2.8477,3.7333,2.8415,3.4222,1340441
2003-02-01,3.4074,3.6296,2.7763,3.0133,1782552
2003-03-01,3.04,3.1556,2.8237,3.1111,977564
2003-04-01,3.1407,4.6578,3.117,4.5185,5294234
2003-05-01,4.5837,5.3333,4.2815,5.2681,4823359
2003-06-01,5.3333,6.5007,5.1585,5.68,6753665
2003-07-01,5.6119,7.3778,5.2415,6.0296,6699323
2003-08-01,5.8696,6.4296,5.3333,6.2044,2855116
2003-09-01,6.2222,6.9007,5.8015,6.1007,2576197
2003-10-01,6.0593,7.3126,5.9585,6.9659,2526075
2003-11-01,6.963,9.4459,6.96,9,8635629
2003-12-01,9.1111,9.6667,8.0267,8.4444,4527322
2004-01-01,8.5511,11.9822,8.4444,9.7333,7247923
2004-02-01,9.7333,11.1556,9.3467,10.1689,4143518
2004-03-01,9.96,10.56,8.8889,9.6756,4525105
2004-04-01,9.6667,11.2222,9.5067,9.6489,5604788
2004-05-01,9.5556,10.2978,8.9556,9.7022,2608925
2004-06-01,9.6044,10.7956,9.3467,10.5289,3237584
2004-07-01,10.5022,10.6222,7.1778,10.1867,5154144
2004-08-01,10.0533,10.5822,8.48,8.5378,4901025
2004-09-01,8.6133,11.6444,8.2222,11.4489,5068708
2004-10-01,11.6,13.1822,10.8089,12.9911,8000936
2004-11-01,12.8711,13.0444,10.4578,11.0533,8218857
2004-12-01,10.9111,11.0618,9.5556,10.0578,9516173
2005-01-01,9.9822,10.1244,8.4756,9.4222,7280985
2005-02-01,9.3467,12,9.2444,11.4267,8030624
2005-03-01,11.44,12.3822,10.56,12.0578,5476197
2005-04-01,12,13.2222,10.9778,13.0178,7307161
2005-05-01,13.2889,15.0444,12.2711,14.7778,12526034
2005-06-01,14.7422,14.9778,12.8178,13.8667,16175543
2005-07-01,13.8578,17.2444,13.6889,17.1689,10037127
2005-08-01,17.2356,17.2356,14.8222,16.1111,9351686
2005-09-01,15.9956,17.6,15.5644,16.1156,9657384
2005-10-01,16.1556,17.04,15.0044,16.1156,10578763
2005-11-01,16.0267,18.2089,15.5867,17.9422,8250644
2005-12-01,18.2667,23.4533,17.3667,20.7,13519099
2006-01-01,20.8333,24.8667,20.68,24.6933,12212781
2006-02-01,24.6667,26.26,23.4667,25.1867,10688356
2006-03-01,25.34,27.6667,23.3733,27.6667,9740824
2006-04-01,27.6933,28.7,25.74,27.16,4801062
2006-05-01,27.1333,29.2267,21.1,23.74,16125911
2006-06-01,24.3467,28,22.2667,27.6267,13250056
2006-07-01,27.34,28,21.66,23.9267,9132334
2006-08-01,23.8467,26.9667,22.92,24.96,11450263
2006-09-01,25,31.72,23.9133,28.78,16262413
2006-10-01,28.86,30.32,26.9933,29.36,18839945
2006-11-01,29.7733,30.1733,25.1133,27.5933,15885498
2006-12-01,27.7133,28.58,23.62,23.6533,12184082
2007-01-01,23.7667,24.5867,21.8667,24.4467,15439792
2007-02-01,24.52,27.0533,23.7667,25.0267,15624887
2007-03-01,24.52,24.8867,22.5,23.2333,14981800
2007-04-01,23.6267,25.3333,22.8,24.6133,10594670
2007-05-01,24.5667,25.4267,22.9333,24.66,10159902
2007-06-01,24.7333,27.9867,23.68,27.8467,15668738
2007-07-01,27.8667,29.9667,26.0667,26.57,18052511
2007-08-01,26.42,31.7,26.4,30.31,18606073
2007-09-01,30.32,33.47,29.06,32.1,10195592
2007-10-01,31.96,35,30.41,33.06,11325293
2007-11-01,32.95,33.09,27.39,29.42,10473982
2007-12-01,29.13,31.47,26.79,30.07,7473674
2008-01-01,29.96,30.26,22.55,23.15,11642433
2008-02-01,23.29,25.1,22.09,22.57,10713936
2008-03-01,22.54,23.9,19.51,21.96,11788389
2008-04-01,22.1,27.56,22.09,27.04,9662523
2008-05-01,26.63,28.39,26.06,28.23,8227896
2008-06-01,28.16,31.26,26.63,27.64,13034286
2008-07-01,27.3,27.46,23.75,25.97,8987922
2008-08-01,25.97,28.96,23.7,23.79,7245876
2008-09-01,24.47,24.61,16.99,18.45,14882039
2008-10-01,18,18.03,7.97,9.88,17021578
2008-11-01,9.88,11.33,2.95,4.67,15588021
2008-12-01,4.56,7.1301,3.93,6.06,18117978
2009-01-01,6.14,7.71,5.5001,6.48,8944040
2009-02-01,6.29,8.5,6.18,7.78,7985884
2009-03-01,7.63,11.5,6.5,10.61,11793043
2009-04-01,10.4,15.7796,10.02,14.88,9081331
2009-05-01,14.84,16.9,11.5001,15.37,10289077
2009-06-01,15.6,17.2,14.18,15.64,8797543
2009-07-01,15.93,18.96,14.78,18.46,5719059
2009-08-01,18.6,21.88,18.46,20.27,7866407
2009-09-01,20.24,22.17,17.78,18.09,7171769
2009-10-01,17.95,19.89,16.13,16.38,8173990
2009-11-01,16.65,18.73,15.01,17.54,5605868
2009-12-01,17.75,21.1,17.66,20.41,5040574
2010-01-01,20.63,21,16.41,16.68,4999968
2010-02-01,16.7,20.83,16.46,19.61,5027157
2010-03-01,19.67,23.34,19.33,22.4,7757381
2010-04-01,22.59,24.89,21.46,21.47,6864111
2010-05-01,21.64,21.87,17.81,19.76,8943988
2010-06-01,19.51,19.88,15.8,15.87,7316527
2010-07-01,15.86,19.73,15.56,17.68,7269708
2010-08-01,17.77,18.405,14.5,14.73,7386011
2010-09-01,15.06,17.67,14.5,17.09,7463851
2010-10-01,17.27,22,16.86,21.98,6171967
2010-11-01,21.97,25,21.97,24.7,7479416
2010-12-01,24.99,27.98,24.8,26.99,4473960
2011-01-01,27.2,28,24.31,25.74,5225113
2011-02-01,25.86,31,25.461,28.96,6218380
2011-03-01,29.25,34.5,27.5,34.06,10486770
2011-04-01,34.3,34.47,30.9,34.22,5057529
2011-05-01,34.5,34.67,28,29.2,6975196
2011-06-01,29.2,29.5,21.76,26.1,9640121
2011-07-01,26.17,27.03,22.89,23.55,5374801
2011-08-01,23.87,23.99,17.37,20.02,11744425
2011-09-01,20.08,20.26,17.05,17.92,9793490
2011-10-01,17.67,23.07,16.74,22.37,8316752
2011-11-01,21.48,24.25,18.4,20.5,8855061
2011-12-01,20.41,22.33,19.18,21.3,4925979
2012-01-01,21.85,26.15,20.68,25.78,5477438
2012-02-01,25.93,27.57,24.8374,24.84,5848217
2012-03-01,24.9,25.1,22.0915,23.18,6200383
2012-04-01,23.07,23.49,20.77,22.29,4470791
2012-05-01,22.27,22.97,18.73,19.57,5501394
2012-06-01,19.11,20.75,17.24,18.77,7263969
2012-07-01,18.92,19.24,17,18.94,3558366
2012-08-01,19.08,19.82,17.4975,18.49,6019151
2012-09-01,18.54,19.79,16.88,17.01,5119174
2012-10-01,17.14,17.39,14.64,15.16,6886235
2012-11-01,15.22,16.09,12.95,15.14,6065359
2012-12-01,15.27,17.99,14.8,17.35,4679159
2013-01-01,17.88,19.53,17.49,19.02,4111861
2013-02-01,19.2,21.66,18.55,19.93,5662918
2013-03-01,19.7,21.64,19.075,20.98,3723634
2013-04-01,20.98,20.98,17.78,20.26,4894151
2013-05-01,20.1,24.8837,19.29,23.6,7167043
2013-06-01,23.77,26.22,22.76,25.97,8707692
2013-07-01,26.14,28.2,25.97,27.41,7083302
2013-08-01,27.6,28.46,23.415,24.9,5467263
2013-09-01,25.31,26.07,24.11,24.5,3182566
2013-10-01,24.56,25.36,22.6104,24.22,5941678
2013-11-01,24.31,24.499,19.26,20.43,6516759
2013-12-01,20.45,23.78,19.88,23.56,5742830
2014-01-01,23.42,24.89,22.514,22.91,4094776
2014-02-01,22.91,26.32,21.46,23.81,3217699
2014-03-01,23.63,26.3039,23.2196,26.12,4351481
2014-04-01,26.23,28.73,25.76,26.37,5946352
2014-05-01,26.32,28.32,25.5,27.67,6148647
2014-06-01,27.5,30.79,26.78,28.96,6901718
2014-07-01,29.03,30.19,25.31,25.5,5513646
2014-08-01,25.55,27.65,24.77,25.45,5047754
2014-09-01,25.51,26.18,23.91,23.92,3999344
2014-10-01,23.93,26.1,19.655,25.83,7684117
2014-11-01,25.83,26.99,24.89,26.59,4366057
2014-12-01,26.58,27.96,25.66,27.57,3711744
2015-01-01,27.67,27.81,25.37,26.43,2996328
2015-02-01,26.42,29,25.67,28.49,3080985
2015-03-01,28.56,30.65,26.78,28.56,5110283
2015-04-01,28.35,28.75,26.54,26.72,3451816
2015-05-01,26.78,27.53,25.22,26.48,3463719
2015-06-01,26.53,26.67,24.08,24.11,4178587
2015-07-01,24.37,24.5,21.54,22.19,4188688
2015-08-01,22.18,22.47,18.42,19.69,4702665
2015-09-01,19.39,23.525,18.82,21.37,6397974
2015-10-01,21.36,23.73,20.32,22.9,3484881
2015-11-01,22.85,23.76,18.9,23.29,4129152
2015-12-01,23.16,25.2,21.9711,22.98,5148803
2016-01-01,22.62,22.9399,18.21,19.13,3688416
2016-02-01,19.02,19.96,16.58,19.14,4179515
2016-03-01,19.26,20.73,18.4,20.1,3773681
2016-04-01,19.92,20.65,18.22,18.62,4414218
2016-05-01,18.63,19.68,16.75,19.26,4920796
2016-06-01,19.23,20.38,17.28,18.79,2770532
2016-07-01,18.63,19.26,16.92,18.51,2717601
2016-08-01,18.52,20.77,17.825,20.59,3842040
2016-09-01,20.62,21.63,19.53,21.34,2360110
2016-10-01,21.31,21.61,19.64,20.71,2026549
2016-11-01,20.71,24.48,20.01,24.35,3312335
2016-12-01,24.49,27.17,22.79,25.67,4439929
2017-01-01,25.75,26.43,24.45,24.89,2619156
2017-02-01,25.25,26.27,23.1958,23.87,2976959
2017-03-01,24.2,24.9,23.23,24.05,3763224
2017-04-01,24.06,24.8,22.06,23.39,4145389
2017-05-01,23.55,27.5,22.44,25.61,6374481
2017-06-01,25.66,27.445,23.86,24.03,5374666
2017-07-01,24.29,27.39,23.51,26.53,5150272
2017-08-01,26.56,28.31,25.76,28.14,6274150
2017-09-01,28.19,29.97,26.59,29.93,4742101
2017-10-01,30,31,29.72,30.84,1453351
This document was made with Webix library. http://webix.com,,,,,
