clade,species,haploid_number,citation
Accipitriformes,Haliaeetus albicilla,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Haliaeetus leucocephalus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Haliastur indus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Icthyophaga leucogaster,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Icthyophaga vocifer,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Leptodon cayanensis,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Lophaetus occipitalis,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Pernis apivorus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Pseudastur albicollis,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Aquila chrysaetos,31,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Nisaetus nipalensis,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Stephanoaetus coronatus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Morphnus guianensis,27,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Aquila adalberti,41,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Aquila heliaca,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Aquila rapax,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Haliaeetus pelagicus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Harpia harpyja,29,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Neophron percnopterus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Coragyps atratus,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Milvus migrans,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gymnogyps californianus,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gyps bengalensis,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gyps rueppelli,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Necrosyrtes monachus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Sarcogyps calvus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Torgos tracheliotos,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Cathartes aura,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Cathartes burrovianus,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Sarcoramphus papa,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gyps fulvus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Aegypius monachus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gyps himalayensis,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gypaetus barbatus,30,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Vultur gryphus,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Gyps coprotheres,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Anabantiformes,Anabas cobojius,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Anabas testudineus,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Anabas testudineus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Badis badis,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Betta pi,17,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Betta prima,19,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Betta pugnax,20,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Betta simplex,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Betta splendens,21,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa argus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa asiatica,22,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa barca,19,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa gachua,39,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa lucius,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa maculata,21,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa marulius,22,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa marulius,20,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa micropeltes,22,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa orientalis,38,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa orientalis,39,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa punctata,16,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa punctata,17,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa stewartii,33,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa striata,20,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Channa striatus,20,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Colisa chuna,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Colisa fasciatus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Colisa labiosus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Colisa lalius,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Colisa sota,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Ctenopoma acutirostre,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Ctenopoma muriei,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Ctenopoma ocellatum,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Ctenopoma petherici,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Ctenops nobilis,22,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Helostoma temminkii,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Macropodus chinensis,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Macropodus chinensis,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Macropodus ocellatus,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Macropodus opercularis,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Macropodus spechti,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Microctenopoma ansorgei,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Microctenopoma congicum,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Microctenopoma pekkolai,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Nandus nandus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Nandus oxyrhynchus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Osphronemus goramy,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Parachanna obscura,21,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Parosphromenus sumatranus,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Pristolepis marginata,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Trichogaster fasciatus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Trichogaster labiosus,24,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
Anabantiformes,Trichogaster lalius,23,"Fish Karyome Database, mail.nbfgr.res.in/Fish_Karyome/; Arai, R. (2011) Fish Karyotypes: A Check List. Springer, Tokyo, 97-116. https://doi.org/10.1007/978-4-431-53877-6"
