"id","mass_1","mass_2","native_niche","test_nich"
232,5.07,6.22680111464789,"S","O"
578,4.69,5.77243267402809,"S","O"
804,4.32,5.15867974632807,"S","O"
656,4.22,5.05382329941179,"S","O"
745,4.95,5.90217311713711,"S","O"
40,4.96,5.9957616834046,"S","O"
374,4.19,5.2224140075818,"S","O"
935,4.89,5.94460019650516,"S","O"
155,4.89,5.96728451749716,"S","O"
307,4.26,4.87310260488508,"S","O"
547,3.71,4.34320414279412,"S","O"
371,4.51,5.48803786805449,"S","O"
961,4.42,5.41199614477324,"S","O"
872,4.36,5.15237595738853,"S","O"
716,5.16,6.10433505381299,"S","O"
788,4.58,5.43266446383859,"S","O"
573,4.75,5.23264478639346,"S","O"
352,4.59,5.70844410229171,"S","O"
462,5.16,6.37618025160016,"S","O"
438,4.84,5.990244651775,"S","O"
744,4.81,5.83413028461807,"S","O"
221,3.98,4.64676407083301,"S","O"
712,4.71,5.59133652365684,"S","O"
316,4.9,5.83037683691851,"S","O"
685,4.54,5.62074870872498,"S","O"
787,5.47,6.14621580042461,"S","O"
206,4.79,6.18472418382346,"S","O"
624,4.17,5.01225055000077,"S","O"
4,4.93,6.00373268789948,"S","O"
657,4.63,5.52186859515964,"S","O"
246,4.45,4.87359261659978,"S","O"
293,4.59,5.4657732922258,"S","O"
774,4.69,6.02756958846131,"S","O"
752,4.67,5.98947422525332,"S","O"
363,4.6,5.82884566576434,"S","O"
698,4.55,5.77882623943727,"S","O"
224,4.9,5.85037467551732,"S","O"
498,5.26,6.39293100720937,"S","O"
18,4.48,5.25934880176805,"S","O"
337,4.61,6.53511576518999,"S","S"
889,4.79,7.04470520363288,"S","S"
172,4.6,6.80568852837802,"S","S"
178,4.39,6.06539981135293,"S","S"
99,4.88,6.31848730271489,"S","S"
230,5.24,7.67564580618445,"S","S"
76,4.93,7.34093584564711,"S","S"
451,4.79,7.4736232084141,"S","S"
228,4.08,5.46664753284357,"S","S"
343,4.5,6.32048434671426,"S","S"
574,4.02,5.92727362977457,"S","S"
753,4.59,2.461455635381,"S","S"
254,4.09,6.23460442774877,"S","S"
50,5.06,6.50189744349099,"S","S"
635,4.74,6.37641715334617,"S","S"
57,4.39,6.15075578740066,"S","S"
511,5.11,7.18809191609351,"S","S"
114,4.44,6.5240557438896,"S","S"
200,4.13,5.90580766446693,"S","S"
406,4.59,6.78528200289555,"S","S"
448,4.87,6.56585053764598,"S","S"
817,4,5.02209862997186,"S","S"
500,4.24,5.46974528715636,"S","S"
757,5.01,6.84377863110636,"S","S"
196,4.34,5.40017918115307,"S","S"
291,5.21,6.86130810360661,"S","S"
978,4.94,7.12700106361894,"S","S"
180,4.68,7.04803399787552,"S","S"
718,4.42,6.30002715596055,"S","S"
737,4.24,6.42524481859891,"S","S"
907,4.62,6.49693908822763,"S","S"
509,4.66,6.76166996752987,"S","S"
552,4.77,6.86326661476029,"S","S"
276,4.78,6.97513857670821,"S","S"
761,5.01,6.90494003526833,"S","S"
396,4.77,6.96217430025098,"S","S"
397,4.08,6.00500429804243,"S","S"
822,4.33,6.15785913018908,"S","S"
943,5,6.74534466475941,"S","S"
372,4.31,5.86718750858763,"S","S"
23,4.86,6.68039261689988,"S","S"
470,4.44,5.96723863696604,"S","S"
400,5.08,7.05480261219405,"S","S"
632,4.53,6.90835667147272,"S","S"
423,4.52,5.71226983666705,"S","S"
920,4.4,5.74810727135849,"S","S"
101,4.07,5.87668936740262,"S","S"
851,4.6,6.04728958118411,"S","S"
403,4.61,6.23525427179538,"S","S"
394,5.37,4.96328058504391,"S","S"
