state,posterior,prior,likelihood,16s_fas_gb.treeLikelihood,18s_fas_gb.treeLikelihood,28s_fas_gb.treeLikelihood,coi_1_1.treeLikelihood,speciation
27000,-412155.1439,-7822.366993,-404332.777,-72762.44884,-67093.72604,-21322.96722,-243153.6348,-5187.483205
28000,-411647.4496,-7834.297968,-403813.1517,-72754.44149,-66668.04586,-21299.54334,-243091.121,-5199.618079
29000,-411063.203,-7826.135406,-403237.0676,-72619.98046,-66517.67544,-21284.54601,-242814.8657,-5191.397469
30000,-410651.421,-7832.746626,-402818.6744,-72538.82091,-66463.30822,-21258.05532,-242558.4899,-5197.366697
31000,-409333.9406,-6904.903931,-402429.0367,-72402.53486,-66641.97659,-21297.94567,-242086.5795,-5200.251678
32000,-408986.4679,-6904.886689,-402081.5813,-72430.14874,-66156.98419,-21234.18231,-242260.266,-5200.203586
33000,-408168.149,-6904.121283,-401264.0277,-72220.61323,-66217.87356,-21265.1339,-241560.407,-5199.369907
34000,-407850.5718,-6906.909825,-400943.6619,-72219.94524,-65961.44476,-21269.40848,-241492.8635,-5202.135209
35000,-407602.0629,-6911.132466,-400690.9305,-72217.42994,-65847.97168,-21261.42798,-241364.1009,-5206.356747
36000,-407306.8481,-6911.938638,-400394.9095,-72180.88274,-65626.23122,-21167.70802,-241420.0875,-5207.129218
37000,-407029.9633,-6914.498918,-400115.4644,-72076.63174,-65498.31926,-21148.82825,-241391.6851,-5209.692544
38000,-406664.8795,-6915.75714,-399749.1224,-71884.72582,-65555.05681,-21146.44421,-241162.8955,-5211.047281
39000,-406491.0484,-6915.068376,-399575.9801,-71936.41053,-65141.83126,-21149.4578,-241348.2805,-5210.274929
40000,-405948.7969,-6916.832561,-399031.9643,-71729.10245,-65446.6564,-21225.00704,-240631.1985,-5212.153566
41000,-405722.464,-6914.426418,-398808.0376,-71740.12351,-65241.3815,-21158.38485,-240668.1478,-5210.079968
42000,-405352.1243,-6911.419057,-398440.7052,-71723.06321,-64983.81123,-21143.05895,-240590.7718,-5206.007862
43000,-404672.5904,-6485.46518,-398187.1252,-71704.90259,-64825.34311,-21112.15191,-240544.7276,-5206.694697
44000,-404327.8334,-6487.509952,-397840.3235,-71705.01277,-64568.43472,-21102.11444,-240464.7615,-5208.707115
45000,-404075.3424,-6495.941639,-397579.4007,-71636.53427,-64396.10659,-21076.56486,-240470.195,-5217.213671
46000,-403838.6022,-6487.822643,-397350.7795,-71577.02993,-64441.70374,-21066.08666,-240265.9592,-5212.708888
47000,-403641.2341,-6482.063912,-397159.1702,-71520.31511,-64555.28828,-21089.72706,-239993.8398,-5206.808476
48000,-403287.6829,-6483.162689,-396804.5202,-71480.99523,-64412.11547,-21050.71963,-239860.6899,-5207.749425
49000,-403132.3401,-6482.588792,-396649.7514,-71496.63536,-64393.69952,-21041.41998,-239717.9965,-5207.096232
50000,-402550.8439,-6250.105284,-396300.7386,-71470.76624,-64330.94182,-21041.55674,-239457.4738,-5207.537347
51000,-402390.2098,-6248.633994,-396141.5758,-71455.67161,-64208.41831,-21033.70864,-239443.7773,-5209.070724
52000,-401642.7598,-5746.841114,-395895.9186,-71420.9073,-64290.40978,-21042.98644,-239141.6151,-5210.873609
53000,-401540.2354,-5697.043365,-395843.1921,-71490.77479,-64065.23251,-21034.30134,-239252.8834,-5212.924313
54000,-401379.0344,-5696.198623,-395682.8357,-71409.43716,-64131.9045,-21043.43498,-239098.0591,-5212.077529
55000,-401256.8909,-5695.87202,-395561.0189,-71401.64084,-64069.61603,-21006.23282,-239083.5292,-5211.590655
56000,-401015.2556,-5696.000229,-395319.2554,-71419.82154,-64089.61512,-21015.99325,-238793.8255,-5211.718864
57000,-400760.5501,-5693.959452,-395066.5907,-71427.35708,-63958.49732,-20989.33998,-238691.3963,-5209.792854
58000,-400575.8726,-5693.9833,-394881.8893,-71424.56643,-63739.77427,-20965.27042,-238752.2781,-5209.696475
59000,-400455.1639,-5694.266303,-394760.8976,-71425.36865,-63759.59951,-21002.53959,-238573.3899,-5209.137647
60000,-400355.1454,-5694.332549,-394660.8129,-71423.73795,-63674.34005,-20967.34828,-238595.3866,-5209.049269
61000,-399880.7902,-5289.68706,-394591.1031,-71442.64931,-63600.47327,-20940.7715,-238607.209,-5206.737032
62000,-399684.3753,-5289.797176,-394394.5781,-71417.11744,-63591.91877,-20939.65822,-238445.8837,-5206.847148
63000,-399558.8262,-5268.879149,-394289.9471,-71355.97219,-63750.19448,-20957.26759,-238226.5128,-5209.806213
64000,-399429.3048,-5267.594235,-394161.7106,-71332.29972,-63667.08524,-20982.62413,-238179.7015,-5208.521299
65000,-399267.6924,-5269.261318,-393998.4311,-71296.23916,-63681.08101,-20972.21792,-238048.893,-5209.653889
66000,-399087.9347,-5268.702584,-393819.2321,-71267.7802,-63583.87866,-20952.69279,-238014.8804,-5209.099262
67000,-398956.586,-5268.606324,-393687.9797,-71251.88674,-63477.25988,-20984.49624,-237974.3368,-5209.003002
68000,-398817.9542,-5266.786477,-393551.1677,-71143.00323,-63487.0429,-21022.53761,-237898.584,-5207.180571
69000,-398737.0798,-5262.563218,-393474.5166,-71154.43822,-63335.14021,-20992.48294,-237992.4552,-5207.916758
70000,-398564.4272,-5261.15936,-393303.2678,-71158.77424,-63268.96862,-21005.72659,-237869.7984,-5206.5129
71000,-398242.8514,-5254.115189,-392988.7362,-71161.5153,-63326.85142,-20991.29936,-237509.0701,-5207.088026
72000,-398115.7007,-5253.420455,-392862.2803,-71128.25767,-63306.68856,-21009.42234,-237417.9117,-5206.377588
73000,-397998.8757,-5254.139554,-392744.7361,-71099.85851,-63310.9669,-21013.43916,-237320.4715,-5207.204199
74000,-397879.6163,-5254.629458,-392624.9868,-71084.35497,-63271.85098,-20991.2373,-237277.5436,-5207.721572
75000,-397757.3715,-5256.5321,-392500.8394,-71091.09729,-63014.03813,-20970.54505,-237425.1589,-5209.091626
76000,-397693.7084,-5266.650953,-392427.0574,-71047.24596,-63195.88175,-20990.02594,-237193.9038,-5215.264725
77000,-397567.4609,-5264.234206,-392303.2267,-71063.07059,-63182.75633,-20974.37854,-237083.0213,-5212.833924
78000,-397432.1365,-5258.898503,-392173.238,-71065.91981,-63160.95797,-20960.79377,-236985.5664,-5212.013493
79000,-397309.266,-5256.883562,-392052.3824,-71004.58598,-63159.69503,-20973.34029,-236914.7611,-5209.998552
80000,-397244.7919,-5251.905036,-391992.8868,-70979.66806,-63163.70662,-20962.55623,-236886.9559,-5207.249578
81000,-397213.5036,-5252.276841,-391961.2268,-70974.98402,-63096.40877,-20996.23157,-236893.6024,-5207.621384
82000,-397146.4968,-5252.380004,-391894.1168,-70965.24724,-63193.18633,-20996.68864,-236738.9946,-5207.780293
83000,-397066.0862,-5255.927597,-391810.1586,-70961.53584,-63101.3245,-21000.73251,-236746.5658,-5211.329728
84000,-396816.313,-5255.621156,-391560.6919,-70971.28877,-63116.70732,-20995.25707,-236477.4387,-5211.013592
85000,-396769.1885,-5257.185892,-391512.0027,-71010.31969,-62988.47957,-20945.843,-236567.3604,-5212.472402
86000,-396668.4577,-5256.700514,-391411.7571,-70939.03452,-63101.40311,-20929.56289,-236441.7566,-5211.972567
87000,-396452.3347,-5256.268877,-391196.0658,-70831.73649,-63069.21219,-20928.40531,-236366.7118,-5211.405028
88000,-396288.8498,-5258.443766,-391030.406,-70764.96614,-62919.24526,-20896.16365,-236450.031,-5212.115844
89000,-396208.9067,-5257.929315,-390950.9774,-70735.75728,-62954.33889,-20908.08472,-236352.7965,-5211.601393
90000,-396099.8635,-5255.924702,-390843.9388,-70647.29388,-62972.14615,-20938.09972,-236286.399,-5209.600655
91000,-395977.6134,-5258.571302,-390719.0421,-70630.79151,-62869.62929,-20958.10878,-236260.5125,-5212.140271
92000,-395910.5336,-5254.268737,-390656.2649,-70618.54005,-62802.04358,-20959.99847,-236275.6828,-5210.947474
93000,-395888.2445,-5254.212774,-390634.0317,-70603.39164,-62870.74521,-20957.44834,-236202.4465,-5210.904803
94000,-395860.956,-5251.038449,-390609.9175,-70627.19795,-62772.46219,-20934.76969,-236275.4877,-5207.000806
95000,-395816.817,-5251.932438,-390564.8845,-70648.60646,-62715.17583,-20934.25607,-236266.8462,-5207.887278
96000,-395763.7056,-5253.373109,-390510.3325,-70579.1206,-62890.62789,-20958.40296,-236082.1811,-5209.918976
97000,-395697.468,-5254.120047,-390443.3479,-70591.36323,-62665.37675,-20926.54353,-236260.0644,-5210.402796
98000,-395586.6284,-5257.405916,-390329.2224,-70530.70368,-62752.19565,-20932.53382,-236113.7893,-5214.018778
99000,-395454.6915,-5255.382245,-390199.3092,-70450.4469,-62736.12668,-20917.75452,-236094.9811,-5211.620243
100000,-395361.5283,-5253.659158,-390107.8691,-70464.35439,-62663.9244,-20894.60191,-236084.9884,-5209.897156
101000,-395337.4868,-5252.7779,-390084.7089,-70493.57453,-62558.01751,-20895.79006,-236137.3268,-5208.915368
102000,-395223.8825,-5255.098862,-389968.7836,-70412.2699,-62545.1814,-20886.15968,-236125.1726,-5211.010354
103000,-395092.2278,-5251.440944,-389840.7869,-70399.71109,-62548.85479,-20887.66737,-236004.5536,-5207.372833
104000,-395066.2068,-5251.640903,-389814.5659,-70348.76542,-62641.56062,-20873.29458,-235950.9453,-5207.814192
105000,-394950.8104,-5249.351687,-389701.4587,-70382.90384,-62509.40028,-20879.97942,-235929.1752,-5204.861869
106000,-394910.7071,-5252.568341,-389658.1387,-70389.74971,-62589.88274,-20865.30801,-235813.1983,-5208.679058
107000,-394715.7597,-5250.428647,-389465.3311,-70326.06903,-62747.57892,-20896.72563,-235494.9575,-5203.947797
108000,-394691.5677,-5253.590632,-389437.9771,-70302.10098,-62690.15141,-20900.36408,-235545.3606,-5209.076391
109000,-394668.6944,-5250.943085,-389417.7514,-70290.83063,-62708.83476,-20895.07755,-235523.0084,-5206.428845
110000,-394632.5126,-5252.519176,-389379.9934,-70267.94758,-62782.47989,-20918.89938,-235410.6665,-5208.318188
111000,-394400.2225,-5251.683492,-389148.539,-70244.98648,-62724.70796,-20935.22398,-235243.6206,-5207.359902
112000,-394289.8993,-5251.149049,-389038.7502,-70168.56619,-62756.91871,-20892.14885,-235221.1165,-5206.692064
113000,-394278.159,-5250.609435,-389027.5495,-70182.27519,-62672.27482,-20882.82213,-235290.1774,-5205.895635
114000,-394112.364,-5254.948821,-388857.4151,-70075.45761,-62734.56388,-20901.03224,-235146.3614,-5209.988986
115000,-393766.0123,-5250.526811,-388515.4854,-70074.62036,-62430.03305,-20886.71533,-235124.1167,-5205.768497
116000,-393690.8449,-5253.235721,-388437.6092,-70038.34844,-62498.23492,-20901.57222,-234999.4536,-5208.597397
117000,-393630.4321,-5249.630097,-388380.802,-70016.99667,-62636.01956,-20934.29341,-234793.4924,-5200.973949
118000,-393608.633,-5252.4427,-388356.1903,-69996.95648,-62723.20976,-20939.60419,-234696.4199,-5207.431214
119000,-393526.403,-5251.924077,-388274.4789,-69982.04118,-62738.97179,-20938.47491,-234614.991,-5206.842749
120000,-393435.9644,-5243.363925,-388192.6005,-69974.17332,-62650.13048,-20897.27311,-234671.0236,-5201.454221
121000,-393414.3347,-5241.771396,-388172.5633,-69994.77982,-62696.79408,-20913.68287,-234567.3065,-5199.766427
122000,-392977.9066,-5252.192204,-387725.7144,-69950.25816,-62488.7046,-20954.61682,-234332.1348,-5205.83703
123000,-392717.8109,-5243.33084,-387474.48,-69937.46399,-62379.69736,-20940.53483,-234216.7839,-5200.416182
124000,-392682.0087,-5240.346813,-387441.6619,-69896.79909,-62623.69145,-21010.82674,-233910.3446,-5197.336912
125000,-392632.1364,-5242.695033,-387389.4413,-69900.5825,-62343.63058,-20966.6015,-234178.6267,-5200.558479
126000,-392596.7889,-5236.411692,-387360.3772,-69857.65787,-62528.11033,-21004.62454,-233969.9844,-5202.151428
127000,-392580.8181,-5241.488616,-387339.3295,-69861.22702,-62509.39759,-20991.70202,-233977.0028,-5207.472326
128000,-392478.4448,-5235.976786,-387242.468,-69758.13642,-62477.48114,-20968.24712,-234038.6033,-5201.686926
129000,-392404.9157,-5239.847994,-387165.0677,-69763.3234,-62479.53352,-20946.89688,-233975.3139,-5204.091583
130000,-392389.1062,-5240.364297,-387148.7419,-69805.36224,-62437.0868,-20948.09283,-233958.2,-5207.235495
131000,-392347.2926,-5239.441887,-387107.8507,-69767.86585,-62463.65793,-20939.76216,-233936.5648,-5205.748239
132000,-392273.0535,-5243.230501,-387029.823,-69693.3301,-62488.02984,-20935.38187,-233913.0812,-5207.942463
133000,-392053.9622,-5237.046732,-386816.9154,-69652.53228,-62435.60672,-20947.97427,-233780.8022,-5203.781153
134000,-392036.522,-5239.28511,-386797.2369,-69654.8784,-62446.40878,-20959.39286,-233736.5568,-5205.161267
135000,-392014.1383,-5237.597489,-386776.5408,-69682.11749,-62340.35441,-20946.86989,-233807.199,-5202.909351
136000,-391984.6876,-5237.271449,-386747.4161,-69684.16413,-62391.94518,-20938.08573,-233733.2211,-5201.572667
137000,-391977.2625,-5239.175805,-386738.0867,-69669.01379,-62385.55589,-20926.35932,-233757.1577,-5206.210145
138000,-391939.6786,-5239.67149,-386700.0072,-69630.35111,-62379.42637,-20908.40291,-233781.8268,-5206.045192
139000,-391915.6331,-5230.519854,-386685.1133,-69627.99962,-62379.66486,-20914.41171,-233763.0371,-5200.884326
140000,-391881.6485,-5229.487875,-386652.1606,-69607.91851,-62442.62287,-20939.61482,-233662.0044,-5198.973966
141000,-391866.559,-5229.371498,-386637.1875,-69588.55598,-62555.21847,-20953.30613,-233540.1069,-5199.739856
142000,-391809.9216,-5230.676053,-386579.2456,-69603.94846,-62471.88569,-20929.49411,-233573.9173,-5200.111475
143000,-391781.0134,-5230.001047,-386551.0124,-69627.1912,-62302.01145,-20890.15826,-233731.6515,-5198.598976
144000,-391760.3846,-5240.865575,-386519.519,-69629.157,-62291.65572,-20886.23929,-233712.467,-5209.935047
145000,-391687.0047,-5237.649133,-386449.3555,-69605.94171,-62410.16333,-20906.35316,-233526.8973,-5207.588943
146000,-391672.1967,-5230.358611,-386441.8381,-69583.8646,-62440.67502,-20903.52366,-233513.7749,-5199.746761
147000,-391631.7669,-5228.077061,-386403.6899,-69582.13039,-62505.46375,-20910.75866,-233405.3371,-5197.822753
148000,-391616.7363,-5228.112671,-386388.6237,-69557.4987,-62465.51276,-20858.79517,-233506.817,-5199.287292
149000,-391589.2564,-5230.121935,-386359.1345,-69573.8972,-62395.06449,-20868.42689,-233521.7459,-5201.292482
150000,-391539.609,-5229.851719,-386309.7573,-69528.75625,-62466.59609,-20878.94182,-233435.4631,-5199.944004
151000,-391507.9318,-5228.324403,-386279.6074,-69535.52889,-62421.0658,-20878.84795,-233444.1647,-5198.129545
152000,-391495.3849,-5229.486228,-386265.8986,-69513.67477,-62458.39307,-20882.20566,-233411.6251,-5199.449784
153000,-391499.7911,-5229.035037,-386270.7561,-69516.96444,-62365.54675,-20862.38444,-233525.8604,-5197.509758
154000,-391490.6348,-5230.514849,-386260.12,-69500.14642,-62480.23161,-20881.2243,-233398.5177,-5200.927395
155000,-391496.3779,-5230.289331,-386266.0885,-69516.23314,-62462.94422,-20881.72309,-233405.1881,-5201.023983
156000,-391492.8057,-5232.700201,-386260.1055,-69548.88784,-62321.89929,-20876.91289,-233512.4055,-5201.829738
157000,-391477.2419,-5229.204007,-386248.0379,-69538.29512,-62382.25261,-20882.01314,-233445.477,-5199.652088
158000,-391403.4248,-5229.768192,-386173.6567,-69548.88879,-62209.8713,-20853.32837,-233561.5682,-5198.852749
159000,-391381.7403,-5232.103157,-386149.6371,-69526.11418,-62405.92025,-20902.63852,-233314.9642,-5201.405825
160000,-391374.9777,-5233.948826,-386141.0289,-69526.72903,-62401.14029,-20885.28205,-233327.8775,-5201.816501
161000,-391355.9432,-5234.095815,-386121.8474,-69517.82698,-62454.14716,-20874.38864,-233275.4846,-5202.802229
162000,-391280.3575,-5229.453228,-386050.9043,-69488.72382,-62447.85499,-20898.08683,-233216.2386,-5198.907737
163000,-391276.6992,-5233.816631,-386042.8825,-69458.37752,-62535.62201,-20901.37433,-233147.5087,-5202.318651
164000,-391278.0266,-5236.153649,-386041.8729,-69448.7411,-62652.86861,-20913.40073,-233026.8625,-5205.583882
165000,-391260.1884,-5236.679564,-386023.5088,-69450.27158,-62620.26359,-20902.42253,-233050.5511,-5206.195059
166000,-391278.6663,-5237.902976,-386040.7633,-69451.25177,-62702.31916,-20903.97916,-232983.2132,-5206.395446
167000,-391261.132,-5232.625059,-386028.507,-69431.73355,-62692.35024,-20887.73499,-233016.6882,-5201.064966
168000,-391258.0404,-5233.455101,-386024.5853,-69432.09608,-62650.56249,-20894.38253,-233047.5442,-5204.025858
169000,-391246.0345,-5235.686761,-386010.3477,-69429.72058,-62637.40613,-20887.40047,-233055.8205,-5205.342801
170000,-391187.5365,-5228.528588,-385959.0079,-69397.2968,-62766.14742,-20880.79573,-232914.768,-5199.319915
171000,-391158.7562,-5231.86669,-385926.8895,-69410.8461,-62718.01204,-20878.76387,-232919.2675,-5200.829768
172000,-391097.5505,-5229.173996,-385868.3765,-69378.52966,-62664.92447,-20863.2599,-232961.6624,-5199.824396
173000,-391085.2466,-5229.978791,-385855.2678,-69371.67937,-62720.12173,-20883.44314,-232880.0235,-5199.569345
174000,-391095.9077,-5232.442901,-385863.4648,-69383.57199,-62696.94969,-20854.5274,-232928.4158,-5202.717337
175000,-391060.2103,-5235.768518,-385824.4418,-69350.09463,-62714.15894,-20824.2625,-232935.9257,-5203.190452
176000,-391042.8174,-5231.993693,-385810.8237,-69329.2881,-62789.20019,-20828.95384,-232863.3816,-5201.629335
177000,-391032.3929,-5228.302083,-385804.0908,-69331.26846,-62688.81029,-20843.1765,-232940.8356,-5199.653101
178000,-391025.4576,-5227.880009,-385797.5776,-69303.16939,-62741.88155,-20852.20361,-232900.3231,-5199.209106
179000,-390983.1205,-5233.12254,-385749.9979,-69305.35201,-62777.0114,-20874.62931,-232793.0052,-5203.808261
180000,-390980.6648,-5231.893561,-385748.7712,-69304.74157,-62742.60634,-20883.64626,-232817.777,-5203.506675
181000,-390984.6695,-5229.511187,-385755.1584,-69309.60121,-62791.36453,-20878.7498,-232775.4428,-5201.06948
182000,-390975.5321,-5229.402933,-385746.1292,-69290.04288,-62744.79075,-20880.24972,-232831.0458,-5201.36602
183000,-390952.2684,-5229.424809,-385722.8436,-69274.65877,-62771.99013,-20878.68168,-232797.513,-5202.175949
184000,-390970.2536,-5234.840538,-385735.4131,-69285.8323,-62745.9547,-20878.28933,-232825.3368,-5206.160843
185000,-390965.4446,-5232.762358,-385732.6822,-69271.81994,-62849.00727,-20861.17215,-232750.6829,-5205.140573
186000,-390976.1777,-5233.684663,-385742.493,-69310.14236,-62649.76492,-20823.46051,-232959.1252,-5203.298589
187000,-390970.1183,-5230.600722,-385739.5175,-69251.06206,-62977.84463,-20876.47409,-232634.1368,-5199.544172
188000,-390942.1124,-5229.728574,-385712.3838,-69284.31162,-62537.40814,-20789.86258,-233100.8015,-5199.428791
189000,-390916.6319,-5232.254546,-385684.3773,-69230.12431,-62901.94705,-20860.45771,-232691.8483,-5201.553345
190000,-390929.3372,-5231.513691,-385697.8235,-69251.76916,-62824.14614,-20856.45562,-232765.4526,-5199.483869
191000,-390923.9004,-5236.529428,-385687.3709,-69228.80116,-62817.64603,-20875.39207,-232765.5317,-5206.786967
192000,-390894.9694,-5234.08539,-385660.884,-69223.11721,-62869.05297,-20864.27763,-232704.4362,-5205.811028
193000,-390905.6432,-5233.859834,-385671.7834,-69250.93835,-62700.26152,-20855.28905,-232865.2945,-5201.12034
194000,-390895.4066,-5236.238428,-385659.1682,-69210.70609,-62794.17777,-20852.92282,-232801.3615,-5207.390027
195000,-390909.6485,-5233.350857,-385676.2977,-69210.27982,-62783.94237,-20856.97308,-232825.1024,-5202.28314
196000,-390908.0257,-5234.419727,-385673.6059,-69233.81429,-62734.03854,-20862.42302,-232843.3301,-5206.528371
197000,-390917.9829,-5236.223394,-385681.7595,-69200.78138,-62824.81106,-20885.13294,-232771.0342,-5206.005293
198000,-390913.4339,-5240.229811,-385673.2041,-69196.31412,-62788.37464,-20869.45775,-232819.0576,-5211.708208
199000,-390899.1002,-5237.124066,-385661.9761,-69166.44998,-62904.85548,-20896.85095,-232693.8197,-5209.919584
200000,-390884.361,-5236.061864,-385648.2991,-69169.12494,-62897.2245,-20897.15713,-232684.7925,-5206.794817
201000,-390876.1182,-5239.026215,-385637.092,-69187.08251,-62891.3529,-20892.14773,-232666.5088,-5209.850614
202000,-390861.2354,-5235.072168,-385626.1632,-69227.10712,-62727.74827,-20870.4571,-232800.8507,-5205.309907
203000,-390855.3397,-5234.568957,-385620.7707,-69179.26562,-62918.993,-20891.85721,-232630.6549,-5206.439894
204000,-390842.8197,-5234.341064,-385608.4787,-69181.4271,-62881.43389,-20897.27889,-232648.3388,-5205.392991
205000,-390860.5017,-5233.353545,-385627.1482,-69177.92633,-62829.81347,-20887.25141,-232732.1569,-5204.50598
206000,-390878.2123,-5230.240667,-385647.9716,-69197.84825,-62809.6744,-20897.78212,-232742.6668,-5201.72327
207000,-390887.1498,-5239.290607,-385647.8592,-69211.45948,-62895.91267,-20888.58953,-232651.8975,-5207.927928
208000,-390892.8947,-5234.124258,-385658.7704,-69164.8207,-63056.36396,-20908.62536,-232528.9604,-5204.944657
209000,-390877.5821,-5229.851835,-385647.7302,-69187.71842,-62885.76248,-20891.67282,-232682.5765,-5199.93923
210000,-390879.574,-5237.397096,-385642.1769,-69240.8678,-62628.24152,-20856.46657,-232916.601,-5207.101547
211000,-390870.2625,-5232.407583,-385637.855,-69198.41428,-62886.11711,-20904.92825,-232648.3953,-5204.478448
212000,-390876.2782,-5243.801338,-385632.4769,-69213.73181,-62843.28428,-20904.58238,-232670.8784,-5209.691185
213000,-390853.004,-5230.887037,-385622.1169,-69209.36314,-62782.95734,-20887.8387,-232741.9577,-5203.349547
214000,-390867.0443,-5241.03747,-385626.0069,-69217.95726,-62837.59907,-20896.70736,-232673.7432,-5208.721128
215000,-390853.1207,-5235.293319,-385617.8273,-69257.65438,-62793.41709,-20897.50406,-232669.2518,-5204.66305
216000,-390850.6886,-5233.308311,-385617.3803,-69262.285,-62788.94676,-20905.68723,-232660.4613,-5204.240426
217000,-390863.0352,-5237.548427,-385625.4868,-69245.49865,-62814.26333,-20921.89524,-232643.8296,-5206.970194
218000,-390854.3807,-5233.270214,-385621.1104,-69246.35288,-62835.6654,-20910.86152,-232628.2306,-5205.135493
219000,-390843.431,-5231.830072,-385611.6009,-69219.22947,-62936.30112,-20912.91881,-232543.1515,-5203.701097
220000,-390837.7022,-5230.525873,-385607.1763,-69227.80774,-62871.92088,-20890.75486,-232616.6929,-5204.483243
221000,-390831.1324,-5231.445312,-385599.6871,-69221.35013,-62867.85865,-20888.46224,-232622.0161,-5206.72951
222000,-390818.108,-5230.164408,-385587.9436,-69219.57717,-62904.57044,-20893.00832,-232570.7877,-5202.826122
223000,-390833.6638,-5227.30905,-385606.3548,-69243.02972,-62754.38642,-20867.05319,-232741.8855,-5202.698828
224000,-390823.035,-5233.639868,-385589.3952,-69215.30526,-62886.98194,-20891.73715,-232595.3708,-5203.551816
225000,-390807.3272,-5232.735092,-385574.5921,-69211.47994,-62856.9536,-20891.98099,-232614.1775,-5205.589434
226000,-390799.4387,-5234.292226,-385565.1465,-69201.01814,-62851.83381,-20894.08142,-232618.2131,-5205.996188
227000,-390784.458,-5232.671691,-385551.7863,-69203.32159,-62889.16774,-20891.35596,-232567.941,-5204.179026
228000,-390759.563,-5231.759482,-385527.8035,-69191.06018,-62857.44142,-20888.52945,-232590.7725,-5201.304641
229000,-390765.4311,-5236.305909,-385529.1252,-69205.391,-62758.45313,-20867.75824,-232697.5228,-5207.751776
230000,-390741.5396,-5230.961797,-385510.5778,-69204.59166,-62742.33746,-20859.20674,-232704.4419,-5203.832426
231000,-390732.1292,-5235.725711,-385496.4035,-69159.54916,-62845.94271,-20871.3429,-232619.5687,-5208.38756
232000,-390726.0814,-5234.794962,-385491.2864,-69176.20065,-62789.04136,-20870.72239,-232655.322,-5206.933077
233000,-390706.8194,-5231.812622,-385475.0068,-69187.72634,-62814.29591,-20883.87569,-232589.1088,-5205.181421
234000,-390713.611,-5230.107104,-385483.5038,-69188.58239,-62718.36368,-20863.05565,-232713.5021,-5203.91792
