"mesocosm","week","treatment","volume_ml","colonies"
13,3,"Ambient",0.870872073341161,0
14,0,"Ambient",0.756441901205108,2
14,1,"Ambient",1.25540772289969,2
14,2,"Ambient",1.48502761567943,4
14,3,"Ambient",1.08433845243417,0
15,0,"Ambient",1.19172060419805,7
15,1,"Ambient",0.896853730315343,3
15,2,"Ambient",1.29989546001889,15
15,3,"Ambient",0.780688847182319,10
16,0,"Ambient",0.600470759905875,5
16,1,"Ambient",1.09464105800726,5
16,2,"Ambient",0.772811793489382,3
16,3,"Ambient",1.14572762465104,5
17,0,"Ambient",0.597467078594491,7
17,1,"Ambient",0.595929621020332,10
17,2,"Ambient",1.43047612486407,16
17,3,"Ambient",0.91637723846361,10
18,0,"Ambient",0.880488666007295,11
18,1,"Ambient",0.539607404032722,6
18,2,"Ambient",1.16376012889668,24
18,3,"Ambient",1.16463844315149,20
19,0,"Ambient",0.699309636140242,10
19,1,"Ambient",1.26726735569537,22
19,2,"Ambient",1.29667518124916,17
19,3,"Ambient",0.734813746297732,18
20,0,"Ambient",1.19662438123487,8
20,1,"Ambient",1.02024352410808,22
20,2,"Ambient",0.6551069971174,9
20,3,"Ambient",0.674939909018576,12
21,0,"Ambient",0.560635500354692,5
21,1,"Ambient",1.1567406852264,10
21,2,"Ambient",1.48274892405607,10
21,3,"Ambient",1.20502225356176,18
22,0,"Ambient",1.07899821409956,12
22,1,"Ambient",0.908391754841432,15
22,2,"Ambient",1.3376463172026,7
22,3,"Ambient",1.08465327136219,11
23,0,"Ambient",1.05645277560689,9
23,1,"Ambient",1.45334339351393,18
23,2,"Ambient",1.20395788457245,9
23,3,"Ambient",1.43799894163385,8
24,0,"Ambient",0.899388461839408,18
24,1,"Ambient",0.702859704382718,13
24,2,"Ambient",1.05803866428323,26
24,3,"Ambient",1.16513064713217,37
25,0,"Ambient",1.46278414758854,8
25,1,"Ambient",1.00429035071284,6
25,2,"Ambient",0.947872213553637,4
25,3,"Ambient",0.899091438623145,5
26,0,"Ambient",0.780018707271665,2
26,1,"Ambient",1.27972955582663,3
26,2,"Ambient",0.654873165301979,1
26,3,"Ambient",0.665463088778779,2
27,0,"Ambient",0.509567971108481,8
27,1,"Ambient",1.10189510276541,16
27,2,"Ambient",1.16896546748467,18
27,3,"Ambient",1.28469732427038,24
28,0,"Ambient",1.15194848040119,8
28,1,"Ambient",0.961013546679169,11
28,2,"Ambient",1.26270146900788,8
28,3,"Ambient",1.18898718780838,9
29,0,"Ambient",0.546636848943308,15
29,1,"Ambient",0.671056869905442,12
29,2,"Ambient",0.698866461636499,12
29,3,"Ambient",0.844790945062414,19
30,0,"Ambient",0.601795040071011,0
30,1,"Ambient",1.26045888406225,1
30,2,"Ambient",1.08754449780099,5
30,3,"Ambient",1.03745499043725,4
31,0,"Ambient",0.735223959432915,14
31,1,"Ambient",0.697363875806332,14
31,2,"Ambient",0.950459187850356,29
31,3,"Ambient",0.8572434252128,30
32,0,"Ambient",0.800968090537935,10
32,1,"Ambient",0.543796766549349,6
32,2,"Ambient",0.859835608163849,9
32,3,"Ambient",0.535845348145813,7
33,0,"Ambient",0.816126412712038,3
33,1,"Ambient",0.912782369414344,8
33,2,"Ambient",0.919817948015407,13
33,3,"Ambient",0.859896150883287,20
34,0,"Ambient",0.645399235654622,1
34,1,"Ambient",0.716200046008453,0
34,2,"Ambient",1.04564043832943,1
34,3,"Ambient",0.966008895076811,2
35,0,"Ambient",1.28549270611256,5
35,1,"Ambient",0.807025065412745,4
35,2,"Ambient",1.10526027902961,6
35,3,"Ambient",0.695618360769004,4
36,0,"Ambient",1.234667068813,5
36,1,"Ambient",1.46275181160308,0
36,2,"Ambient",0.737244736868888,0
36,3,"Ambient",1.04010275588371,4
37,0,"Ambient",0.922531325835735,4
37,1,"Ambient",0.677371789468452,2
37,2,"Ambient",1.22446404700167,9
37,3,"Ambient",0.50369424931705,6
38,0,"Ambient",1.11062720092013,23
38,1,"Ambient",1.48991969018243,24
38,2,"Ambient",0.618849224643782,29
38,3,"Ambient",0.712842309381813,16
39,0,"Ambient",1.3115355160553,19
39,1,"Ambient",0.552159506827593,4
39,2,"Ambient",0.918451008619741,10
39,3,"Ambient",0.650108168134466,9
40,0,"Ambient",0.859959184657782,4
40,1,"Ambient",0.563015789026394,1
40,2,"Ambient",1.0550533037167,10
40,3,"Ambient",0.728560210438445,5
41,0,"Ambient",1.05439251661301,6
41,1,"Ambient",1.23488437035121,9
41,2,"Ambient",0.944042551098391,6
41,3,"Ambient",0.785324753494933,8
42,0,"Ambient",0.961661268491298,5
42,1,"Ambient",0.879904498113319,3
42,2,"Ambient",0.919962828746065,5
42,3,"Ambient",0.80036020395346,2
43,0,"Ambient",1.00579115818255,4
43,1,"Ambient",0.674174013547599,3
43,2,"Ambient",1.42830297164619,17
43,3,"Ambient",1.09374828753062,14
44,0,"Ambient",1.33015021379106,9
44,1,"Ambient",1.17215869226493,6
44,2,"Ambient",1.25582115817815,10
44,3,"Ambient",0.685395333683118,5
45,0,"Ambient",1.30657676002011,17
45,1,"Ambient",1.30126096308231,16
45,2,"Ambient",1.27103927964345,21
45,3,"Ambient",0.565142796840519,6
46,0,"Warm",0.598744977498427,6
46,1,"Warm",1.40551722794771,25
46,2,"Warm",1.25610798178241,15
46,3,"Warm",0.915343985660002,11
47,0,"Warm",0.743062212364748,2
47,1,"Warm",1.31982026412152,9
47,2,"Warm",1.19048034655862,4
47,3,"Warm",0.844428207492456,6
48,0,"Warm",0.879373328294605,9
48,1,"Warm",0.56002219975926,2
48,2,"Warm",0.653292124392465,11
48,3,"Warm",1.45251785777509,28
49,0,"Warm",1.4919781119097,9
49,1,"Warm",0.571512422524393,5
49,2,"Warm",1.23844212992117,7
49,3,"Warm",0.503621127456427,1
50,0,"Warm",1.00115675316192,17
50,1,"Warm",0.721826126566157,18
50,2,"Warm",0.680370036978275,20
50,3,"Warm",1.0706672349479,40
51,0,"Warm",0.975296607473865,11
51,1,"Warm",0.837828677613288,16
51,2,"Warm",0.864342976128682,26
51,3,"Warm",1.34214497497305,27
52,0,"Warm",1.42463454278186,12
52,1,"Warm",1.27125548152253,15
52,2,"Warm",0.586588176432997,3
52,3,"Warm",0.810759132029489,10
53,0,"Warm",0.787970087956637,35
53,1,"Warm",1.34460900980048,41
53,2,"Warm",1.10857817204669,35
53,3,"Warm",1.35133552062325,52
54,0,"Warm",1.28443161700852,5
54,1,"Warm",1.10724894423038,10
54,2,"Warm",0.998145521385595,8
54,3,"Warm",1.22488385182805,5
55,0,"Warm",0.520491742063314,7
55,1,"Warm",1.0075309430249,11
55,2,"Warm",1.24489902681671,22
55,3,"Warm",0.690303814597428,9
56,0,"Warm",0.588203393854201,5
56,1,"Warm",0.553994852351025,9
56,2,"Warm",1.36314375442453,26
56,3,"Warm",1.0648716436699,16
57,0,"Warm",0.745569833554327,4
57,1,"Warm",0.542191272368655,1
57,2,"Warm",1.25712662399746,17
57,3,"Warm",0.601514162030071,8
58,0,"Warm",0.803111469140276,21
58,1,"Warm",1.41711285174824,35
58,2,"Warm",0.806611002422869,28
58,3,"Warm",1.22163300332613,53
59,0,"Warm",1.34125041193329,20
59,1,"Warm",1.24478235165589,20
59,2,"Warm",1.14316878956743,23
59,3,"Warm",0.540454557165504,14
60,0,"Warm",0.612121558748186,8
60,1,"Warm",1.09958318714052,17
60,2,"Warm",1.37142106192186,47
60,3,"Warm",0.620661809109151,8
61,0,"Warm",1.29321691440418,32
61,1,"Warm",1.0055056347046,18
61,2,"Warm",0.545976657653227,21
61,3,"Warm",1.32354929321446,33
62,0,"Warm",1.43666418548673,6
62,1,"Warm",1.04939441964962,1
62,2,"Warm",0.936313085025176,4
62,3,"Warm",0.742590251844376,3
63,0,"Warm",1.19276811182499,0
63,1,"Warm",1.46035330113955,0
63,2,"Warm",1.33931811526418,0
63,3,"Warm",1.35234181862324,1
64,0,"Warm",0.653650612337515,2
64,1,"Warm",0.593543261988088,3
64,2,"Warm",0.909847422270104,13
64,3,"Warm",1.31002846779302,11
65,0,"Warm",1.47863847226836,31
65,1,"Warm",0.835854083998129,21
65,2,"Warm",1.01493806042708,35
65,3,"Warm",1.34808969590813,34
66,0,"Warm",1.27631577756256,12
66,1,"Warm",0.661247447831556,7
66,2,"Warm",1.00991489831358,12
66,3,"Warm",1.49558917386457,19
67,0,"Warm",0.929331493796781,15
67,1,"Warm",1.37204262497835,28
67,2,"Warm",1.19162628031336,26
67,3,"Warm",0.688941511558369,13
68,0,"Warm",0.992156191729009,30
68,1,"Warm",1.03979971283115,25
68,2,"Warm",1.15104177384637,46
68,3,"Warm",0.887507917592302,31
69,0,"Warm",1.24683570954949,17
69,1,"Warm",0.787290272302926,10
69,2,"Warm",0.911858178908005,20
69,3,"Warm",1.35835172841325,27
70,0,"Warm",1.00330309732817,3
70,1,"Warm",1.11000453657471,3
70,2,"Warm",0.821413594996557,2
70,3,"Warm",1.0433195384685,1
71,0,"Warm",0.87807968375273,7
71,1,"Warm",1.35352714941837,6
71,2,"Warm",0.727423317497596,5
71,3,"Warm",1.39836463378742,9
72,0,"Warm",0.687536998884752,29
72,1,"Warm",0.798441566992551,37
72,2,"Warm",0.818174114217982,34
72,3,"Warm",0.562946482561529,22
73,0,"Warm",1.2899867084343,70
73,1,"Warm",0.550139427185059,45
73,2,"Warm",0.643835923401639,38
73,3,"Warm",1.19817860657349,90
74,0,"Warm",0.783942719688639,29
74,1,"Warm",0.717969649005681,29
74,2,"Warm",0.861441218294203,24
74,3,"Warm",1.49953763093799,69
75,0,"Warm",0.727026854874566,4
75,1,"Warm",1.41068294108845,10
75,2,"Warm",1.09629848599434,6
75,3,"Warm",0.680536963744089,5
76,0,"Warm",0.746114257490262,18
76,1,"Warm",1.28398299124092,41
76,2,"Warm",0.682736155111343,13
76,3,"Warm",0.958834754303098,34
77,0,"Warm",0.709501574980095,6
77,1,"Warm",1.24582790932618,28
77,2,"Warm",1.15305227786303,30
77,3,"Warm",0.772519188234583,21
78,0,"Warm",1.18419861514121,4
78,1,"Warm",1.25489174341783,3
78,2,"Warm",0.948361753718928,6
78,3,"Warm",1.1819773518946,5
79,0,"Warm",0.972503026248887,4
79,1,"Warm",1.4727345558349,9
79,2,"Warm",1.41615338763222,11
79,3,"Warm",1.33790654269978,10
80,0,"Warm",0.851395875914022,9
80,1,"Warm",0.802270196611062,5
80,2,"Warm",0.513357461430132,8
80,3,"Warm",1.19553444790654,14
81,0,"Warm",1.42577480850741,8
81,1,"Warm",0.94565240573138,1
81,2,"Warm",1.07248390349559,9
81,3,"Warm",0.585921486839652,4
82,0,"Warm",0.822311841184273,8
82,1,"Warm",1.35317556816153,7
82,2,"Warm",0.741605769377202,11
82,3,"Warm",0.637406455818564,9
83,0,"Warm",0.795185665832832,6
83,1,"Warm",0.653588045621291,20
83,2,"Warm",1.01634560129605,18
83,3,"Warm",1.1166894689668,27
84,0,"Warm",0.945788883138448,3
84,1,"Warm",0.842439203988761,4
84,2,"Warm",1.00309887505136,5
84,3,"Warm",0.543286764528602,4
85,0,"Warm",0.812489874428138,8
85,1,"Warm",0.77341492427513,10
85,2,"Warm",0.621743298135698,8
85,3,"Warm",0.741688682697713,12
86,0,"Warm",0.925443693762645,5
86,1,"Warm",0.866954864701256,10
86,2,"Warm",0.916278730845079,7
86,3,"Warm",0.76627019746229,17
87,0,"Warm",0.908882331568748,8
87,1,"Warm",0.87264302955009,14
87,2,"Warm",0.529116387246177,6
87,3,"Warm",0.807281554909423,8
88,0,"Warm",0.584951570723206,8
88,1,"Warm",0.79006512183696,13
88,2,"Warm",1.075443738373,13
88,3,"Warm",0.50951798283495,8
89,0,"Warm",0.956249120179564,19
89,1,"Warm",1.2040369620081,27
89,2,"Warm",0.977198770036921,25
89,3,"Warm",1.3300127745606,22
90,0,"Warm",1.09504188341089,13
90,1,"Warm",0.777693961048499,18
90,2,"Warm",0.956002131802961,14
90,3,"Warm",1.34480194258504,30
