,Canada,Lithuania,Switzerland,Argentina,Ghana,Saudi.Arabia,Slovenia,Spain,Oman,New.Zealand,United.Arab.Emirates,Uruguay,India,Kenya,Turkey,Hungary,France,Norway,China,Finland,Sweden,Bulgaria,Romania,South.Africa,Cyprus,Qatar,Malaysia,Austria,Japan,Brazil,Costa.Rica,Luxembourg,Ireland,Pakistan,Nigeria,Ecuador,Czech.Republic,Brunei,Australia,Iran,Chile,Belgium,Thailand,Georgia,Poland,Portugal,Estonia,Lebanon,South.Korea,Taiwan,Italy,USA,Netherlands,Israel,Indonesia,Germany,Denmark,Sri.Lanka,Mexico,Egypt,Singapore,Serbia,United.Kingdom,Greece,Russia,Yemen,Kazakhstan,Kuwait,Tanzania,Slovakia,Algeria,Tunisia,Colombia,Nepal,Cameroon,Vietnam,Venezuela,Iraq,Botswana,Bangladesh,Zimbabwe,Philippines,Croatia,Ukraine,Jordan,Mauritius,Ethiopia,Uganda,Iceland,Latvia,Bosnia.and.Herzegovina,Morocco,Malta,Senegal,Papua.New.Guinea,Albania,Peru,Bahrain,Macedonia,Cambodia,Jamaica,Belarus,Zambia,Malawi,Kyrgyzstan,Trinidad.and.Tobago,Armenia,Sudan,Syria,Cuba,Moldova,Namibia
United.Arab.Emirates,10796,4113,4847,13510,6168,778,4315,5655,422,14221,147.6983983,13300,2320,3375,2635,4036,5264,5172,5972,4608,4819,3496,3397,6140,2375,366,5567,4274,8096,11887,14135,5036,5959,2063,5805,14281,4489,6778,11905,1262,14616,5173,4973,1998,4197,6139,4536,2105,6925,6716,4299,11388,5199,2118,6577,4649,4860,3358,14387,2382,5885,3799,5484,3299,3718,1472,2959,850,3729,4218,5070,4428,13600,3102,5163,5693,12613,1406,6163,3659,5232,7013,4170,3557,1981,4909,2369,3568,6945,4328,3904,5988,4030,7569,10694,3723,14734,389,3631,5493,12958,3934,5178,4706,2734,12046,2007,2490,2032,12989,3419,6515
Uruguay,9041,12506,10944,215,7325,12611,11366,9840,13613,10162,13300,214.437258,15564,10213,12225,11724,10818,12032,19132,12766,12375,11698,12009,7999,12046,13081,15857,11610,18536,2277,5720,11149,10809,15346,7664,4448,11631,16582,11883,13541,1346,11077,16689,13201,12143,9369,12710,12116,19565,18972,10914,8382,11249,12003,15200,11708,11854,14523,7492,11603,15782,11628,10942,11478,13271,11867,15883,12966,10126,11661,9918,10393,4702,16261,8167,16880,5036,12845,7850,16547,8695,17760,11399,12612,12050,10783,11002,9881,11314,12535,11432,9068,10682,6733,14607,11396,3234,13115,11567,16799,6187,12584,8593,9175,15672,5003,13173,10826,12182,6937,12350,7169
India,11401,5056,6306,15778,8480,3069,5757,7323,1967,12592,2320,15564,926.1676519,5392,4252,5399,6648,6037,3780,5275,5621,5062,4839,7893,4204,2598,3794,5613,5874,14187,15328,6345,7140,696,8118,15956,5748,4731,10287,2558,16903,6472,2920,3252,5299,7843,5251,4015,4704,4397,5953,12106,6413,4086,4936,5822,5899,2455,14703,4445,4118,5291,6747,5050,4360,3705,1663,2858,5566,5551,6888,6264,15255,795,7478,3610,14290,3193,7983,1430,7071,4758,5645,4618,3986,5748,4562,5694,7640,5192,5455,7846,5880,9732,8563,5356,16796,2578,5213,3429,14178,4891,7107,6556,1576,13817,3278,4808,3937,13906,4670,8520
Kenya,11820,6211,5980,10428,4126,2989,5666,6137,3556,13699,3375,10213,5392,389.1572488,4478,5613,6392,7062,9171,6863,6875,4978,5119,2822,4023,3331,7216,5800,11247,9381,13411,6355,7213,5358,3799,12816,6058,8663,11946,4293,11559,6465,7186,4639,6077,6402,6761,3794,10085,9530,5277,12116,6613,3677,7779,6291,6617,4836,14797,3498,7449,5269,6740,4543,6236,1959,6333,3542,626,5773,5407,4963,12336,6049,2851,7826,11535,3865,2811,6385,1894,9401,5521,5709,3572,3096,1133,496,8637,6451,5233,5936,4700,6208,12230,4985,12562,3386,5024,7628,12533,6074,1804,1385,6109,10914,4628,1845,3788,13009,5394,3156
Turkey,8225,1753,2214,12400,5008,2128,1680,3106,3008,16789,2635,12225,4252,4478,452.6935127,1415,2628,2718,6915,2391,2452,866,779,7146,456,2289,7974,1652,8871,10259,11528,2406,3338,3637,4715,11821,1883,8982,14456,1710,13304,2542,7171,1033,1695,3617,2291,710,7825,8189,1725,8782,2584,809,9066,2069,2331,5957,11801,1020,8300,1163,2855,806,1812,2894,3697,1787,5065,1599,2636,2018,11120,4995,4546,7861,10131,1233,7053,5669,6246,8866,1535,1231,934,7061,3395,4341,4462,1994,1277,3594,1647,5631,12740,1126,12544,2252,1009,7681,10342,1603,6034,5801,3510,9611,1004,2673,742,10353,936,6984
Hungary,6812,898,909,11868,5009,3540,375,1987,4392,17957,4036,11724,5399,5613,1415,155.8059925,1265,1452,7411,1487,1334,644,639,8067,1783,3696,9188,238,9132,9566,10177,1003,1925,4730,4800,10578,476,10050,15685,2989,12604,1139,8289,2196,572,2507,1382,2074,8230,8877,841,7368,1170,2136,10316,689,1004,7314,10387,2164,9514,346,1449,1071,1563,4241,4471,3192,6229,185,1808,1426,9874,6074,4941,8941,8897,2630,7931,6758,7224,9731,328,897,2281,8391,4612,5383,3100,1063,444,2680,1303,4992,13565,665,11440,3657,591,8777,8988,903,6964,6838,4336,8419,2174,3769,2124,8958,732,7678
France,5687,1739,438,10938,4787,4712,949,1012,5633,19020,5264,10818,6648,6392,2628,1265,378.5238317,1340,8337,1960,1589,1771,1884,8533,2930,4915,10441,1039,9846,8583,8918,336,822,5970,4672,9320,911,11249,16920,4252,11558,266,9517,3460,1409,1449,1896,3221,9073,9887,1127,6194,474,3255,11574,909,1044,8570,9217,3177,10766,1465,365,2053,2530,5294,5616,4415,7017,1100,1335,1478,8615,7303,5077,10152,7643,3861,8356,7985,7781,10831,1094,2050,3404,9350,5513,6077,2285,1726,1371,1833,1692,4198,14569,1583,10218,4880,1644,9995,7729,1861,7481,7470,5503,7179,3438,4601,3282,7726,1982,7929
Norway,5634,1063,1462,12135,6073,4807,1478,2344,5471,17712,5172,12032,6037,7062,2718,1452,1340,317.0322068,7146,803,419,2085,1977,9493,3145,4870,9771,1286,8540,9765,9323,1078,1246,5341,5928,9951,1039,10361,15986,3977,12643,1081,8747,3185,1023,2731,798,3424,7823,8746,2007,6260,866,3508,10928,803,462,8242,9221,3591,10083,1797,1114,2522,1677,5611,4742,4374,7676,1303,2617,2556,9262,6582,6225,9316,8341,3813,9347,7243,8666,9775,1598,1615,3644,9778,6046,6834,1774,868,1859,3166,2601,5515,13363,2101,11013,4823,2042,9183,8151,1243,8398,8287,4677,7962,3172,5217,3460,7975,1800,9034
China,10544,6638,8199,19275,11844,6629,7771,9307,5687,10691,5972,19132,3780,9171,6915,7411,8337,7146,1579.67485,6399,6792,7434,7124,11562,7105,6166,4275,7529,2125,16911,14149,8005,8379,3910,11512,15399,7513,3849,8901,5641,19083,8080,3283,5949,6999,9784,6450,7045,959,1645,8219,11236,7912,7161,5110,7441,7306,5176,12518,7561,4417,7505,8225,7658,5869,7429,3280,6245,9320,7477,9216,8739,15021,3159,11053,3290,14530,6333,11683,3017,10799,2819,7736,6522,7119,8958,8311,9468,7966,6615,7701,10073,8451,12401,6234,7737,16718,6128,7565,3316,13511,6556,10863,10297,3497,14467,5977,8416,6980,12816,6782,12285
Finland,6278,662,1926,12879,6455,4344,1699,2965,4868,17060,4608,12766,5275,6863,2391,1487,1960,803,6399,297.167053,400,1997,1778,9460,2845,4337,8983,1442,7895,10513,10064,1640,2038,4580,6265,10733,1288,9559,15193,3368,13428,1697,7950,2614,916,3407,108,3093,7114,7980,2264,6934,1517,3200,10141,1128,916,7540,9838,3371,9293,1794,1827,2448,939,5239,3943,3860,7455,1422,3083,2857,10049,5796,6428,8514,9136,3322,9343,6452,8586,8988,1760,1164,3318,9378,5786,6698,2408,437,1930,3775,2786,6148,12631,2132,11812,4284,2015,8383,8904,790,8348,8163,3883,8764,2607,5037,3113,8686,1470,9143
Sweden,6009,717,1603,12486,6191,4494,1467,2600,5104,17435,4819,12375,5621,6875,2452,1334,1589,419,6792,400,341.6884853,1921,1757,9394,2895,4529,9352,1229,8257,10119,9733,1281,1639,4925,6020,10369,1027,9952,15592,3605,13027,1323,8330,2823,803,3027,381,3162,7498,8378,2029,6647,1132,3256,10509,826,552,7842,9589,3381,9665,1670,1433,2372,1261,5340,4326,4039,7480,1225,2773,2611,9680,6163,6243,8902,8760,3485,9262,6824,8541,9388,1556,1279,3386,9502,5827,6677,2135,491,1773,3417,2590,5786,13023,1999,11429,4479,1908,8768,8565,891,8288,8140,4259,8377,2812,5034,3191,8376,1516,9007
Bulgaria,7417,1343,1351,11859,4708,2948,829,2264,3873,17641,3496,11698,5062,4978,866,644,1771,2085,7434,1997,1921,170.1900384,317,7478,1169,3144,8815,859,9275,9625,10661,1573,2511,4422,4462,10972,1114,9776,15310,2554,12683,1707,7979,1810,1119,2782,1890,1462,8301,8812,893,7952,1777,1511,9918,1333,1645,6824,10975,1520,9142,321,2020,453,1782,3606,4331,2646,5591,819,1870,1313,10269,5781,4489,8657,9282,2098,7352,6462,6620,9576,679,1044,1658,7749,3969,4760,3742,1561,411,2819,1024,4995,13448,311,11740,3110,151,8482,9476,1266,6369,6221,4168,8772,1784,3133,1518,9496,700,7149
Romania,7446,1116,1492,12167,5021,2907,941,2487,3756,17431,3397,12009,4839,5119,779,639,1884,1977,7124,1778,1757,317,249.4116087,7682,1174,3057,8613,877,8958,9922,10801,1640,2564,4185,4771,11164,1104,9534,15116,2375,12979,1776,7749,1598,963,3010,1672,1460,7987,8515,1151,8006,1808,1535,9728,1292,1567,6687,11024,1625,8939,452,2087,702,1477,3644,4043,2553,5724,823,2150,1617,10460,5542,4773,8417,9477,1991,7566,6225,6809,9298,813,744,1675,7807,4076,4930,3695,1348,626,3088,1341,5297,13166,613,11974,3018,441,8247,9613,1012,6570,6394,3887,8982,1574,3279,1504,9595,390,7397
South.Africa,13011,8798,8187,8204,4523,5810,8020,7958,6256,11886,6140,7999,7893,2822,7146,8067,8533,9493,11562,9460,9394,7478,7682,564.0148403,6697,6135,8477,8209,13447,7915,12726,8598,9303,8006,4388,11693,8455,9845,10876,7115,9285,8680,8886,7437,8596,8031,9354,6506,12375,11458,7526,12989,8868,6379,8562,8691,9032,6552,14601,6128,8595,7726,8897,7025,8951,4775,9064,6365,2413,8198,7297,7059,11478,8416,3617,9360,11004,6673,261,8570,929,10920,7895,8350,6295,3056,3948,2825,10804,9028,7640,7458,6920,6599,12394,7403,10935,6192,7486,9196,12321,8685,1113,1442,8847,10468,7424,4483,6513,13049,8009,1187
Cyprus,8585,2203,2500,12229,4759,1782,1997,3284,2773,16595,2375,12046,4204,4023,456,1783,2930,3145,7105,2845,2895,1169,1174,6697,49.12963224,2014,7845,2013,9112,10164,11760,2741,3680,3634,4448,11970,2258,8926,14272,1650,13182,2876,7104,1157,2123,3777,2745,293,8034,8300,1924,9119,2942,363,8907,2460,2741,5731,12143,588,8170,1488,3188,924,2255,2470,3842,1533,4610,1966,2734,2093,11275,4973,4202,7808,10285,1037,6609,5633,5795,8902,1844,1686,501,6634,2942,3888,4869,2444,1559,3679,1698,5569,12756,1358,12606,1987,1287,7621,10583,2056,5587,5347,3640,9742,1129,2220,352,10641,1383,6563
Qatar,10479,3817,4494,13289,5883,474,3967,5291,784,14584,366,13081,2598,3331,2289,3696,4915,4870,6166,4337,4529,3144,3057,6135,2014,55.04130937,5928,3934,8290,11591,13773,4694,5621,2265,5522,13916,4154,7126,12271,1065,14380,4830,5315,1725,3881,5774,4261,1741,7123,6986,3938,11059,4863,1752,6943,4322,4543,3723,14068,2019,6247,3451,5142,2937,3469,1377,3053,504,3738,3879,4704,4061,13235,3390,4919,6034,12248,1071,6139,3970,5214,7328,3821,3257,1615,5107,2265,3472,6644,4038,3551,5622,3663,7228,11038,3366,14391,60,3277,5836,12597,3639,5133,4693,2824,11682,1731,2254,1669,12640,3099,6432
Malaysia,14623,8831,10093,15990,11242,6319,9542,11078,5145,8826,5567,15857,3794,7216,7974,9188,10441,9771,4275,8983,9352,8815,8613,8477,7845,5928,293.8024393,9405,5302,16387,18419,10139,10918,4477,10885,19663,9542,1451,6503,6265,16571,10265,1126,7015,9088,11591,8974,7610,4583,3248,9697,15350,10203,7649,1158,9612,9673,2442,16621,7945,326,9063,10538,8745,8103,6431,5063,6347,6990,9343,10579,9938,19031,3189,10002,1023,18084,6809,8691,2533,8058,2451,9424,8410,7523,5438,6986,7689,11239,8951,9218,11523,9542,13040,5232,9097,18992,5937,8966,960,17661,8671,8286,7708,5103,17584,7040,7662,7533,17061,8461,9562
Austria,6577,927,713,11749,5016,3776,264,1819,4629,18139,4274,11610,5613,5800,1652,238,1039,1286,7529,1442,1229,859,877,8209,2013,3934,9405,147.9446514,9204,9429,9944,767,1687,4939,4824,10358,259,10245,15896,3221,12456,903,8494,2425,564,2332,1342,2305,8329,9018,823,7130,933,2364,10536,492,827,7549,10150,2375,9730,542,1211,1261,1661,4464,4644,3431,6418,62,1718,1417,9653,6279,5015,9140,8679,2868,8066,6963,7380,9897,327,1055,2510,8607,4815,5555,2884,1044,573,2546,1361,4887,13712,819,11237,3896,782,8979,8755,977,7112,7005,4516,8208,2403,3958,2357,8721,944,7783
Japan,10382,8279,9807,18323,13870,8752,9463,10857,7804,9180,8096,18536,5874,11247,8871,9132,9846,8540,2125,7895,8257,9275,8958,13447,9112,8290,5302,9204,314.0484947,17659,13189,9534,9682,6034,13557,14437,9132,4268,7850,7727,17197,9580,4633,7959,8645,11271,7969,9082,1173,2070,9970,10960,9383,9205,5725,9012,8805,6901,11320,9604,5306,9289,9654,9560,7572,9549,5354,8355,11343,9161,10922,10534,14337,5199,13160,4299,14250,8410,13604,4921,12770,2999,9459,8284,9176,10588,10426,11567,8872,8200,9481,11670,10298,14043,4965,9561,15502,8251,9391,4423,12951,8235,12876,12293,5578,14454,7987,10537,9022,12154,8588,14299
Brazil,7282,10298,8742,2370,5721,11123,9197,7628,12273,12388,11887,2277,14187,9381,10259,9566,8583,9765,16911,10513,10119,9625,9922,7915,10164,11591,16387,9429,17659,1490.680631,4891,8916,8536,13745,6087,3780,9426,17741,14157,11778,3057,8837,16567,11282,9942,7140,10463,10293,17504,18437,8789,6722,9001,10199,16343,9484,9608,14195,6816,9814,16508,9511,8686,9470,11079,10622,13946,11345,9505,9484,7783,8313,3651,14981,6812,17185,3512,11089,7697,15536,8341,18779,9247,10462,10276,10965,9872,8948,9067,10308,9317,6887,8640,4635,16853,9315,3185,11610,9485,16995,4870,10391,8128,8715,13768,3233,11253,9434,10366,5680,10234,6827
Costa.Rica,4009,10345,9317,5593,9286,13477,9862,8483,14529,11648,14135,5720,15328,13411,11528,10177,8918,9323,14149,10064,9733,10661,10801,12726,11760,13773,18419,9944,13189,4891,115.473704,9179,8303,14638,9613,1272,9761,17368,13950,13165,4993,9044,17386,12363,10150,8010,10094,12032,13845,15211,9837,3282,9059,12027,18715,9644,9511,17485,1925,11810,18490,10373,8744,10836,10992,13670,13813,13291,13777,10004,9097,9733,1251,15729,10561,17402,1878,12757,12489,16281,12983,16149,10000,10836,12170,15768,13337,12915,7688,10184,10250,8223,10127,7238,14363,10418,2571,13747,10520,17459,1189,10519,12706,13241,13826,2497,12343,12512,12104,1476,10866,11574
Luxembourg,5845,1404,415,11271,4999,4518,747,1325,5395,18694,5036,11149,6345,6355,2406,1003,336,1078,8005,1640,1281,1573,1640,8598,2741,4694,10139,767,9534,8916,9179,25.99695778,939,5664,4863,9616,597,10925,16601,3986,11894,136,9202,3186,1079,1780,1572,3034,8747,9552,1087,6381,270,3080,11278,574,730,8315,9404,3041,10463,1254,449,1907,2195,5156,5287,4191,6980,826,1540,1551,8912,6989,5210,9831,7945,3630,8432,7671,7817,10497,902,1734,3229,9258,5432,6066,2283,1391,1198,2137,1689,4509,14236,1433,10535,4656,1461,9677,7989,1529,7527,7483,5177,7490,3166,4538,3091,7955,1694,8049
Ireland,4907,2087,1247,10905,5365,5456,1686,1457,6309,18666,5959,10809,7140,7213,3338,1925,822,1246,8379,2038,1639,2511,2564,9303,3680,5621,10918,1687,9682,8536,8303,939,135.4217817,6448,5295,8819,1473,11584,17231,4872,11397,806,9930,4067,1851,1677,2015,3973,9028,9988,1946,5445,762,4019,12070,1341,1245,9204,8467,3971,11237,2192,496,2838,2831,6088,5944,5117,7838,1742,2019,2279,8120,7737,5787,10522,7175,4554,9117,8409,8574,11022,1840,2539,4167,10167,6332,6894,1502,1977,2134,2215,2512,4441,14573,2364,9821,5582,2400,10382,7116,2249,8267,8277,5862,6764,4048,5422,4029,7043,2570,8643
Pakistan,10733,4363,5638,15554,8099,2735,5092,6673,1806,13248,2063,15346,696,5358,3637,4730,5970,5341,3910,4580,4925,4422,4185,8006,3634,2265,4477,4939,6034,13745,14638,5664,6448,455.7812538,7745,15267,5067,5355,10957,1987,16637,5789,3564,2617,4611,7195,4556,3472,4865,4770,5314,11431,5726,3557,5624,5134,5206,3082,14098,3935,4800,4638,6061,4442,3664,3528,1162,2417,5617,4878,6269,5655,14566,1360,7182,4235,13607,2661,8067,2040,7138,5271,4985,3933,3472,6125,4419,5602,6950,4496,4807,7227,5280,9199,9123,4722,16159,2231,4573,4062,13484,4199,7132,6614,1009,13147,2645,4519,3396,13226,3998,8514
Nigeria,8665,5696,4467,7860,367,5049,4568,3842,6186,16024,5805,7664,8118,3799,4715,4800,4672,5928,11512,6265,6020,4462,4771,4388,4448,5522,10885,4824,13557,6087,9613,4863,5295,7745,490.969568,9098,4996,12294,15251,5878,8899,4894,10620,5597,5365,3775,6165,4477,12458,12505,4002,8744,5112,4357,11557,5196,5508,8445,11074,3956,11149,4545,5009,4101,6244,4563,8232,5329,4214,4844,3338,3411,8569,8906,963,11322,7739,5182,4150,9450,3980,12777,4508,5505,4393,6604,3905,3303,6744,5857,4376,3184,3503,2445,16024,4223,9098,5545,4379,11117,8758,5674,3633,3967,8015,7117,5570,3352,4538,9296,5160,3463
Ecuador,5042,10905,9678,4321,8746,13542,10230,8715,14700,11392,14281,4448,15956,12816,11821,10578,9320,9951,15399,10733,10369,10972,11164,11693,11970,13916,19663,10358,14437,3780,1272,9616,8819,15267,9098,258.6462872,10213,18456,13723,13525,3767,9488,18541,12762,10657,8206,10746,12213,15118,16476,10097,4314,9543,12180,19111,10135,10062,17505,3122,11898,19717,10716,9210,11061,11623,13491,14639,13483,13076,10419,9237,9879,705,16529,10001,18673,1690,13004,11472,17172,12070,17346,10352,11339,12310,14744,12979,12335,8457,10779,10566,8301,10277,6883,14834,10696,1349,13904,10823,18715,2005,11068,11828,12398,14607,2234,12738,12268,12290,2604,11301,10586
Czech.Republic,6342,875,687,11763,5174,4011,446,1798,4836,18183,4489,11631,5748,6058,1883,476,911,1039,7513,1288,1027,1114,1104,8455,2258,4154,9542,259,9132,9426,9761,597,1473,5067,4996,10213,143.4592537,10339,16010,3405,12432,725,8608,2602,517,2294,1196,2550,8289,9030,1003,6905,711,2612,10681,237,577,7738,9921,2632,9866,800,1017,1520,1654,4716,4711,3650,6677,295,1803,1585,9509,6394,5223,9241,8542,3085,8309,7076,7630,9943,560,1140,2757,8863,5074,5812,2628,933,829,2567,1576,4931,13724,1075,11128,4114,1041,9085,8572,970,7360,7259,4594,8085,2582,4217,2599,8516,1105,8009
