"","Canada","Lithuania","Switzerland","Argentina","Ghana","Saudi.Arabia","Slovenia","Spain","Oman","New.Zealand","United.Arab.Emirates","Uruguay","India","Kenya","Turkey","Hungary","France","Norway","China","Finland","Sweden","Bulgaria","Romania","South.Africa","Cyprus","Qatar","Malaysia","Austria","Japan","Brazil","Costa.Rica","Luxembourg","Ireland","Pakistan","Nigeria","Ecuador","Czech.Republic","Brunei","Australia","Iran","Chile","Belgium","Thailand","Georgia","Poland","Portugal","Estonia","Lebanon","South.Korea","Taiwan","Italy","USA","Netherlands","Israel","Indonesia","Germany","Denmark","Sri.Lanka","Mexico","Egypt","Singapore","Serbia","United.Kingdom","Greece","Russia","Yemen","Kazakhstan","Kuwait","Tanzania","Slovakia","Algeria","Tunisia","Colombia","Nepal","Cameroon","Vietnam","Venezuela","Iraq","Botswana","Bangladesh","Zimbabwe","Philippines","Croatia","Ukraine","Jordan","Mauritius","Ethiopia","Uganda","Iceland","Latvia","Bosnia.and.Herzegovina","Morocco","Malta","Senegal","Papua.New.Guinea","Albania","Peru","Bahrain","Macedonia","Cambodia","Jamaica","Belarus","Zambia","Malawi","Kyrgyzstan","Trinidad.and.Tobago","Armenia","Sudan","Syria","Cuba","Moldova","Namibia"
"United.Arab.Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"India",19,0,0,0,0,1,0,3,0,0,0,0,94,0,2,0,2,0,2,0,0,0,0,0,0,0,1,0,4,3,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,13,0,0,0,0,12,5,0,0,0,2,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kenya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,5,0,1,0,7,0,1,0,0,11,0,17,0,2,0,3,0,3,57,1,0,0,1,0,4,0,0,0,0,0,4,1,0,0,0,5,3,0,1,0,0,1,3,0,0,0,0,7,11,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungary",0,0,0,1,0,0,0,9,0,3,0,0,6,0,0,9,3,0,0,0,1,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,0,0,1,0,12,8,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",1,1,6,1,0,0,0,26,0,2,0,0,7,0,0,0,141,0,0,0,12,0,0,0,0,0,1,2,3,4,0,0,2,0,0,0,1,1,2,1,3,1,0,0,0,8,0,0,1,1,19,28,1,0,1,5,2,0,1,1,0,0,21,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",2,0,2,1,0,0,0,5,0,1,0,0,0,0,0,0,2,27,0,1,10,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,1,0,6,3,1,7,0,1,0,0,0,0,2,0,6,10,2,0,0,11,3,0,0,1,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",13,3,5,2,0,4,1,77,0,9,0,0,24,0,2,0,14,2,54,1,6,1,11,1,0,0,11,2,13,24,0,0,0,3,1,0,4,1,41,7,0,7,5,1,3,29,0,1,1,4,38,105,6,4,1,18,4,0,10,14,4,1,64,5,4,0,0,0,1,1,1,0,2,7,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",12,0,2,0,0,0,0,7,0,1,0,0,3,0,0,0,12,9,0,118,1,4,0,1,0,0,0,3,3,0,0,0,2,0,0,0,0,0,18,0,0,3,0,0,0,12,0,0,0,0,17,44,5,0,0,5,1,0,1,0,0,0,24,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",5,0,10,2,0,0,0,21,0,5,0,1,6,0,0,0,11,8,1,8,56,0,2,5,1,0,0,0,1,13,0,0,1,7,0,0,1,0,17,4,1,5,0,0,2,5,1,0,0,0,18,49,20,0,5,19,9,1,3,0,1,0,30,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South.Africa",4,0,0,0,1,0,1,6,0,0,1,0,1,0,3,0,1,0,0,0,8,0,2,31,0,0,0,2,0,0,0,0,1,1,3,0,1,0,6,0,0,0,0,0,0,5,0,0,0,0,8,8,6,0,0,1,2,0,0,6,1,0,10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malaysia",0,0,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",5,0,0,0,0,0,0,21,1,2,0,0,2,0,2,0,5,3,1,6,4,0,0,3,0,0,0,25,1,8,0,1,0,0,0,0,2,0,2,0,1,9,0,0,1,12,0,0,0,0,28,23,1,1,1,11,1,0,0,2,0,4,11,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",7,0,3,3,0,1,2,21,0,16,0,0,13,0,5,6,6,0,13,4,6,0,0,3,0,0,9,1,133,13,0,1,0,2,1,0,0,0,15,10,1,5,1,0,2,32,1,0,0,0,43,92,7,0,0,25,4,0,3,4,5,2,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",3,0,1,0,2,0,0,21,0,1,1,1,7,1,1,0,8,0,7,1,5,0,1,2,0,0,1,1,4,149,2,0,0,0,0,1,0,0,3,1,10,4,0,0,6,17,0,0,0,0,5,55,4,3,0,5,2,0,4,1,2,0,8,2,0,1,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa.Rica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",2,0,2,1,0,1,0,7,0,0,0,1,0,0,1,6,3,4,2,0,6,1,0,3,1,0,0,1,1,2,0,0,29,0,0,1,0,0,8,2,1,3,6,0,0,6,0,0,0,1,7,17,0,0,0,8,0,0,1,1,0,1,20,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czech.Republic",9,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,7,0,0,0,0,3,4,0,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",39,1,30,4,3,0,0,50,0,42,0,0,10,0,17,1,35,5,17,7,30,0,3,13,0,3,8,6,27,11,0,0,4,3,3,0,5,1,542,4,2,25,2,0,4,44,0,0,0,4,38,231,25,6,1,51,8,1,1,4,6,2,183,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,95,0,0,0,0,1,1,0,0,0,1,4,23,1,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,5,0,0,0,2,3,0,0,0,1,1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",1,0,3,0,0,0,0,9,0,2,0,0,3,0,1,1,3,0,5,1,2,0,4,3,0,0,0,1,15,3,0,0,1,0,0,0,0,0,6,1,0,17,0,0,0,6,0,0,0,0,20,47,8,0,0,6,0,0,1,0,1,1,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,0,0,0,0,1,0,3,0,0,1,0,2,0,0,0,4,0,10,0,1,0,3,0,0,0,9,0,2,0,0,0,0,0,0,0,6,0,4,1,0,0,0,0,29,1,0,0,0,0,10,25,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",11,0,0,0,0,0,0,55,0,0,1,1,2,20,3,0,1,0,7,2,2,0,2,3,0,0,1,2,4,6,0,0,1,0,1,0,1,0,7,3,0,4,0,0,1,178,0,0,0,0,35,22,3,0,1,8,3,0,8,3,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estonia",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lebanon",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South.Korea",0,0,1,0,0,0,0,4,0,2,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,2,5,16,0,0,0,0,0,3,0,0,5,0,2,12,0,0,0,5,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taiwan",0,0,3,0,0,3,0,16,0,1,0,0,4,0,0,0,6,0,5,2,3,0,2,0,1,0,12,0,3,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,10,5,20,0,0,1,16,0,0,4,5,2,7,8,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",33,0,7,10,1,3,0,48,0,6,0,1,20,0,11,1,30,2,11,6,30,0,5,3,0,0,9,5,9,17,1,0,5,3,0,0,2,0,33,17,1,5,0,0,0,30,0,0,1,2,353,187,20,1,3,57,7,1,18,15,2,1,43,14,0,0,0,0,0,10,3,2,2,2,0,2,0,2,0,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",313,3,143,50,8,15,5,495,1,175,6,9,175,2,79,38,231,59,191,82,195,24,30,52,2,1,37,71,170,146,1,8,31,16,9,0,7,1,563,88,27,157,26,0,48,329,1,4,27,35,671,3363,213,35,2,507,91,1,65,105,38,12,892,80,3,2,7,5,2,7,4,12,6,5,1,1,6,7,4,7,0,2,10,0,5,0,0,1,0,0,2,1,2,3,0,1,0,0,0,1,1,1,1,3,2,0,0,0,0,0,0,0
"Netherlands",16,0,2,1,0,1,0,20,0,5,0,0,7,0,3,5,4,3,6,4,12,1,3,7,0,0,2,12,4,7,0,0,6,0,0,0,1,0,25,4,2,12,0,0,1,15,0,0,3,2,42,72,54,0,0,36,9,1,1,1,2,0,37,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",9,0,3,0,0,2,0,6,0,1,0,0,10,0,3,0,2,0,4,1,4,0,0,2,0,0,0,2,7,3,1,2,0,0,0,0,0,0,20,0,2,7,0,0,0,2,0,0,0,0,7,24,2,3,0,6,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indonesia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
