"Luijckx, Pepijn, et al. ""Higher rates of sex evolve during adaptation to more complex environments."" Proceedings of the National Academy of Sciences (2017): 201604072.","uses a rotifer that is haplodiploid and cyclically parthenogenetic.  Switch to mictic phase (sex reproduction) is controlled by a threshold response to a chemical cue.  Experiment involved growing these girls in environments where they were be selected for salt, copper, or temp tolerance or any combination of these including all 3. Clearest result is the proportion of sexual eggs produced this was highest when all 3 were selected on simultaneously."
"Leclercq, S_bastien, et al. ""Birth of a W sex chromosome by horizontal transfer of Wolbachia bacterial symbiont genome."" Proceedings of the National Academy of Sciences (2016): 201608979.",Wolbachia gene transfer transforms a autosome into a sex chromosome.  This is a cool paper but I found the crosses performed to be more complicated than necessary.  They incorporate a masculizing mutation but I dont see where they know if it is or isn't linked to insert location or why not cross with a standard male.  None the less its a great example of a novel (though likely rare?) origin for a sex chromosome
"Mank, Judith E., David J. Hosken, and Nina Wedell. ""Conflict on the sex chromosomes: cause, effect, and complexity."" Cold Spring Harbor perspectives in biology 6.12 (2014): a017715.",Review of the basics of sex chromosome evolution with a special focus on the types of conflict intralocus and intragenomic that are common with sex chromosomes. Also has a nice figure showing the relative population size of different chromosomes based on mating system present.  Posits the idea that we might see quicker sex chromosome turnover on islands than mainland's the logic if I follow is based on the idea that in a small population the old Y will decay more quickly leading to less purifying selection maintaining it and thus when a new one arises the loss of the old Y would be favored.  Judith also talks about this conventional wisdom that perhaps young sex chromosomes can turnover more easily than old sex chromosomes I still cant decide if I agree that this should be our hypothesis we should really look at this empirically I feel like the most likely result is that we end yup with some kind of U shaped distribution where turnover is very common but rare in the middle? or maybe not maybe it is only predictable if we account for the mode of dosage compensation and the level of degeneration of the Y
"Husby, Arild, et al. ""Sex chromosome linked genetic variance and the evolution of sexual dimorphism of quantitative traits.""_Evolution_67.3 (2013): 609-619.",often cited as showing that sexual dimorphism loci are not necessarily sex linked. Basically highlights the fact that you can have sexual dimorphism(resolved antagonism) without sex linkage.  The interesting thing to me is whether ithis necessarily is a sign of sex by autosomal epistasis seems like it must.  This study is based on long-term study sets focused on fly catchers and zebra finch that are pedigree and phenotyped every generation.  Some noise is introduced because of extra pair maitings (15%) but still pretty awesome dataset.  They use this in a an animal model to estimate additive variance - autosomal and additive variance -z linked
"Fairbairn, D. J., and D. A. Roff. ""The quantitative genetics of sexual dimorphism: assessing the importance of sex-linkage."" Heredity 97.5 (2006): 319-328.",nice look at the approaches that we can use to get at the quantitative genetics of sexual dimorphism it is especially interesting to think about how we can use these in the genomic age. Specifically how do we apply the animal model when we have sequencing across a hybrid zone or cline in some trait is this already done regularly? not sure seems like this could be promising. I don't quite understand some of the decisions in their thinking about line cross analysis.  The big power for it comes from the inclusion of sex by genetic effects to get at the true underlying nature of how dimorphism is produced maybe this wasn't completely clear or perhaps I am missing something.
"Maddamsetti, Rohan, et al. ""Core Genes Evolve Rapidly in the Long-term Evolution Experiment with Escherichia coli."" bioRxiv (2016): 042069.","divided genes into two categories panorthologues are present in all 60 e coli lines as single copies.  These genes are the core e.coli set.  All other genes are the ""flexible genome. Even excluding the those LTE lines that developed mutator phenotypes core genes in LTE experiment had more nonsynonymous mutations than the flexible genome. In contrast no difference in number of synonymous mutations.  In mutator lineages the number of nonsynonmous and synonymous mutations are near null expectation signaling that excess of nonsynonymous are likely due to positive selection.  Also presented a couple of lines of evidence that the changes seen where dominated by fine tuning not function loss."
"Paix o, Tiago, and Nicholas H. Barton. ""The effect of gene interactions on the long-term response to selection."" Proceedings of the National Academy of Sciences 113.16 (2016): 4422-4427.",compares populations with equal initial genetic variance but one with an additive structure and one with an epistatic architecture.   Also find that when drift dominates the response of population with epistatic architecture is equal to the initial genetic variance (assuming epistasis direction is unbiased) - haploid.         Diploids: The rate of response to selection is equal but the final trait value is more extreme in the model with epistatic architecture. This epistatic architecture requires sign epistasis such that some initially favored alleles become disfavored and the reverse.
"Sela, Itamar, Yuri I. Wolf, and Eugene V. Koonin. ""Theory of prokaryotic genome evolution."" Proceedings of the National Academy of Sciences (2016): 201614083.",motivated by an empirical observations genome size is correlated with dN/Ds this suggests that species with big genomes aren't just bloated with extra crappy DNA so we need a more nuanced model of genome size evolution in prokaryotes.  The model developed here has two big pieces 1) deletion bias 2) a decreasing fitness increase for gene additions.  This model can explain the observed genome size distribution better than a simple streamlining model
"Thomz, Maria Tereza C., and Bryan C. Carstens. ""Phylogeographic model selection leads to insight into the evolutionary history of four-eyed frogs."" Proceedings of the National Academy of Sciences 113.29 (2016): 8010-8017.",I like this paper - they point out the danger of assuming some pylogeographic model and then interpreting demographic parameter estimates based on assumed model.  Advocate instead for comparison of multiple phylogeographic models and their comparison using information theory.  This if done correctly will account for model selection uncertainty.  It reminds me in some ways of the SAGA paper they even do the model averaged results and error.
"Turner, James MA. ""Meiotic sex chromosome inactivation."" Development 134.10 (2007): 1823-1831.",reviews MSCI definitely in the mammal framework.  Apparently post-pachytene decondensation is not something seen in mammals as it receives no mention in the article. Paints the picture that MSCI is really just a special case of MSUC(meiotic silencing of unpaired chromosomes).  So what do we expect to see when pairing is never used and does post-pachytene decondensation in beetles deal with the necessity of some X transcripts during male meiosis that don't have the kind of X transposed copies that we see in mammals
"Bridges, Calvin B. ""Non-disjunction as proof of the chromosome theory of heredity (concluded)."" Genetics 1.2 (1916): 107.",Read this paper as part of the classics from genetics.  ItÍs a pretty nice article from a rhetorical perspective.  Has the same kind of feel as sections of origins where Darwin gives you just example after example after example of variation in this case Bridges is giving us example after example after example of traits whose distribution among offspring to be explained only by the fact chromosomes carry the heredityary material.  Rejecting the cell as a whole model for heredity.
"Nan, Beiyan, et al.  Bacteria that glide with helical tracks. Current Biology 24.4 (2014): R169-R173.","Discusses the hypothesis that Myxococcus xanthus move via an internal helical structure that rotates and produces a ""push"" against the exterior this allows for movement even when the environemnt is relatively drier and only thin film of liquid is available.  New microscopy method - PAML allows for visualization of single proteins in the living bacteria."
"Guo, Biwei, et al. ""Differential expression and phylogenetic analysis suggest specialization of plastid-localized members of the PHT4 phosphate transporter family for photosynthetic and heterotrophic tissues."" Plant signaling & behavior 3.10 (2008): 784-790.",a look at PHT4 phospate transporters comparing in part the clustering of similar sequences in rice and arabidopsis odd degree of stability in PHT4 much more than seen in PHT1 could this be a pattern typical of genes that must interact with organelles that have their own genome?
"Jones, Adam G., Reinhard BŸrger, and Stevan J. Arnold. ""Epistasis and natural selection shape the mutational architecture of complex traits."" Nature communications 5 (2014).",Forward time simulations revealing a number of intersting behaviors 1) presence of epistasis led to greater additive genetic variance at small population sizes up to a point when this effect was overwhelmed by drift. 2) presence of epistasis allows the mutational effect matrix to align with the Gmatrix to align with the selection matrix
"Raab, Ronald W., et al. ""New introductions, spread of existing matrilines, and high rates of pyrethroid resistance result in chronic infestations of bed bugs (Cimex lectularius L.) in lower-income housing."" PloS one 11.2 (2016): e0117805.",in depth analysis of the dynamics of an bed bug infestation in a multi-unit building with concrete poured foundation.  Lots of intersting observations.  First heat treatment was used multiple times on units in building and this was effective at eliminating bugs present in unit only temporarily.  It appears as though some percentage of bugs are able to either move away from heat to neighboring units or find cooler spots within walls or in contact with exterior or foundation to avoid death.  Also some indication that people evacuating for heat treatment likely transported bugs or eggs to adjacent units.
