"habitat","infection"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Grassland","Uninfected"
"Grassland","Infected"
"Grassland","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Infected"
"Urban","Uninfected"
"Urban","Uninfected"
"Urban","Uninfected"
