Order,Family,Genus,Species,Binomial,Female2n,Male2n,B chromosomes,Sex chromosome system,Notes-sex.chrom,Notes-diploid.num,Source
Artiodactyla,Bovidae,Madoqua,kirkii,Madoqua kirkii,47,47,,XY,,46-48,Kingswood and Kumamoto 1996
Artiodactyla,Bovidae,Naemorhedus,baileyi cranbrooki,Naemorhedus baileyi cranbrooki,56,56,,XY,,,Huang et al. 2005
Artiodactyla,Bovidae,Naemorhedus,goral,Naemorhedus goral,56,56,,XY,,,Biltueva and Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Nanger,dama mhorr,Nanger dama mhorr,39,39,,complex XY,X1X2Y1Y2,38-40,Cernohorska et al. 2012
Artiodactyla,Bovidae,Nanger,dama ruficollis,Nanger dama ruficollis,39,39,,complex XY,X1X2Y1Y2,38-40,Cernohorska et al. 2012
Artiodactyla,Bovidae,Nanger,granti roosevelti,Nanger granti roosevelti,30,31,,complex XY,XY1Y2,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Nanger,soemmerringii,Nanger soemmerringii,37,37,,complex XY,X1X2Y1Y2,34-39,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Neotragus,moschatus,Neotragus moschatus,54,54,,XY,,52-56,Kingswood et al. 1998b
Artiodactyla,Bovidae,Oreamnos,americanus,Oreamnos americanus,42,42,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Oreotragus,oreotragus stevensoni,Oreotragus oreotragus stevensoni,60,60,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Oryx,beisa beisa,Oryx beisa beisa,58,58,,XY,,,Kumamoto et al. 1999
Artiodactyla,Bovidae,Oryx,beisa callotis,Oryx beisa callotis,58,58,,XY,,,Kumamoto et al. 1999
Artiodactyla,Bovidae,Oryx,dammah,Oryx dammah,57,57,,XY,,56-58,Kumamoto et al. 1999
Artiodactyla,Bovidae,Oryx,gazella,Oryx gazella,56,56,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Oryx,gazella beisa,Oryx gazella beisa,58,58,,XY,,,Kumamoto et al. 1999
Artiodactyla,Bovidae,Oryx,gazella callotis,Oryx gazella callotis,58,58,,XY,,,Kumamoto et al. 1999
Artiodactyla,Bovidae,Oryx,gazella gazella,Oryx gazella gazella,56,56,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Oryx,leucoryx,Oryx leucoryx,57,57,,XY,,57-58,Rubes et al. 2012
Artiodactyla,Bovidae,Ovibos,moschatus,Ovibos moschatus,48,48,,XY,,,Biltueva and Graphodatsky (Unpublished)
Artiodactyla,Bovidae,Ovis,ammon,Ovis ammon,56,56,,XY,,,Huang et al. 2005
Artiodactyla,Bovidae,Ovis,ammon nigrimontana,Ovis ammon nigrimontana,56,56,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Ovis,aries,Ovis aries,54,54,,XY,,,Cribiu et al. 2001
Artiodactyla,Bovidae,Ovis,aries aries,Ovis aries aries,54,54,,XY,,,Iannuzzi et al. 1999
Artiodactyla,Bovidae,Ovis,aries musimon,Ovis aries musimon,54,54,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Ovis,aries orientalis,Ovis aries orientalis,54,54,,XY,,,Proskuryakova and Beklemisheva (Unpublished)
Artiodactyla,Bovidae,Ovis,canadensis,Ovis canadensis,54,54,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Ovis,nivcola,Ovis nivcola,52,52,,XY,,,Huang et al. 2005
Artiodactyla,Bovidae,Ovis,orientalis,Ovis orientalis,54,54,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Ovis,orientalis musimon,Ovis orientalis musimon,54,54,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Pelea,capreolus,Pelea capreolus,56,56,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Pseudois,nayaur szechuanensis,Pseudois nayaur szechuanensis,56,56,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Pseudois,schaeferi,Pseudois schaeferi,54,54,,XY,,,Veterinary Research Institute Brno (Unpublished)
Artiodactyla,Bovidae,Pseudoryx,nghetinhensis,Pseudoryx nghetinhensis,50,50,,XY,,,Kulemzina et al. 2014
Artiodactyla,Bovidae,Raphicerus,campestris,Raphicerus campestris,30,30,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Bovidae,Redunca,fulvorufula,Redunca fulvorufula,57,57,,XY,chrom rearrangements,56-57,Rubes et al. 2007
Artiodactyla,Bovidae,Rupricapra,rupicapra,Rupricapra rupicapra,58,58,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Syncerus,caffer,Syncerus caffer,52,52,,XY,,,Blackmon 2019
Artiodactyla,Bovidae,Syncerus,caffer,Syncerus caffer,55,55,,XY,chrom rearrangements,54-56,Ropiquet et al. 2010
Artiodactyla,Bovidae,Taurotragus,derbianus,Taurotragus derbianus,32,31,,complex XY,X1X2Y,,Rubes et al. 2008
Artiodactyla,Bovidae,Taurotragus,oryx pattersonianus,Taurotragus oryx pattersonianus,32,31,,complex XY,X1X2Y,,Rubes et al. 2008
Artiodactyla,Bovidae,Tetracerus,quadricornis,Tetracerus quadricornis,38,38,,XY,,,Popiquet et al. 2010
Artiodactyla,Bovidae,Tragelaphus,angasii,Tragelaphus angasii,56,55,,complex XY,X1X2Y,,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,eurycerus,Tragelaphus eurycerus,34,33,,complex XY,X1X2Y,,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,imberbis,Tragelaphus imberbis,38,38,,XY,,,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,scriptus,Tragelaphus scriptus,34,34,,XY,,,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,spekii,Tragelaphus spekii,30,30,,XY,,,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Tragelaphus strepsiceros,32,32,,XY,,,Rubes et al. 2008
Artiodactyla,Bovidae,Tragelaphus,strepsiceros strepsiceros,Tragelaphus strepsiceros strepsiceros,32,31,,complex XY,X1X2Y,,Blackmon 2019
Artiodactyla,Camelidae,Camelus,bactrianus,Camelus bactrianus,74,74,,XY,,,Balmus et al. 2007
Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,74,74,,XY,,,Balmus et al. 2007
Artiodactyla,Camelidae,Camelus,ferus,Camelus ferus,74,74,,XY,,,Proskuryakova et al. (Unpublished)
Artiodactyla,Camelidae,Lama,glama,Lama glama,74,74,,XY,,,Balmus et al. 2007
Artiodactyla,Camelidae,Lama,guanicoe,Lama guanicoe,74,74,,XY,,,Balmus et al. 2007
Artiodactyla,Camelidae,Lama,pacos,Lama pacos,74,74,,XY,,,Balmus et al. 2007
Artiodactyla,Camelidae,Vicugna,vicugna,Vicugna vicugna,74,74,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Alces,alces,Alces alces,68,68,,XY,,,Graphodatsky (Unpublished)
Artiodactyla,Cervidae,Axis,axis,Axis axis,66,66,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Axis,calamianensis,Axis calamianensis,68,68,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Axis,kuhlii,Axis kuhlii,68,68,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Blastocerus,dichotomus,Blastocerus dichotomus,66,66,,XY,,,Duarte and Giannoni 1995a
Artiodactyla,Cervidae,Capreolus,capreolus,Capreolus capreolus,70,70,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Capreolus,pygargus,Capreolus pygargus,70,70,yes (6),XY,,,Dementyeva et al. 2010
Artiodactyla,Cervidae,Cervus,albirostris,Cervus albirostris,66,66,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,68,68,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,62,62,,XY,,,Huang et al. 2006a
Artiodactyla,Cervidae,Cervus,elaphus bactrianus,Cervus elaphus bactrianus,68,68,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Cervus,elaphus sibiricus,Cervus elaphus sibiricus,68,68,,XY,,,Graphodatsky (Unpublished)
Artiodactyla,Cervidae,Cervus,nippon,Cervus nippon,66,66,,XY,,,Huang et al. 2006a
Artiodactyla,Cervidae,Cervus,nippon hortulorum,Cervus nippon hortulorum,66,66,,XY,,,Graphodatsky (Unpublished)
Artiodactyla,Cervidae,Cervus,nippon mandarinus,Cervus nippon mandarinus,66,66,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Cervus,timorensis russa,Cervus timorensis russa,60,60,,XY,,,Frohlich et al. 2017
Artiodactyla,Cervidae,Cervus,unicolor,Cervus unicolor,58,58,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Cervus,unicolor malaccensis,Cervus unicolor malaccensis,56,56,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Dama,dama,Dama dama,68,68,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Dama,mesopotamica,Dama mesopotamica,68,68,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Elaphodus,cephalophus,Elaphodus cephalophus,47,47,,complex XY,X1Y1Y2,46-48,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Elaphurus,davidianus,Elaphurus davidianus,68,68,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Hippocamelus,bisculus,Hippocamelus bisculus,70,70,,XY,,,Spotorno et al. 1987
Artiodactyla,Cervidae,Hydropotes,inermis,Hydropotes inermis,70,70,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Mazama,americana,Mazama americana,42,43,yes,complex XY,XY1Y2,,Aquino et al. 2013
Artiodactyla,Cervidae,Mazama,bororo,Mazama bororo,34,34,yes,XY,,,Duarte (Unpublished)
Artiodactyla,Cervidae,Mazama,gouazoubira,Mazama gouazoubira,70,70,yes,XY,,,Proskuryakova and Yang (Unpublished)
Artiodactyla,Cervidae,Mazama,nana,Mazama nana,36,36,yes,XY,,,Abril and Duarte 2008
Artiodactyla,Cervidae,Mazama,nemorivaga,Mazama nemorivaga,68,69,yes,complex XY,X1Y1Y2,,Fiorillo et al. 2013
Artiodactyla,Cervidae,Muntiacus,crinifrons,Muntiacus crinifrons,8,9,,complex XY,XY1Y2,,Fu and Yang (Unpublished)
Artiodactyla,Cervidae,Muntiacus,feae,Muntiacus feae,13,14,,complex XY,XY1Y2,,Huang et al. 2006b
Artiodactyla,Cervidae,Muntiacus,gongshanensis,Muntiacus gongshanensis,8,9,,complex XY,XY1Y2,,Fu and Yang (Unpublished)
Artiodactyla,Cervidae,Muntiacus,muntjak,Muntiacus muntjak,6,7,,complex XY,XY1Y2,,Blackmon 2019
Artiodactyla,Cervidae,Muntiacus,muntjak vaginalis,Muntiacus muntjak vaginalis,6,7,,complex XY,XY1Y2,,Burkin et al. 1997
Artiodactyla,Cervidae,Muntiacus,reevesi,Muntiacus reevesi,46,46,,XY,,,Yang et al. 1995
Artiodactyla,Cervidae,Odocoileus,hemionus,Odocoileus hemionus,70,70,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus virginianus,70,70,,XY,,,Duarte (Unpublished)
Artiodactyla,Cervidae,Ozotocerus,bezoarticus,Ozotocerus bezoarticus,68,68,,XY,,,Duarte and Giannoni 1995b
Artiodactyla,Cervidae,Pudu,puda,Pudu puda,70,70,,XY,,,Spotorno and Fernandez-Donoso 1975
Artiodactyla,Cervidae,Rangifer,tarandus,Rangifer tarandus,70,70,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Cervidae,Rucervus,duvaucelii,Rucervus duvaucelii,56,56,,XY,,,Blackmon 2019
Artiodactyla,Cervidae,Rucervus,eldii,Rucervus eldii,58,58,,XY,,,Frohlich et al. 2017
Artiodactyla,Delphinidae,Delphinus,bairdii,Delphinus bairdii,44,44,,XY,,,Blackmon 2019
Artiodactyla,Delphinidae,Delphinus,delphis,Delphinus delphis,44,44,,XY,,,Arnason 1974a
Artiodactyla,Delphinidae,Globicephala,macrorhynchus,Globicephala macrorhynchus,44,44,,XY,,,Arnason 1974a
Artiodactyla,Delphinidae,Lagenorhynchus,albirostris,Lagenorhynchus albirostris,44,44,,XY,,,Arnason 1980
Artiodactyla,Delphinidae,Orcinus,orca,Orcinus orca,44,44,,XY,,,Arnason et al. 1980
Artiodactyla,Delphinidae,Stenella,attenuata,Stenella attenuata,44,44,,XY,,,Stock 1981
Artiodactyla,Delphinidae,Stenella,clymene,Stenella clymene,44,44,,XY,,,Arnason 1980
Artiodactyla,Delphinidae,Stenella,dubia,Stenella dubia,44,44,,XY,,,Arnason 1974c
Artiodactyla,Delphinidae,Tursiops,truncatus,Tursiops truncatus,44,44,,XY,,,Bielec et al. 1997
Artiodactyla,Eschrichtiidae,Eschrichtius,robustus,Eschrichtius robustus,44,44,,XY,,,Arnason 1981a
Artiodactyla,Giraffidae,Giraffa,camelopardalis tippelskirchi,Giraffa camelopardalis tippelskirchi,30,30,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Giraffidae,Giraffa,camelopardis,Giraffa camelopardis,30,30,,XY,,,Huang et al. 2008
Artiodactyla,Giraffidae,Okapia,johnstoni,Okapia johnstoni,45,45,,XY,,45-46,CRES San Diego (Unpublished)
Artiodactyla,Hippopotamidae,Choeropsis,liberiensis,Choeropsis liberiensis,36,36,,XY,,,Frohlich et al. 2016
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus amphibius,36,36,,XY,,,Kulemzima et al. 2009
Artiodactyla,Kogiidae,Kogia,breviceps,Kogia breviceps,42,42,,XY,,,Arnason and Benirscke 1973
Artiodactyla,Lipotidae,Lipotes,vexillifer,Lipotes vexillifer,44,44,,XY,,,Minrong et al. 1986
Artiodactyla,Monodontidae,Delphinapterus,leucas,Delphinapterus leucas,44,44,,XY,,,Jarrell and Arnason 1981
Artiodactyla,Moschidae,Moschus,berezovskii,Moschus berezovskii,58,58,,XY,,,Chi et al. 2005a
Artiodactyla,Moschidae,Moschus,moschiferus,Moschus moschiferus,58,58,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Phocoenidae,Neophocaena,phocaenoides asiaeorientalis,Neophocaena phocaenoides asiaeorientalis,44,44,,XY,,,Nie et al. 2012
Artiodactyla,Phocoenidae,Phocoena,phocoena,Phocoena phocoena,44,44,,XY,,,Arnason 1980
Artiodactyla,Physeteridae,Physeter,catodon,Physeter catodon,42,42,,XY,,,Blackmon 2019
Artiodactyla,Physeteridae,Physeter,macrocephalus,Physeter macrocephalus,42,42,,XY,,,Arnason and Benirscke 1973
Artiodactyla,Suidae,Babyrousa,babyrussa,Babyrousa babyrussa,38,38,,XY,,,Bosma et al. 1996
Artiodactyla,Suidae,Babyrousa,babyrussa celebensis,Babyrousa babyrussa celebensis,38,38,,XY,,,CRES San Diego (Unpublished)
Artiodactyla,Suidae,Phacochoerus,africanus,Phacochoerus africanus,34,34,,XY,,,Musilova et al. 2010
Artiodactyla,Suidae,Phacochoerus,africanus sundervallii,Phacochoerus africanus sundervallii,34,34,,XY,,,CRES San Diego (Unpublished)
