Family,Subfamily,Tribe,Genus,Species,Submetacentric,Metacentric,Subtelocentric,Telocentric,Subacrocentric,Acrocentric,Dot,Sex,HaploidNum,SCS,Notes,Reference
Agromyzidae,,,Phytomyza,Phytomyza crassiseta,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Phytomyza,Phytomyza crassiseta,,,,,,,,,9,,,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Phytomyza,Phytomyza ilicis,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Agromyzidae,,,Phytomyza,Phytomyza primulae,,,,,,,,,6,XY,large X,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Anisopodidae,,,Mycetobia,Mycetobia pallipes,,,,,,,,,3,XY,small X,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Anisopodidae,,,Phryne,Phryne fenestralis,,,,,,,,,4,XY,small X,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Anthomyiidae,,,Achaetella,Achaetella varipes,,,,,,,,,6,XY,,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Cordilura,Cordilura ciliata,,,,,,,,,6,XY,small X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Cordilura,Cordilura ontario,,,,,,,,,6,XY,small X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Fucellia,Fucellia marina,,,,,,,,,6,XY,small sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Anthomyiidae,,,Fucellia,Fucellia merina,,,,,,,,,6,XY,,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Homalomya,Homalomya sp,,,,,,,,,6,XY,small sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Anthomyiidae,,,Hydrophoria,Hydrophoria conica,,,,,,,,,6,XY,short X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya antiqua,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya brassicae,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya cana,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya cilicrura,,,,,,,,,6,XY,,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya crucifera,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya echinata,,,,,,,,,6,XY,short X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya floralis,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya florilegea,,,,,,,,,6,XY,short X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya fugax,,,,,,,,,7,Complex XY,"long X1, dot-like X2 heterochormatic Y X1X2Y/X1X1X2X2; small X & neo-X chromosome X1X2Y/X1X1X2X2","Boyes, J. (1952). A Multiple Sex-Chromosome Mechanism in a Root Maggot, Hylemya Fugax. Journal of Heredity 43(5): 195-200.; Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63."
Anthomyiidae,,,Hylemya,Hylemya planipalpus,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya trichodactula,,,,,,,,,6,XY,,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Hylemya,Hylemya trichodactyla,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63."
Anthomyiidae,,,Ophyra,Ophyra leucostoma,,,,,,,,,6,XY,small sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Anthomyiidae,,,Orthochaeta,Orthochaeta hirtipes,,,,,,,,,6,XY,small X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Pegomya,Pegomya betae,,,,,,,,,6,XY,small X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Pegomya,Pegomya bicolor,,,,,,,,,6,XY,small X,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Pegomyia,Pegomyia geniculata,,,,,,,,,6,XY,small X chromosome,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Phorbia,Phorbia brassica,,,,,,,,,6,XY,,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University.; Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Anthomyiidae,,,Scatophaga,Scatophaga pallida,,,,,,,,,6,XY,,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Anthomyiidae,,,Scatophaga,Scatophaga stercoraria,,,,,,,,,6,XY,,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Asilidae,,,Asilus,Asilus lecythus,,,,,,,,,7,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Asilus,Asilus notatus,,,,,,,,,7,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Asilus,Asilus sericeus,,,,,,,,,5,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Dasyllis,Dasyllis grossa,,,,,,,,,5,XO,,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Dasyllis,Dasyllis thoracica,,,,,,,,,5,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Deromyia,Deromyia winthemi,,,,,,,,,6,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Erax,Erax rufibarbis,,,,,,,,,5,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Asilidae,,,Leptogaster,Leptogaster badius,,,,,,,,,5,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279.; Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Bibionidae,,,Bibio,Bibio bortulanus,,,,,,,,,5,,,"Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Bibionidae,,,Bibio,Bibio hortulanus,,,,,,,,,5,,homomorphic,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Bibionidae,,,Penthetria,Penthetria holosericea,,,,,,,,,5,XY,small X,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Bombyliidae,Bombyliinae,,Acrophthalmyda,Acrophthalmyda paulseni,,6,,,,,,,6,,,"Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera); Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,Anthracinae,,Anthrax,Anthrax anthrax,,8,,,,,,,8,,,"Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera); Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,Anthracinae,,Anthrax,Anthrax cordillerensis,,5,,,,,,1,6,XY,long X,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Anthrax,Anthrax lateralis,,,,,,,,,6,,homomorphic,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Bombyliidae,Anthracinae,,Anthrax,Anthrax mystaceus,,,,,,,,,7,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Anthrax,Anthrax oedipus,,,,,,,,,9,XY,medium long X,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,,,Anthrax,Anthrax sinuosa,,,,,,,,,9,XY,large sex chromosome,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Bombyliidae,Anthracinae,,Anthrax,Anthrax tigrinus,,,,,,,,,6,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Anthrax,Anthrax yamashiroensis,,5,,,,,,,5,XY,X a long metacentric and Y long metacentric,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Bombyliinae,,Bombylius,Bombylius fulvescens,,6,,,,,,,6,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Bombyliinae,,Bombylius,Bombylius pygmaeus,,5,,,,,,1,6,XY,"Sex chromosomes heteromorophic XY, the shortest pair are the sex chromosomes",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Exoprosopa,Exoprosopa atrinasis,,8,,,,,,1,9,XY,X medium length,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Exoprosopa,Exoprosopa sp.,,,,,,,,,7,XY,X medium length,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,Anthracinae,,Exoprosopa,Exoprosopa sp.Punctulatagroup,,,,,,,,,7,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Ligyra,Ligyra cerberus,3,6,,,,,,,9,XY,"X long submetacentric, Y medium length metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Ligyra,Ligyra proserpina,,8,,,,,,1,9,XY,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Neodiplocampta,Neodiplocampta roederi,1,8,,,,,,,9,XY,X medium length metacentric,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Spogostylum,Spogostylum simson,,,,,,,,,6,,,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Bombyliidae,Bombyliinae,,Systoechus,Systoechus vulgaris,,6,,,,,,,7,XY,"X medium metacentric, Y short metacentric, pair 2 short centromere not located",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Thyridanthrax,Thyridanthrax abrupta,,,,,,,,,8,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Thyridanthrax,Thyridanthrax niveifrons,,,,,,,,,9,XY,"X long metacentric, Y long metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Thyridanthrax,Thyridanthrax sp,,8,,,,,,1,9,XY,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Bombyliinae,,Toxophora,Toxophora javana,,3,1,,,,,,4,XY,"X very long subtelocentric, Y very long metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Bombyliinae,,Usia,Usia florea,2,2,,1,,,,,5,XY,"X short telocentric, Y medium Telocentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa cingulum,,8,,,,,,,8,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa gayi,,9,,,,,,,9,XY,"X medium length metacentric, Y short centromere not located.",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa gorgon,1,5,1,,,,,,7,XY,X long metacentric,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa lateralis,,5,,1,,,,,6,XY,"X short telocentric, Y short telocentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa morio,3,6,,,,,,,9,XY,"X long metacentric, Y short metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa scylla,,5,,,,,,,5,XY,"X long metacenric, Y short metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa sinuosa,,,,,,,,,9,XY,"X long centromere location not clear, Y short, Centromere location not clear",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Villa,Villa sp,,,,,,,,,9,XY,X medium length m,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,Anthracinae,,Villa,Villa sp.1,1,6,,,,,,,7,XY,"X long metacentric, Y short metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa sp.2,,7,,,,,,,7,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa sp.3,,,,,,,,,9,,,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa sp.Lateralisgroup,1,6,,,,,,,7,XY,"X medium metacentric, Y short metacentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa sp.nr.Blanchardiana,1,5,,,,,,,6,XY,"X medium metacentric, Y short telocentric",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,Anthracinae,,Villa,Villa sp.nr.gorgon,,9,,,,,,,9,XY,"X medium length metacentric, Y medium length centromere location uncertain",Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Villa,Villa spB,,,,,,,,,6,XY,X medium length,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,,,Villa,Villa spC,,,,,,,,,7,XY,X medium length sm,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,Anthracinae,,Villa,Villa velutina,2,7,,,,,,,9,XY,X medium metacentric,Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)
Bombyliidae,,,Villa,Villa velutinaI,,,,,,,,,9,XY,X medium length,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Bombyliidae,,,Villa,Villa velutinaII,,,,,,,,,9,XY,X medium length,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Calliphoridae,,,Albuquerquea,Albuquerquea latifrons,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Amenia,Amenia chrysame,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Anthracomyza,Anthracomyza atratula,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Bengalia,Bengalia inermis,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Bengalia,Bengalia lyneborgi,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Blepharicnema,Blepharicnema splendens,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Boreellus,Boreellus atriceps,,,,,,,,,6,XY,X medium,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Bufolucilia,Bufolucilia silvarum,,,,,,,,,6,XY,X medium,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora accepta,,,,,,,,,6,XY,X long,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora bomitoria,,,,,,,,,6,XY,,"Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Calliphoridae,,,Calliphora,Calliphora croceipalpisI,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora croceipalpisII,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,Calliphorinae,Calliphorini,Calliphora,Calliphora erythrocephala,,,,,,,,,6,XY,,"Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Calliphoridae,,,Calliphora,Calliphora fallax,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora fulviceps,,,,,,,,,6,XY,X long,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora fulvicoxa,,,,,,,,,6,XY,X medium,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora hilli,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora lilaea,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora peruviana,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora plebeia,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora sternalis,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora stygia,,,,,,,,,6,XY,,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora tibialis,,,,,,,,,6,XY,X medium,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora varifrons,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora vicina,2,4,,,,,,,6,XY,both x and Y are metacentric,"GM 2006. Cytogenetic studies of Calliphora vicina and Lucilia sericata (Diptera: Calliphoridae) from northwestern Egypt; Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Boyes 1961. Somatic Chromosomes of Higher Diptera. V. interspecific and intraspecific variation in the Calliphoridae; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Calliphoridae,,,Calliphora,Calliphora vicinaI,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Calliphoridae,,,Calliphora,Calliphora vicinaII,,,,,,,,,6,XY,X short,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
