"week","host","treatment","infected"
3,39,"Vaccine",0
0,40,"Vaccine",0
1,40,"Vaccine",0
2,40,"Vaccine",0
3,40,"Vaccine",0
0,41,"Vaccine",1
1,41,"Vaccine",0
2,41,"Vaccine",0
3,41,"Vaccine",1
0,42,"Vaccine",1
1,42,"Vaccine",0
2,42,"Vaccine",1
3,42,"Vaccine",1
0,43,"Vaccine",0
1,43,"Vaccine",0
2,43,"Vaccine",0
3,43,"Vaccine",0
0,44,"Vaccine",0
1,44,"Vaccine",0
2,44,"Vaccine",0
3,44,"Vaccine",0
0,45,"Vaccine",0
1,45,"Vaccine",1
2,45,"Vaccine",0
3,45,"Vaccine",1
0,46,"Vaccine",0
1,46,"Vaccine",0
2,46,"Vaccine",0
3,46,"Vaccine",0
0,47,"Vaccine",0
1,47,"Vaccine",1
2,47,"Vaccine",0
3,47,"Vaccine",0
0,48,"Vaccine",0
1,48,"Vaccine",0
2,48,"Vaccine",0
3,48,"Vaccine",0
0,49,"Vaccine",0
1,49,"Vaccine",0
2,49,"Vaccine",0
3,49,"Vaccine",0
0,50,"Vaccine",0
1,50,"Vaccine",1
2,50,"Vaccine",1
3,50,"Vaccine",0
0,51,"Vaccine",0
1,51,"Vaccine",0
2,51,"Vaccine",0
3,51,"Vaccine",0
0,52,"Vaccine",0
1,52,"Vaccine",0
2,52,"Vaccine",0
3,52,"Vaccine",0
0,53,"Vaccine",0
1,53,"Vaccine",0
2,53,"Vaccine",1
3,53,"Vaccine",0
0,54,"Vaccine",1
1,54,"Vaccine",1
2,54,"Vaccine",1
3,54,"Vaccine",0
0,55,"Vaccine",0
1,55,"Vaccine",1
2,55,"Vaccine",0
3,55,"Vaccine",0
0,56,"Vaccine",1
1,56,"Vaccine",0
2,56,"Vaccine",0
3,56,"Vaccine",0
0,57,"Vaccine",0
1,57,"Vaccine",0
2,57,"Vaccine",1
3,57,"Vaccine",0
0,58,"Vaccine",1
1,58,"Vaccine",0
2,58,"Vaccine",0
3,58,"Vaccine",0
0,59,"Vaccine",0
1,59,"Vaccine",1
2,59,"Vaccine",0
3,59,"Vaccine",1
0,60,"Vaccine",1
1,60,"Vaccine",1
2,60,"Vaccine",0
3,60,"Vaccine",0
0,61,"Vaccine",0
1,61,"Vaccine",1
2,61,"Vaccine",1
3,61,"Vaccine",1
0,62,"Vaccine",0
1,62,"Vaccine",0
2,62,"Vaccine",1
3,62,"Vaccine",0
0,63,"Vaccine",1
1,63,"Vaccine",0
2,63,"Vaccine",1
3,63,"Vaccine",0
0,64,"Vaccine",0
1,64,"Vaccine",0
2,64,"Vaccine",1
3,64,"Vaccine",0
0,65,"Vaccine",0
1,65,"Vaccine",0
2,65,"Vaccine",1
3,65,"Vaccine",1
0,66,"Vaccine",0
1,66,"Vaccine",0
2,66,"Vaccine",0
3,66,"Vaccine",0
0,67,"Vaccine",0
1,67,"Vaccine",0
2,67,"Vaccine",0
3,67,"Vaccine",0
0,68,"Vaccine",0
1,68,"Vaccine",0
2,68,"Vaccine",1
3,68,"Vaccine",1
0,69,"Vaccine",1
1,69,"Vaccine",1
2,69,"Vaccine",0
3,69,"Vaccine",0
0,70,"Vaccine",0
1,70,"Vaccine",0
2,70,"Vaccine",0
3,70,"Vaccine",0
0,71,"Vaccine",0
1,71,"Vaccine",0
2,71,"Vaccine",0
3,71,"Vaccine",1
0,72,"Vaccine",0
1,72,"Vaccine",0
2,72,"Vaccine",0
3,72,"Vaccine",0
