Species,Type,Decimal 
Sigmodon mascotensis,A,0.111
Sigmodon mascotensis,A,0.1
Sigmodon mascotensis,A,0.091
Sigmodon mascotensis,A,0.083
Sigmodon mascotensis,A,0.077
Sigmodon fulviventer,A,1
Sigmodon fulviventer,A,0.5
Sigmodon fulviventer,A,0.333
Sigmodon fulviventer,A,0.25
Sigmodon fulviventer,A,0.2
Sigmodon fulviventer,A,0.167
Sigmodon fulviventer,A,0.143
Sigmodon fulviventer,A,0.125
Sigmodon fulviventer,A,0.111
Sigmodon fulviventer,A,0.1
Sigmodon fulviventer,A,0.091
Rattus norvegicus,A,0.5
Rattus norvegicus,A,0.25
Rattus norvegicus,A,0.2
Rattus norvegicus,A,0.167
Rattus norvegicus,A,0.143
Rattus norvegicus,A,0.125
Rattus norvegicus,A,0.111
Rattus norvegicus,A,0.1
Rattus rattus,A,0.333
Rattus rattus,A,0.167
Rattus rattus,A,0.143
Rattus rattus,A,0.125
Rattus rattus,A,0.111
Cereocyon thous,A,0.04
Cereocyon thous,A,0.037
Cereocyon thous,A,0.036
Cereocyon thous,A,0.033
Cereocyon thous,A,0.032
Cereocyon thous,A,0.031
Cereocyon thous,A,0.028
Tremarctos ornatus,A,0.063
Tremarctos ornatus,A,0.059
Tremarctos ornatus,A,0.056
Tremarctos ornatus,A,0.053
Tremarctos ornatus,A,0.05
Tremarctos ornatus,A,0.048
Tremarctos ornatus,A,0.045
Tremarctos ornatus,A,0.043
Tremarctos ornatus,A,0.042
Tursiops truncatus,A,0.167
Tursiops truncatus,A,0.1
Tursiops truncatus,A,0.071
