Order,Suborder,Family,Genus,species,Reproductive.mode,B.chromosomes,Ploidy.level,Sex.chromosome.system,Meioformula,Diploid.number,Notes,Citation,Sex.Chromosome.System,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum bogemanni     ,Sexual diplodiploidy,,,NeoXY,2n=36M 17+NeoXY,36,,Serrano and Yadav (1984),NeoXY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum corvus,,,,,2n=39M ,39,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum cupripenne     ,Sexual diplodiploidy,,,NeoXY,2n=36M 17+NeoXY,36,,Serrano and Yadav (1984),NeoXY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum dolens     ,Sexual diplodiploidy,,,XO,2n=39M 19+XO,39,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum ericeti     ,Sexual diplodiploidy,,,XY,2n=34M 16+XY,34,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum errans     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum extensicolle,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum fuliginosum     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum gracile,,,,,2n=35-36M ,35,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum livens     ,Sexual diplodiploidy,,,XO,2n=43M 21+XO,43,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum marginatum     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum micans,,,,,2n=35M ,35,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum moestum     ,Sexual diplodiploidy,,,XY,2n=34M 16+XY,34,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum moestum longipenne    ,Sexual diplodiploidy,,,XY,2n=34M 16+XY,34,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum muelleri     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum munsteri     ,Sexual diplodiploidy,,,XY,2n=36M 17+XY,36,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum nigrum     ,Sexual diplodiploidy,,,XY,2n=34M 16+XY,34,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum retractum     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum sexpunctatum     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum sp. 1    ,Sexual diplodiploidy,,,,2n=37M ,37,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum sp. 2    ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum thoreyi     ,Sexual diplodiploidy,,,XO,2n=35M 17+XO,35,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum thoreyi melanocephalus    ,Sexual diplodiploidy,,,XO,2n=35M 17+XO,35,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Agonum,Agonum viridicupreum,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara aenea     ,Sexual diplodiploidy,,,XO,2n=35M 17+XO,35,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara apricaria     ,Sexual diplodiploidy,,,XO,2n=33M 16+XO,33,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara arcuata,,,,,2n=37M ,37,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara aulica     ,Sexual diplodiploidy,,,,2n=33M ,33,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara batesi,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara communis     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara equestris,,,,,2n=30F ,30,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara familiaris     ,Sexual diplodiploidy,,,NeoXY,2n=34M 16+NeoXY,34,,Serrano and Yadav (1984),NeoXY,,
Coleoptera,Adephaga,Carabidae,Amara,Amara familiaris     ,Sexual diplodiploidy,,,XO,2n=33M 16+XO,33,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara fervida,Sexual diplodiploidy,,,XO,2n=33M 16+XO,33,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara fulva,Sexual diplodiploidy,,,XO,2n=35M/2n=36F 17+XO,35,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara giganteus     ,Sexual diplodiploidy,,,XO,2n=41M 20+XO,41,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara impuncticollis     ,Sexual diplodiploidy,,,,2n=34M ,34,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara ingenua,Sexual diplodiploidy,,,XO,2n=37M/2n=38F 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara laevipennis     ,Sexual diplodiploidy,,,NeoXY,2n=32M 15+NeoXY,32,,Serrano and Yadav (1984),NeoXY,,
Coleoptera,Adephaga,Carabidae,Amara,Amara metallescens,,yes,,,2n=21M ,21,,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara moerens,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara montivaga,Sexual diplodiploidy,,,XO,2n=37M/2n=38F 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Amara,Amara nila,Sexual diplodiploidy,,,XY,2n=22M 10+XY,22,  ,Serrano and Galian (1998),XY,,
Coleoptera,Adephaga,Carabidae,Amara,Amara plebeja,Sexual diplodiploidy,,,XY,2n=34M 16+XY,34,  ,Serrano and Galian (1998),XY,,
Coleoptera,Adephaga,Carabidae,Amara,Amara rotundicollis,,,,,2n=26F ,26,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara rufescens,,,,,2n=24F ,24,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Amara,Amara similata,Sexual diplodiploidy,,,XY,2n=32M/2n=32F 15+XY,32,  ,Serrano and Galian (1998),XY,,
Coleoptera,Adephaga,Carabidae,Amara,Amara simplex,,,,,2n=20F ,20,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Amblycheila,Amblycheila baroni     ,Sexual diplodiploidy,,,XY,2n=44M 21+XY,44,  ,"Galian, Hogan, and Vogler (2002)",XY,,
Coleoptera,Adephaga,Carabidae,Amblystomus,Amblystomus bivittatus     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Amblystomus,Amblystomus quadriguttatus     ,Sexual diplodiploidy,,,,2n=28F ,28,  ,Galian and Moore (1994),unreported,,
Coleoptera,Adephaga,Carabidae,Amblytelus,Amblytelus curtus     ,Sexual diplodiploidy,,,XY,2n=30M/2n=30F 14+XY,30,  ,Galian and Moore (1994),XY,,
Coleoptera,Adephaga,Carabidae,Amphasia,Amphasia interstitialis     ,Sexual diplodiploidy,,,,2n=35-37M ,35,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Amphasia,Amphasia sericea     ,Sexual diplodiploidy,,,XO,2n=29M 14+XO,29,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Anchomenidius,Anchomenidius astur     ,Sexual diplodiploidy,,,,2n=43M ,43,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Anchomenus,Anchomenus dorsalis,Sexual diplodiploidy,,,XY,2n=44M 21+XY,44,  ,Serrano and Galian (1998),XY,,
Coleoptera,Adephaga,Carabidae,Anisodactylus,Anisodactylus binotatus,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Anisodactylus,Anisodactylus hispanus     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Anisodactylus,Anisodactylus sigtus     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Anisodactylus,Anisodactylus virens     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Anomoglossus,Anomoglossus emargitus     ,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Anthia,Anthia sexguttata     ,Sexual diplodiploidy,,,XO,2n=35M 17+XO,35,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Apenes,Apenes margilis     ,Sexual diplodiploidy,,,,2n=36M ,36,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Aptinus,Aptinus displosor     ,Sexual diplodiploidy,,,,2n=32M ,32,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Arthropterus,Arthropterus sp. 1    ,Sexual diplodiploidy,,,,2n=46M/2n=46F ,46,  ,Galian and Moore (1994),unreported,,
Coleoptera,Adephaga,Carabidae,Asaphidion,Asaphidion caraboides     ,Sexual diplodiploidy,yes,,XY,2n=24M 11+XY,24,,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Asaphidion,Asaphidion curtum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Asaphidion,Asaphidion cyanicorne     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Asaphidion,Asaphidion rossii,,,,,2n=24M ,24,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Baudia,Baudia anomala     ,Sexual diplodiploidy,,,XO,2n=45M 22+XO,45,  ,Serrano and Yadav (1984),XO,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion 'graphicum-Nr 1'    ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion 'graphicum-Nr 2'    ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion aeneicolle     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion aenulum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion alaskense     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion ambiguum     ,Sexual diplodiploidy,,,,2n=24M/2n=24F ,24,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion americanum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion anchonoderum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion andreae andreae    ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion andreae bualei    ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion antiquum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion aratum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion arcticum ,Sexual diplodiploidy,,,XY,2n=26M 12+XY,26,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion arenobilis ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (2008),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion arizoe     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion articulatum ,Sexual diplodiploidy,,,,2n=24F ,24,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion ascendens,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Galian (1998),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion assimile     ,Sexual diplodiploidy,,,,2n=24M ,24,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion atrocoeruleum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion balli     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion basicorne ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion bellorum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (2008),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion bifossulatum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion biguttatum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion bimaculatum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion bipunctatum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion bowditchi     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion brachythorax ,Sexual diplodiploidy,,,XO,2n=23M 11+XO,23,  ,D. Maddison (1985),XO,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion brevistriatum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion californicum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion callosum     ,Sexual diplodiploidy,,,XY,2n=24M/2n=24F 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion carinula     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion carolinense ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion carpetanum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion castor     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion castum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion cf anguliferum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion cf. immaturum    ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion chalceum ,Sexual diplodiploidy,,,XY,2n=26M 12+XY,26,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion coeruleum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion coloradense     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion complanulum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion compressum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion concolor     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion concretum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion confusum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion connivens ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion consanguineum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion constricticolle ,Sexual diplodiploidy,,,,2n=22M ,22,  ,D. Maddison (1985),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion contraetum-group contractum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion contraetum-group viridicolle ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion convexulum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion cordatum     ,Sexual diplodiploidy,,,,2n=22M ,22,  ,D. Maddison (1985),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion coxendix     ,Sexual diplodiploidy,,,XO,2n=23M 11+XO,23,  ,D. Maddison (1985),XO,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion coxendix     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion cribum ,Sexual diplodiploidy,,,,2n=25M ,25,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion dahli ,Sexual diplodiploidy,,,,2n=25M ,25,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion dauricum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion decorum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion diligens     ,Sexual diplodiploidy,,,,2n=22M ,22,  ,D. Maddison (1985),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion doris ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion dorsale     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion dudichi     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion ephippium     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion fasciolatum egregium    ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion flebile ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion fortestriatum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion fortutum     ,Sexual diplodiploidy,,,XY,2n=24M/2n=24F 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion foveum,,,,,2n=24M ,24,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion foveum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion frontale ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion fumigatum     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion gebleri turbatum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion genei     ,Sexual diplodiploidy,,,XY,2n=24M/2n=24F 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion geniculatum     ,Sexual diplodiploidy,,,XY,2n=24M/2n=24F 11+XY,24,  ,Serrano and Yadav (1984),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion gordoni ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion graciliforme     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion grapei     ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
Coleoptera,Adephaga,Carabidae,Bembidion,Bembidion gratiosum ,Sexual diplodiploidy,,,XY,2n=24M 11+XY,24,  ,D. Maddison (1985),XY,,
