Genus,Subgenus,Species,R,V,J,D,HaploidNum,Arms,X,Y,Sex,Notes,Ref.
Bunostoma,Hawaiian,Bunostoma anomala,3,1,,1,5,6,,,,"Pohakaloa, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma anomala,3,1,,1,5,6,,,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma n. sp. Near anomala,1,2,,1,4,6,,,,"Manoa Valley, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma n. sp. Near anomala,1,2,,1,4,6,,,,"Tantalus, Oahu (Datura)","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma n. sp. Near anomala,1,2,,1,4,6,,,,"Tantalus, Oahu (Koa)","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma n. sp. Near anomala,1,2,,1,4,6,,,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma palmae,3,1,,1,5,6,,,,"Kamuela, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma palmae,3,1,,1,5,6,,,,Moanaloa Rd. Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma palmae,3,1,,1,5,6,,,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma palmae,3,1,,1,5,6,,,,Capt. Cook Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma palmae,3,1,,1,5,6,,,,Kohala Mts. Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma palmae,3,1,,1,5,6,,,,"Pohakaloa, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma varifrons,3,1,,1,5,6,,,,"Paliku, Maui","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma varifrons,3,1,,1,5,6,,,,"Tantalus, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma varifrons,3,1,,1,5,6,,,,"Pupukea, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma xanthopleura,3,1,,1,5,6,,,,"Tantalus, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma xanthopleura,3,1,,1,5,6,,,,"Poamoho, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma xanthopleura,3,1,,1,5,6,,,,"Pupukea, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma xanthopleura,3,1,,1,5,6,,,,"Manoa Falls, Oahu","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma xanthopleura,3,1,,1,5,6,,,,"Waimea, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Cacoxenus,,Cacoxenus indigator,2,1,1,,4,6,,,,,"Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Chymomyza,Chymomyza,Chymomyza aldrichii,1,2,,1,4,6,R,R,XY,X and Y are rods,"Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Chymomyza,Chymomyza,Chymomyza amoena,1,2,,1,4,6,,,,,"Metz, C.W., 1914. Chromosome studies in the Diptera. I. A preliminary survey of five different types of chromosome groups in the genus Drosophila.J. exp. Zool,17, pp.45-59., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Chymomyza,Chymomyza,Chymomyza costata,1,2,,1,4,6,,,,"Acrocentric X, submetacentric Y","Hackman, W., Lakovaara, S., Saura, A., Sorsa, M. and Vepsalainen, K., 1970. On the biology and karyology of Chymomyza costata Zetterstedt, with reference to the taxonomy and distribution of various species of Chymomyza (Dipt., Drosophilidae).Ann Entomol Fenn,36, pp.1-9., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Chymomyza,Chymomyza,Chymomyza coxata,1,2,,1,4,6,,,,X and Y are rods,"Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Chymomyza,Chymomyza,Chymomyza procnemis,1,2,,1,4,6,,,,,"Metz, C.W., 1916. Chromosome studies on the Diptera. II. The paired association of chromosomes in the Diptera, and its significance. Journal of Experimental Zoology, 21(2), pp.213-279., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Chymomyza,Chymomyza,Chymomyza wirthii,1,2,,1,4,6,R,R,XY,X and Y are rods,"Clayton, F.E. and C.L. Ward, 1954. Chromosomal studies of several species of Drosophilidae. Univ. Texas Publ 5422: 98-105., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Cladochaeta,,Cladochaeta nebulosa,,3,,1,4,7,,,,,"Metz, C.W., 1916. Chromosome studies on the Diptera. II. The paired association of chromosomes in the Diptera, and its significance. Journal of Experimental Zoology, 21(2), pp.213-279., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Dettopsomyia,,Dettopsomyia nigrovittata,3,1,,1,5,6,,,,,"Prevosti, A. (1976). Cariotipo de Drosophila guanch Monclus y Dettopsomyia nigrovittata Malloch.  Bol. R. Soc. Esp. Hist. Nat., Secc. Biol. 74, 215-217., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Drosophila,"Drosophila ""melanissima""",2,2,,1,5,7,V,J,XY,"X is v-shaped, Y is J shaped","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities.Jap J Zool,7, pp.507-555., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sordophila,Drosophila acanthoptera,2,3,,,5,8,V,J,XY,"X is V-shaped, Y is j-shaped","Ward, C.L., 1949. Karyotype variation in Drosophila. Univ. Texas Publ., 4920, pp.70-79., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sordophila,Drosophila acanthoptera,2,2,1,,5,8,V,J,XY,"two pairs of rods, one with a satellite, a small pair of v's, a small J pair, and a very large V-shaped X.  The Y is a large J","Ward, C.L., 1949. Karyotype variation in Drosophila.Univ. Texas Publ.,4920, pp.70-79."
Drosophila,Drosophila,Drosophila acutilabella,1,2,,1,4,6,,,,,"Stalker, H.D., 1953. Taxonomy and hybridization in the cardini group of Drosophila. Annals of the Entomological Society of America, 46(3), pp.343-358., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila acutilabella,1,2,,1,4,6,R,R,XY,,"Futch, D.G., 1962. Hybridization studies within the cardini species group of the genus. In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 539-555"
Drosophila,Hawaiian,Drosophila adiastola,5,,,1,6,6,,,,"Kokee, Kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-53., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-182, Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hawaiian,Drosophila adiastola,5,,,1,6,6,,,,"Bird Park, Hawaii","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-53., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-182, Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Antopocerus,Drosophila adunca,6,,,,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae. Univ. Texas Publ, 6818, pp.263-278., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Drosophila,Drosophila afer,1,2,1,1,5,8,V,J,XY,Should be similar to Affinis,"Tan, C.C., T.C. Hsu, and T.C. Sheng. 1949. Known Drosophila species in China with descriptions of twelve new species. U.T.P.,4920, 196-206., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Hawaiian,Drosophila affinidisjuncta,,3,2,1,6,11,,,,printing eror occurs in Baimai and Ahearn,"Baimai, V. and Ahearn, J.N., 1978. Cytogenetic relationships of Drosophila affinidisjuncta Hardy.American Midland Naturalist, pp.352-360., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Sophophora,Drosophila affinis,1,2,1,1,5,8,V,J,XY,"V-shaped X, Y is j-shaped","Sturtevant, A.H. and Novitski, E., 1941. The homologies of the chromosome elements in the genus Drosophila. Genetics, 26(5), p.517-541., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila affinis,3,1,,1,5,6,,,,,"Metz, C.W., 1916. Chromosome studies on the Diptera. II. The paired association of chromosomes in the Diptera, and its significance. Journal of Experimental Zoology, 21(2), pp.213-279., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila affinis,1,2,1,1,5,8,,,,,"Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila affinis,1,1,2,1,5,8,V,J,XY,"X is v-shaped, Y is J-shaped","Miller, D.D. and Stone, L.E., 1962. Reinvestigation of karyotype in Drosophila affinis Sturtevant and related species. Journal of Heredity, 53(1), pp.12-24., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila affinis,1,2,1,1,5,8,V,J,XY,"V-shaped x, v shaped autosome, j-shaped autosome, a rod and a dot, J shaped Y, 8 euchromatic arms characteristic","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-338"
Drosophila,Hawaiian,Drosophila aglaia,5,,,1,6,6,,,,,"Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila agumbensis,1,2,,1,4,6,R,J,XY,x is a rod; y is j-shaped,"Prakash, H.S. and Reddy, G.S. (1978). Drosophila agumbensis, sp. Nov. from Karnataka, South India (Diptera: Drosophilidae). Orient. Insects 12, 259-263., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Drosophila,Drosophila airzonensis,5,,,1,6,6,R,R,XY,Y is short rod 1/3 length of X,"Patterson, J.T. and Wheeler, M.R., 1942. Description of new species of the subgenera Hirtodrosophila and Drosophila. Univ. Texas Publ. 4213:69-109., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila albirostris,5,,,1,6,6,R,R,XY,"San Salvador, El Salvador","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila albirostris,5,,,1,6,6,R,R,XY,"San Salvador, El Salvador","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila albomicans,1,1,1,,3,5,,,,,"Wilson, F.D., 1969. Cytogenetic relations in the Drosophila nasuta subgroup of the immigrans group of species. Univ. Texas Publ., 6918, pp.207-253., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila albomicans,3,1,,,4,5,,V,XY,"Y is small V, reported as komaii","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Hirtodrosphila,Drosophila alboralis,5,,,1,6,6,,,,Y is shorter than X,"Momma, E., 1954 Drosophila survey of Hokkaido. II. Chromosomes of seven wild species. J. Fac. Sci. Hokkaido Univ. Ser.VI Zool. 12:200-208., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila aldrichi,5,,,1,6,6,R,R,XY,"Y is short rod, 1/3 length of X","Patterson, J.T. and Crow, J.F., 1940. XII. Hybridization in the mulleri group of Drosophila. Univ. Texas Publ, 4032, pp.251-256., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Drosophila,Drosophila aldrichi,5,,,1,6,6,R,R,XY,"longest rod is X, dot-like element is present. Y is shorter than X","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-385"
Drosophila,Drosophila,Drosophila aldrichi,5,,,1,6,6,R,R,XY,,"Wasserman M., 1962. ""Cytological studies of the repleta group of the genus Drosophila"". In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 85-94"
Drosophila,Drosophila,Drosophila aldrichi,5,,,1,6,6,R,R,XY,,"Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
Drosophila,Drosophila,Drosophila aldrichi,5,,,1,6,6,R,R,XY,"X is rod, Y rod is less than a third of the length of the X","Sturtevant, A.H. and Novitski, E., 1941. The homologies of the chromosome elements in the genus Drosophila. Genetics, 26(5), p.517-541., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila alexandrei,3,1,,,4,5,,,,,"Cordeiro, A.R., 1951 Drosophila alexandrei, una nova especie brasileira. Publ. Faculdade Fil. Univ. Rio Grande Sul 3:1-11., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila algonquin,1,1,2,1,5,8,V,J,XY,"V-shaped X, Y is j-shaped","Miller, D.D., 1939. Structure and variation of the chromosomes in Drosophila algonquin. Genetics, 24(5), p.699-708., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
Drosophila,Sophophora,Drosophila algonquin,1,1,2,1,5,8,,,,,"Sturtevant, A.H. and Dobzhansky, T., 1936. Observations on the species related to new forms of Drosophila affinis, with descriptions of seven. The American Naturalist, 70(731), pp.574-584., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila algonquin,1,1,2,1,5,8,,,,Pericentric inversion in V to form J in some,"Miller, D.D. and Stone, L.E., 1962. Reinvestigation of karyotype in Drosophila affinis Sturtevant and related species. Journal of Heredity, 53(1), pp.12-24., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
Drosophila,Sophophora,Drosophila algonquin,1,1,2,1,5,8,V,J,XY,"v shaped x, 2 j shaped autosome, a rod and a dot, J-shaped Y, 8 euchromatic arms characteristic","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-339"
Drosophila,Sophophora,Drosophila alpina,1,2,,,3,5,,,,,"Moriwaki, D., Okada, T., Ohba, S., Shirai, M., Kurokawa, H., Yoshida, Y., Matsudaira, Y., Tsusue, M. and Kitagawa, O. (1956). Studies on population genetics in Drosophila. In: ""Syudan Idengaku"" (T. Komai and K. Sakai, eds.), pp.84-103.  Baifukan, Tokyo., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Hawaiian,Drosophila alsophila,5,,,1,6,6,,,,Metaphase omitted in Clayton and Wheeler 1975,"Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-184., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Drosophila,Drosophila,Drosophila altiplanica,3,1,,1,5,6,,,,"One pair of rods bend in middle giving appears of small V's, dots elongated","Brncic, D. and Koref-Santibaoez, S., 1957. The mesophragmatica group of species of Drosophila. Evolution, pp.300-310., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
