"genes","GOterms"
"tcat16841",146
"tcat10165",55
"tcat1832",138
"tcat17175",97
"tcat5630",81
"tcat14339",12
"tcat2093",82
"tcat4432",49
"tcat11142",118
"tcat6727",71
"tcat2536",83
"tcat17207",137
"tcat1771",32
"tcat7118",92
"tcat10266",55
"tcat16731",122
"tcat5715",13
"tcat3370",147
"tcat9949",107
"tcat13643",133
"tcat6272",55
"tcat18165",63
"tcat18344",36
"tcat2843",61
"tcat1515",73
"tcat13266",44
"tcat349",6
"tcat19091",137
"tcat14007",49
"tcat2931",100
"tcat5424",120
"tcat8881",128
"tcat2287",90
"tcat11690",10
"tcat15210",48
"tcat3839",22
"tcat4486",72
"tcat16739",144
"tcat9196",129
"tcat5753",18
"tcat10189",27
"tcat1847",93
"tcat17927",116
"tcat17543",149
"tcat3081",15
"tcat8757",127
"tcat2564",93
"tcat7529",6
"tcat18366",1
"tcat613",64
"tcat7032",70
"tcat1381",48
"tcat3008",113
"tcat3245",44
"tcat9262",14
"tcat18090",4
"tcat1810",87
"tcat2948",73
"tcat15820",78
"tcat113",118
"tcat561",21
"tcat13417",137
"tcat1799",15
"tcat19212",74
"tcat13854",128
"tcat10878",72
"tcat14386",66
"tcat6468",99
"tcat2687",101
"tcat6108",116
"tcat14480",140
"tcat4941",107
"tcat10450",53
"tcat8970",18
"tcat12871",148
"tcat1523",119
"tcat1923",69
"tcat2938",35
"tcat16388",71
"tcat4497",63
"tcat15666",83
"tcat16274",129
"tcat5441",39
"tcat14542",117
"tcat19941",93
"tcat3266",44
"tcat18681",109
"tcat1577",150
"tcat15703",78
"tcat15702",39
"tcat11637",67
"tcat7438",7
"tcat18071",68
"tcat10308",56
"tcat6497",26
"tcat1754",45
"tcat7783",74
"tcat10936",98
"tcat11901",117
"tcat9219",102
"tcat15479",148
"tcat4711",114
"tcat4479",152
"tcat15376",104
"tcat11179",83
"tcat16435",123
"tcat3683",130
"tcat18829",61
"tcat5373",124
"tcat9670",146
"tcat17843",86
"tcat10562",111
"tcat6128",43
"tcat15266",14
"tcat8868",95
"tcat8980",137
"tcat19465",9
"tcat7566",12
"tcat11122",77
"tcat5681",112
"tcat463",18
"tcat17753",22
"tcat3810",41
"tcat18212",3
"tcat12570",140
"tcat19308",79
"tcat1209",53
"tcat6011",71
"tcat5528",80
"tcat14456",83
"tcat11452",54
"tcat10459",11
"tcat5233",115
"tcat6240",10
"tcat10133",139
"tcat3811",140
"tcat19679",53
"tcat10556",32
"tcat8307",27
"tcat14243",146
"tcat16094",29
"tcat9840",46
"tcat13752",50
"tcat13543",80
"tcat14089",150
"tcat4786",1
"tcat3872",129
"tcat895",34
"tcat3094",129
"tcat13354",75
"tcat999",148
"tcat2203",64
"tcat7718",45
"tcat5100",48
"tcat19857",16
"tcat18749",37
"tcat14930",89
"tcat4235",152
"tcat240",60
"tcat15502",22
"tcat4247",10
"tcat13221",41
"tcat5921",11
"tcat9425",110
"tcat13739",70
"tcat9896",65
"tcat8683",134
"tcat5159",150
"tcat3680",75
"tcat14679",128
"tcat17955",129
"tcat13498",48
"tcat5252",153
"tcat4411",89
"tcat5322",83
"tcat8281",28
"tcat6112",9
"tcat14813",126
"tcat8446",72
"tcat12156",30
"tcat16265",26
"tcat19206",153
"tcat2301",123
"tcat7153",27
"tcat2095",66
"tcat18753",91
"tcat2862",22
"tcat9601",103
"tcat3554",91
"tcat3278",11
"tcat19401",1
"tcat8166",77
"tcat4717",22
"tcat3265",52
"tcat17720",107
"tcat619",112
"tcat2773",64
"tcat9208",121
"tcat4353",129
"tcat12751",109
"tcat8902",99
"tcat2125",45
"tcat17299",132
"tcat2488",130
"tcat10715",59
"tcat14583",40
"tcat8118",119
"tcat7186",127
"tcat15081",80
"tcat4891",104
"tcat4754",115
"tcat18315",69
"tcat14592",100
"tcat17483",135
"tcat12936",104
"tcat5232",96
"tcat9774",36
"tcat15039",84
"tcat19301",99
"tcat14033",60
"tcat7973",137
"tcat16995",20
"tcat18416",24
"tcat14305",94
"tcat7137",77
"tcat2333",24
"tcat1196",87
"tcat2516",98
"tcat4185",103
"tcat3850",153
"tcat19489",31
"tcat2787",3
"tcat19288",125
"tcat15346",118
"tcat13136",76
"tcat5307",113
"tcat2024",139
"tcat1354",139
"tcat12038",93
"tcat15416",36
"tcat12208",136
"tcat17238",14
"tcat11615",66
"tcat14603",46
"tcat12406",76
"tcat19967",84
"tcat11351",54
"tcat10843",4
"tcat11342",7
"tcat17780",142
"tcat9515",111
"tcat12486",106
"tcat15275",64
"tcat532",21
"tcat8611",30
"tcat12581",117
"tcat7174",108
"tcat17811",81
"tcat1634",12
"tcat16898",9
"tcat4374",151
"tcat9739",80
"tcat622",127
"tcat14427",142
"tcat8443",27
"tcat9778",101
"tcat3604",75
"tcat12101",125
"tcat18209",107
"tcat8777",83
"tcat12179",5
"tcat7877",56
"tcat6153",84
"tcat19130",5
"tcat7212",118
"tcat3752",108
"tcat10792",14
"tcat27",112
"tcat14735",28
"tcat9050",95
"tcat14916",101
"tcat11075",1
"tcat12683",137
"tcat16839",29
"tcat12820",135
"tcat10151",80
"tcat16180",117
"tcat983",53
"tcat5003",113
"tcat18365",12
"tcat18844",100
"tcat3581",121
"tcat4264",95
"tcat17721",4
"tcat5466",2
"tcat5112",97
"tcat10603",36
"tcat17215",37
"tcat15318",33
"tcat5919",134
"tcat15807",45
"tcat17184",128
"tcat11367",56
"tcat10022",44
"tcat13814",129
"tcat15988",80
"tcat6840",85
"tcat4331",13
"tcat3632",60
"tcat12088",61
"tcat19637",117
"tcat11603",56
"tcat3037",118
"tcat4149",21
"tcat17924",33
"tcat14992",17
"tcat1223",100
"tcat1026",135
"tcat8752",99
"tcat6715",74
"tcat18984",143
"tcat8251",100
"tcat12702",146
"tcat3837",151
"tcat1200",11
"tcat4",26
"tcat7338",151
"tcat12606",96
"tcat9290",62
"tcat14593",104
"tcat8500",81
"tcat11080",43
"tcat1896",119
"tcat1609",58
"tcat1719",74
"tcat5124",80
"tcat15643",128
"tcat18074",15
"tcat3755",111
"tcat14242",136
"tcat2826",83
"tcat4477",18
"tcat4202",141
"tcat3937",39
"tcat17162",142
"tcat6699",149
"tcat8233",145
"tcat12667",34
"tcat15059",65
"tcat18873",104
"tcat19554",104
"tcat17132",24
"tcat1404",42
"tcat7982",13
"tcat17693",86
"tcat17909",82
"tcat10644",108
"tcat3577",44
"tcat6959",32
"tcat6654",3
"tcat5208",61
"tcat875",18
"tcat10931",17
"tcat16136",149
"tcat16905",136
"tcat3095",128
"tcat2800",27
"tcat2036",58
"tcat17485",6
"tcat16445",45
"tcat4667",55
"tcat3175",145
"tcat3517",35
"tcat19003",118
"tcat2314",93
"tcat4977",122
"tcat19217",19
"tcat2451",123
"tcat7318",93
"tcat8855",142
"tcat9092",78
"tcat7071",120
"tcat19590",101
"tcat11177",62
"tcat494",12
"tcat13671",94
"tcat9737",142
"tcat6905",95
"tcat3747",80
"tcat10118",144
"tcat17038",29
"tcat17796",99
"tcat17331",137
"tcat2635",59
"tcat4861",10
"tcat9604",74
"tcat2312",102
"tcat9864",98
"tcat14514",82
"tcat1182",92
"tcat8420",75
"tcat12901",152
"tcat9255",66
"tcat2117",93
"tcat5366",5
"tcat2428",83
"tcat3384",107
"tcat5803",62
"tcat7150",67
"tcat5140",135
"tcat19664",42
"tcat4150",140
"tcat8993",15
"tcat11663",136
"tcat19892",81
"tcat12607",105
"tcat8139",1
"tcat4438",34
"tcat1794",98
"tcat13000",22
"tcat10847",32
"tcat9635",34
"tcat4987",128
"tcat5529",85
"tcat5063",106
"tcat14237",113
"tcat11250",34
"tcat318",8
"tcat17937",94
"tcat13083",129
"tcat12898",151
"tcat8552",149
"tcat18925",30
"tcat11482",95
"tcat15624",64
"tcat8362",56
"tcat16609",90
"tcat3677",71
"tcat16909",129
"tcat8371",51
"tcat15024",131
"tcat16567",105
"tcat16603",153
"tcat4520",49
"tcat2677",141
"tcat1101",78
"tcat19848",151
"tcat13577",49
"tcat7206",11
"tcat9952",46
"tcat8925",16
"tcat15561",29
"tcat7029",17
"tcat18963",91
"tcat3142",11
"tcat7523",36
"tcat1097",28
"tcat7379",31
"tcat7074",102
"tcat496",33
"tcat8922",94
"tcat13925",122
"tcat12701",24
"tcat16463",1
"tcat12528",40
"tcat5991",88
"tcat5898",104
"tcat11699",22
"tcat2785",153
"tcat9024",8
"tcat18249",90
"tcat12925",88
"tcat3468",86
"tcat3710",73
"tcat10836",72
"tcat19573",28
"tcat10191",143
"tcat15919",118
"tcat316",41
"tcat8687",115
"tcat12173",100
"tcat11019",67
"tcat15278",15
"tcat9423",147
"tcat15608",4
"tcat12125",144
"tcat12632",63
"tcat8572",37
"tcat4093",110
"tcat7983",64
"tcat2283",112
"tcat5912",121
"tcat11136",146
"tcat2307",52
"tcat8201",153
"tcat17660",59
"tcat8221",105
"tcat19293",27
"tcat2145",14
"tcat2734",109
"tcat6532",84
"tcat13167",25
"tcat4869",80
"tcat12193",154
"tcat6415",126
"tcat7724",119
"tcat1439",56
"tcat9025",16
"tcat6371",134
"tcat7483",99
"tcat11120",47
"tcat16563",7
"tcat413",11
"tcat4661",124
"tcat17547",26
"tcat11835",91
"tcat14431",153
"tcat3553",119
"tcat2485",114
"tcat3939",69
"tcat18177",58
"tcat12177",69
"tcat15068",129
"tcat9389",54
"tcat19404",89
"tcat11318",47
"tcat2247",43
"tcat1139",16
"tcat12400",4
"tcat18285",117
"tcat12884",62
"tcat3417",112
"tcat16743",93
"tcat6385",11
"tcat16495",58
"tcat8252",22
"tcat6839",147
"tcat11644",89
"tcat2820",52
"tcat9882",94
"tcat19534",22
"tcat6972",69
"tcat18560",112
"tcat11101",23
"tcat8978",35
"tcat499",61
"tcat15474",138
"tcat2489",136
"tcat19469",1
"tcat10131",106
"tcat16754",65
"tcat16206",126
"tcat14715",47
"tcat9887",109
"tcat2482",18
"tcat18602",144
"tcat16254",111
"tcat15307",106
"tcat7116",65
"tcat13798",34
"tcat13328",93
"tcat2057",85
"tcat6236",133
"tcat17960",71
"tcat5222",21
"tcat12976",77
"tcat8556",64
"tcat12026",33
"tcat17023",136
"tcat13340",116
"tcat4216",34
"tcat19566",54
"tcat6820",79
"tcat18725",57
"tcat4094",88
"tcat18486",111
"tcat14802",117
"tcat11184",8
"tcat16984",42
"tcat17194",60
"tcat15290",31
"tcat19125",62
"tcat1459",105
"tcat8791",56
"tcat8102",135
"tcat15245",6
"tcat14074",53
"tcat8159",142
"tcat1225",41
"tcat9003",75
"tcat5036",30
"tcat8354",10
"tcat9287",139
"tcat13647",44
"tcat3723",124
"tcat11186",63
"tcat17945",144
"tcat6118",143
"tcat7139",60
"tcat9472",27
"tcat3311",109
"tcat17754",140
"tcat17003",146
"tcat16734",98
"tcat734",145
"tcat6984",78
"tcat14134",40
"tcat2607",18
"tcat13128",125
"tcat4326",143
"tcat13527",10
"tcat3834",120
"tcat12733",58
"tcat18726",44
"tcat5811",65
"tcat3938",6
"tcat19780",91
"tcat9775",153
"tcat1086",152
"tcat9884",78
"tcat556",41
"tcat11480",83
"tcat7731",116
"tcat3178",77
"tcat18327",95
"tcat11566",72
"tcat15177",8
"tcat16795",114
"tcat997",103
"tcat5350",44
"tcat16796",53
"tcat3045",9
"tcat19147",24
"tcat5099",39
"tcat18382",35
"tcat10342",85
"tcat15134",61
"tcat10654",118
"tcat5709",111
"tcat77",53
"tcat3381",140
"tcat19956",23
"tcat13542",58
"tcat1058",3
"tcat11123",12
"tcat14483",17
"tcat16139",120
"tcat19464",42
"tcat17499",102
"tcat3260",38
"tcat7881",55
"tcat18881",39
"tcat17886",12
"tcat2716",140
"tcat18485",154
"tcat13389",6
"tcat7085",29
"tcat1040",97
"tcat15897",71
"tcat5230",52
"tcat19815",113
"tcat17412",147
"tcat4484",70
"tcat12355",131
"tcat13890",101
"tcat4265",99
"tcat4590",23
"tcat10434",29
"tcat15730",27
"tcat15559",72
"tcat7565",126
"tcat16105",29
"tcat12577",7
"tcat6010",137
"tcat9899",144
"tcat15534",112
"tcat3746",97
"tcat1635",69
"tcat17995",143
"tcat19578",100
"tcat1466",130
"tcat8356",7
"tcat13251",77
"tcat10924",8
"tcat58",75
"tcat3149",108
"tcat9152",115
"tcat18791",36
"tcat12836",62
"tcat237",88
"tcat19223",31
"tcat11959",27
"tcat6830",146
"tcat17459",85
"tcat8785",111
"tcat675",12
"tcat3146",3
"tcat2358",52
"tcat19869",100
"tcat2102",142
"tcat15463",53
"tcat5397",97
"tcat10581",135
"tcat7882",34
"tcat14927",59
"tcat8769",151
"tcat18682",43
"tcat2426",136
"tcat7564",145
"tcat16456",145
"tcat16021",136
"tcat5245",5
"tcat19490",56
"tcat2487",137
"tcat5113",20
"tcat11954",72
"tcat16892",150
"tcat18671",105
"tcat12055",95
"tcat18927",106
"tcat5241",110
"tcat506",35
"tcat19621",99
"tcat13809",3
"tcat15404",99
"tcat16546",142
"tcat3685",54
"tcat3977",90
"tcat19880",19
"tcat4637",37
"tcat6964",18
"tcat4329",26
"tcat6752",92
"tcat15760",153
"tcat5695",122
"tcat5758",129
"tcat756",117
"tcat19276",24
"tcat11635",130
"tcat17837",90
"tcat12910",151
"tcat14408",8
"tcat3101",108
"tcat16874",98
"tcat11945",18
"tcat19681",68
"tcat14139",15
"tcat18653",67
"tcat467",30
"tcat9894",17
"tcat4465",69
"tcat5425",24
"tcat9853",72
"tcat9649",57
"tcat12035",42
"tcat8705",14
"tcat12921",41
"tcat9433",126
"tcat17847",129
"tcat16058",45
"tcat19947",93
"tcat3863",69
"tcat3140",131
"tcat7464",117
"tcat13151",117
"tcat4318",102
"tcat5869",132
"tcat3235",3
"tcat1449",26
"tcat4910",103
"tcat7660",112
"tcat15515",111
"tcat18878",39
"tcat9357",6
"tcat9411",103
"tcat3772",145
"tcat9397",45
"tcat3113",113
"tcat19964",51
"tcat17581",45
"tcat16614",42
"tcat17427",118
"tcat1198",112
"tcat13285",51
"tcat14761",45
"tcat7064",145
"tcat19588",20
"tcat6993",87
"tcat958",70
"tcat11025",55
"tcat4164",111
"tcat5352",7
"tcat17682",7
"tcat7934",152
"tcat4606",38
"tcat10567",46
"tcat8478",27
"tcat10788",149
"tcat364",64
"tcat1881",40
"tcat15995",17
"tcat896",142
"tcat1645",24
"tcat6649",105
"tcat882",28
"tcat10685",131
"tcat16849",99
"tcat9217",58
"tcat18477",150
"tcat6205",145
"tcat14758",151
"tcat13661",60
"tcat8956",28
"tcat8646",107
"tcat6323",96
"tcat3717",4
"tcat3708",112
"tcat17797",111
"tcat10935",105
"tcat291",50
"tcat14083",57
"tcat15963",36
"tcat12944",46
"tcat17384",87
"tcat17849",99
"tcat11263",143
"tcat4119",110
"tcat1448",132
"tcat2182",22
"tcat3881",118
"tcat19159",4
"tcat4855",114
"tcat536",7
"tcat18302",149
"tcat16960",127
"tcat10115",29
"tcat18284",41
"tcat15103",14
"tcat4763",34
"tcat6058",122
"tcat17652",51
"tcat19670",2
"tcat12759",17
"tcat19140",62
"tcat10830",127
"tcat4404",72
"tcat14200",21
"tcat7039",119
"tcat1963",12
"tcat16687",93
"tcat10350",120
"tcat14163",144
"tcat10065",40
"tcat10967",101
"tcat17059",98
"tcat6465",79
"tcat15613",63
"tcat17745",147
"tcat9627",130
"tcat2922",99
"tcat17734",65
"tcat1663",154
"tcat1816",70
"tcat7824",83
"tcat7713",38
"tcat8633",108
"tcat2537",11
"tcat4532",151
"tcat4574",135
"tcat11032",106
"tcat12963",97
"tcat15292",20
"tcat10979",140
"tcat1210",91
"tcat6405",36
"tcat18624",27
"tcat5000",153
"tcat9931",46
"tcat17140",85
"tcat1666",111
"tcat16050",4
"tcat16822",92
"tcat12518",85
"tcat7194",154
"tcat4237",109
"tcat17419",76
"tcat7717",139
"tcat10451",63
"tcat19732",65
"tcat14797",28
"tcat16211",138
"tcat10734",131
"tcat8731",44
"tcat18341",64
"tcat1844",71
"tcat5039",30
"tcat2459",26
"tcat12949",136
"tcat6471",22
"tcat3757",3
"tcat13464",144
"tcat7938",67
"tcat7690",32
"tcat11874",136
"tcat3349",102
"tcat16792",11
"tcat9342",6
"tcat3068",102
"tcat9758",131
"tcat6308",9
"tcat2658",53
"tcat5340",88
"tcat7452",81
"tcat14042",27
"tcat5331",44
"tcat18451",1
"tcat11936",81
"tcat15464",50
"tcat19053",82
"tcat8598",3
"tcat1902",146
"tcat332",7
"tcat10109",14
"tcat9609",25
"tcat6554",112
"tcat12774",146
"tcat16578",144
"tcat10528",9
"tcat15038",14
"tcat810",47
"tcat7854",141
"tcat5401",145
"tcat317",122
"tcat16665",104
"tcat11066",70
"tcat16390",74
"tcat5148",56
"tcat13092",114
"tcat1850",58
"tcat14278",52
"tcat9021",6
"tcat14610",8
"tcat2447",62
"tcat18255",13
"tcat13289",16
"tcat15029",104
"tcat13067",153
"tcat15361",10
"tcat9854",119
"tcat5787",149
"tcat15992",75
"tcat16500",63
"tcat9203",134
"tcat103",44
"tcat18429",96
"tcat15001",96
"tcat5564",55
"tcat5412",2
"tcat18414",115
"tcat2239",124
"tcat5963",45
"tcat17588",112
"tcat11084",6
"tcat9745",106
"tcat9602",63
"tcat19962",62
"tcat9794",59
"tcat16405",121
"tcat8124",8
"tcat14786",51
"tcat7317",29
"tcat9089",3
"tcat1898",5
"tcat19071",15
"tcat7218",55
"tcat2299",35
"tcat14694",146
"tcat6050",19
"tcat3639",127
"tcat13939",8
"tcat7053",90
"tcat11535",21
"tcat15483",90
"tcat783",136
"tcat13243",6
"tcat800",26
"tcat5918",99
"tcat12991",74
"tcat5484",132
"tcat3595",108
"tcat1540",133
"tcat8253",15
"tcat18354",124
"tcat18381",92
"tcat15450",31
"tcat5160",77
"tcat19094",89
"tcat14266",95
"tcat8008",137
"tcat9285",5
"tcat4370",69
"tcat538",118
"tcat342",73
"tcat14038",94
"tcat16305",2
"tcat4170",94
"tcat2289",87
"tcat2381",98
"tcat4851",123
"tcat3964",77
"tcat12346",16
"tcat10408",76
"tcat11986",151
"tcat14468",8
"tcat7635",48
"tcat1236",148
"tcat6083",56
"tcat6898",72
"tcat6178",75
"tcat16157",29
"tcat5548",90
"tcat9193",22
"tcat1706",116
"tcat18241",112
"tcat10816",46
"tcat9402",85
"tcat1213",100
"tcat7373",96
"tcat15806",48
"tcat4825",23
"tcat15576",37
"tcat4952",77
"tcat19734",12
"tcat19945",37
"tcat16903",77
"tcat2223",111
"tcat6692",103
"tcat5464",20
"tcat16863",71
"tcat12318",147
"tcat13449",88
"tcat13276",76
"tcat1919",25
"tcat1689",84
"tcat1233",16
"tcat4283",127
"tcat19533",36
"tcat9704",41
"tcat159",96
"tcat15707",140
"tcat3307",11
"tcat201",28
"tcat15737",107
"tcat11953",55
"tcat2757",77
"tcat18868",147
"tcat16691",66
"tcat6858",64
"tcat12405",39
"tcat8811",124
"tcat9781",141
"tcat8074",110
"tcat17530",77
"tcat7428",80
"tcat9138",28
"tcat10393",11
"tcat558",98
"tcat7450",93
"tcat9385",128
"tcat15792",139
"tcat7252",32
"tcat17893",127
"tcat17276",103
"tcat19369",90
"tcat14525",92
"tcat8345",38
"tcat16186",134
"tcat2130",122
"tcat18719",114
"tcat8700",65
"tcat18037",148
"tcat6217",71
"tcat13290",126
"tcat12116",99
"tcat17362",34
"tcat16085",30
"tcat7112",86
"tcat5079",135
"tcat10230",39
"tcat13600",131
"tcat1085",150
"tcat1829",102
"tcat18083",22
"tcat4742",1
"tcat6413",49
"tcat8671",98
"tcat8831",74
"tcat455",38
"tcat12145",96
"tcat6069",98
"tcat18837",117
"tcat8781",1
"tcat7070",64
"tcat12469",108
"tcat3159",136
"tcat1507",67
"tcat15618",28
"tcat1972",17
"tcat5899",7
"tcat15776",37
"tcat12498",27
"tcat9028",77
"tcat1491",5
"tcat8373",133
"tcat1018",146
"tcat12466",150
"tcat12926",65
"tcat17942",26
"tcat6656",142
"tcat11748",121
"tcat9309",154
"tcat16773",146
"tcat3760",134
"tcat6990",115
"tcat15045",38
"tcat19806",105
"tcat12837",16
"tcat17675",134
"tcat19630",148
"tcat5865",99
"tcat13962",99
"tcat12134",123
"tcat4214",78
"tcat13033",31
"tcat6606",23
"tcat16948",22
"tcat8765",80
"tcat9081",129
"tcat19118",123
"tcat2153",81
"tcat12211",87
"tcat10980",15
"tcat19025",37
"tcat520",40
"tcat3989",121
"tcat6961",105
"tcat18233",147
"tcat4376",143
"tcat5380",127
"tcat2552",64
"tcat4047",44
"tcat17158",120
"tcat11028",69
"tcat8418",106
"tcat6848",116
"tcat9972",34
"tcat3205",84
"tcat10521",118
"tcat7720",47
"tcat6275",83
"tcat1745",74
"tcat8534",90
"tcat5903",35
"tcat5968",1
"tcat9263",125
"tcat16109",97
"tcat7820",67
"tcat14853",117
"tcat14233",11
"tcat8888",41
"tcat6750",42
"tcat11333",140
"tcat4887",52
"tcat19685",64
"tcat9159",54
"tcat13235",148
"tcat10400",87
"tcat14446",93
"tcat6046",33
"tcat10368",47
"tcat15092",121
"tcat4463",62
"tcat15855",95
"tcat708",6
"tcat390",133
"tcat5420",149
"tcat12164",35
"tcat5726",152
"tcat11392",5
"tcat5087",99
"tcat5379",76
"tcat6991",57
"tcat19902",40
"tcat9271",35
"tcat12617",23
"tcat10353",109
"tcat5720",78
"tcat8974",22
"tcat18902",89
"tcat16941",142
"tcat16187",46
"tcat3358",119
"tcat12869",88
"tcat6775",45
"tcat6798",121
"tcat12500",126
"tcat2360",74
"tcat1419",48
"tcat3106",97
"tcat8136",95
"tcat6147",90
"tcat8520",38
"tcat9446",89
"tcat13903",55
"tcat11910",127
"tcat8055",116
"tcat12410",69
"tcat19269",84
"tcat14616",34
"tcat3413",61
"tcat9455",78
"tcat17563",150
"tcat9712",94
"tcat18151",2
"tcat7697",99
"tcat5734",90
"tcat888",82
"tcat8053",55
"tcat18030",58
"tcat365",154
"tcat11845",61
"tcat15219",80
"tcat18187",22
"tcat4691",12
"tcat19740",66
"tcat11029",31
"tcat12499",124
"tcat1417",141
"tcat18243",119
"tcat7160",103
"tcat13467",37
"tcat3360",48
"tcat17810",94
"tcat2636",137
"tcat14086",14
"tcat19849",3
"tcat4702",106
"tcat14010",8
"tcat8018",21
"tcat15505",150
"tcat12356",92
"tcat14505",2
"tcat9909",102
"tcat18566",148
"tcat9888",53
"tcat369",66
"tcat13595",130
"tcat286",9
"tcat6790",6
"tcat19618",122
"tcat5838",36
"tcat5300",131
"tcat8304",66
"tcat4660",28
"tcat12942",54
"tcat11189",31
"tcat3527",48
"tcat17036",3
"tcat15257",149
"tcat2685",62
"tcat13241",97
"tcat13842",103
"tcat16871",36
"tcat6440",86
"tcat18059",77
"tcat15859",6
"tcat8081",67
"tcat17571",72
"tcat16827",23
"tcat13323",10
"tcat16559",99
"tcat8054",16
"tcat14295",132
"tcat15190",138
"tcat5925",125
"tcat2674",51
"tcat3186",3
"tcat7441",67
"tcat5833",42
"tcat18103",142
"tcat13069",27
"tcat4500",36
"tcat11565",60
"tcat223",137
"tcat1956",96
"tcat10886",138
"tcat19400",95
"tcat19837",73
"tcat7825",117
"tcat6703",139
"tcat3133",125
"tcat17366",30
"tcat1880",118
"tcat10904",53
"tcat5336",101
"tcat14849",37
"tcat10887",41
"tcat5229",78
"tcat6802",87
"tcat4905",2
"tcat14662",79
"tcat19634",95
"tcat3979",14
"tcat14870",17
"tcat10897",87
"tcat11037",102
"tcat12981",93
"tcat49",130
"tcat12698",66
"tcat11950",117
"tcat10295",144
"tcat14981",95
"tcat11439",62
"tcat10481",25
"tcat15724",40
"tcat18108",45
"tcat5285",29
"tcat2026",131
