Order,Family,Genus,Species,femalediploidnumber,sexchromosome
Orthoptera,Acrididae,Belosacris,Belosacris coccineipes,24,XO
Orthoptera,Acrididae,Bucephalacris,Bucephalacris bohlsii,22,XO
Orthoptera,Acrididae,Carbonellacris,Carbonellacris grossa,24,XO
Orthoptera,Acrididae,Chlorus,Chlorus bolivianus,20,XO
Orthoptera,Acrididae,Chlorus,Chlorus borrelli,22,XO
Orthoptera,Acrididae,Chlorus,Chlorus sp. 1,20,XO
Orthoptera,Acrididae,Chlorus,Chlorus vittatus,24,XO
Orthoptera,Acrididae,Cocytolettix,Cocytolettix argentina,24,XO
Orthoptera,Acrididae,Cocytolettix,Cocytolettix intermedia,24,XO
Orthoptera,Acrididae,Cocytolettix,Cocytolettix pulchripennis,24,XO
Orthoptera,Acrididae,Cocytolettix,Cocytolettix sp. 1,24,XO
Orthoptera,Acrididae,Cornops,Cornops aquaticum,24,XO
Orthoptera,Acrididae,Cornops,Cornops frenatum,24,XO
Orthoptera,Acrididae,Covasacris,Covasacris sp.,24,XO
Orthoptera,Acrididae,Dichromorpha,Dichromorpha australis,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus alejomesai,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus auriventris,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus bergi,22,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus conspersus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus democraticus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus dubius,22,XXY
Orthoptera,Acrididae,Dichroplus,Dichroplus elongatus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus exilis,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus fuscus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus fuscus.2,20,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus maculipennis,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus mantiqueirae,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus misionensis,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus obsurus,18,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus paraelongatus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus paraguayensis,20,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus patruelis,22,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus piceomaculatus,22,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus porteri,22,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus pratensis,20,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus pseudopunctulatus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus punctulatus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus robustulus,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus robustus,22,XXY
Orthoptera,Acrididae,Dichroplus,Dichroplus schulzi,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus silveiraguidoi,8,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 11,24,XO
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 12,20,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 13,20,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 14,22,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 15,20,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 16,22,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus vittatus,20,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus vittatus.2,18,XY
Orthoptera,Acrididae,Dichroplus,Dichroplus vittigerum,18,XY
Orthoptera,Acrididae,Eucephalacris,Eucephalacris borellii,24,XO
Orthoptera,Acrididae,Eujivarus,Eujivarus fusiformis,22,XO
Orthoptera,Acrididae,Eujivarus,Eujivarus sp. A,22,XO
Orthoptera,Acrididae,Eujivarus,Eujivarus sp. B,22,XO
Orthoptera,Acrididae,Eujivarus,Eujivarus sp. C,22,XO
Orthoptera,Acrididae,Eujivarus,Eujivarus vittatus,24,XO
Orthoptera,Acrididae,Eulampiacris,Eulampiacris leucoptera,24,XO
Orthoptera,Acrididae,Euplectrotettix,Euplectrotettix sp. 1,24,XO
Orthoptera,Acrididae,Euplectrotettix,Euplectrotettix sp. 2,24,XO
Orthoptera,Acrididae,Euplectrotettix,Euplectrotettix sp. 3,24,XO
Orthoptera,Acrididae,Eurotettix,Eurotettix lilloanus,22,XXY
Orthoptera,Acrididae,Eurotettix,Eurotettix minor,22,XY
Orthoptera,Acrididae,Eurotettix,Eurotettix schrottkyi,22,XXY
Orthoptera,Acrididae,Eurotettix,Eurotettix sp. 1,22,XXY
Orthoptera,Acrididae,Eurotettix,Eurotettix sp. 2,22,XXY
Orthoptera,Acrididae,Eusitalces,Eusitalces sp. A,24,XO
Orthoptera,Acrididae,Eusitalces,Eusitalces vulneratus,24,XO
Orthoptera,Acrididae,Eutryxalis,Eutryxalis sp.,24,XO
Orthoptera,Acrididae,Fenestra,Fenestra bohlsii,24,XO
Orthoptera,Acrididae,Haroldgrantia,Haroldgrantia lignosa,24,XO
Orthoptera,Acrididae,Hyalopteryx,Hyalopteryx rufipennis,24,XO
Orthoptera,Acrididae,Isonyx,Isonyx paragauyensis,24,XO
Orthoptera,Acrididae,Isonyx,Isonyx sp. 1,24,XO
Orthoptera,Acrididae,Jodacris,Jodacris chapadensis,20,XO
Orthoptera,Acrididae,Jodacris,Jodacris ferrugineus,20,XO
Orthoptera,Acrididae,Jodacris,Jodacris furcillata,20,XO
Orthoptera,Acrididae,Lamiacris,Lamiacris migroguttata,24,XO
Orthoptera,Acrididae,Laplatacris,Laplatacris dispar,24,XO
Orthoptera,Acrididae,Laplatacris,Laplatacris sp. 1,24,XO
Orthoptera,Acrididae,Leiotettix,Leiotettix flavipes,22,XY
Orthoptera,Acrididae,Leiotettix,Leiotettix politus.2,14,XXY
Orthoptera,Acrididae,Leiotettix,Leiotettix pulcher,22,XY
Orthoptera,Acrididae,Leiotettix,Leiotettix sanguineus,24,XO
Orthoptera,Acrididae,Leiotettix,Leiotettix sp. 1,16,XXY
Orthoptera,Acrididae,Leiotettix,Leiotettix sp. 2,18,XY
Orthoptera,Acrididae,Leiotettix,Leiotettix sp. 3,24,XO
Orthoptera,Acrididae,Leiotettix,Leiotettix viridis,24,XO
Orthoptera,Acrididae,Leptysma,Leptysma dorsalis,24,XO
Orthoptera,Acrididae,Leptysmina,Leptysmina pallida,24,XO
Orthoptera,Acrididae,Leptysmina,Leptysmina sp. 1,24,XO
Orthoptera,Acrididae,Machaeropeles,Machaeropeles rostratum,24,XO
Orthoptera,Acrididae,Mastusia,Mastusia quadricarinata,24,XO
Orthoptera,Acrididae,Meloscirtus,Meloscirtus montanus,24,XO
Orthoptera,Acrididae,Meloscirtus,Meloscirtus sp. 1,24,XO
Orthoptera,Acrididae,Metaleptea,Metaleptea brevicornis adspersa,24,XO
Orthoptera,Acrididae,Nahuelia,Nahuelia rubriventris,24,XO
Orthoptera,Acrididae,Neopedies,Neopedies brunneri,24,XO
Orthoptera,Acrididae,Neopedies,Neopedies sp. 1,24,XO
Orthoptera,Acrididae,Neopedies,Neopedies sp. 2,24,XO
Orthoptera,Acrididae,Neopedies,Neopedies sp. 3,24,XO
Orthoptera,Acrididae,Neopedies,Neopedies sp. 4,24,XO
Orthoptera,Acrididae,Notopomala,Notopomala glaucipes,24,XO
Orthoptera,Acrididae,Omalotettix,Omalotettix obliquum,22,XO
Orthoptera,Acrididae,Ommatolampis,Ommatolampis perspicillata,24,XO
Orthoptera,Acrididae,Orphula,Orphula sp.,24,XO
Orthoptera,Acrididae,Orphulella,Orphulella concinnula,24,XO
Orthoptera,Acrididae,Orphulella,Orphulella punctata,24,XO
Orthoptera,Acrididae,Orphulella,Orphulella sp.,24,XO
Orthoptera,Acrididae,Orphulina,Orphulina pulchella,24,XO
Orthoptera,Acrididae,Osmilia,Osmilia flavolineata,24,XO
Orthoptera,Acrididae,Oxyblepta,Oxyblepta sp.,24,XO
Orthoptera,Acrididae,Oxybleptella,Oxybleptella sagitta,24,XO
Orthoptera,Acrididae,Paraorphula,Paraorphula graminea,24,XO
Orthoptera,Acrididae,Parapellopedon,Parapellopedon instabilis,24,XO
Orthoptera,Acrididae,Parapellopedon,Parapellopedon sp.,24,XO
Orthoptera,Acrididae,Parascopas,Parascopas exertus,22,XO
Orthoptera,Acrididae,Parascopas,Parascopas obesus,24,XO
Orthoptera,Acrididae,Parascopas,Parascopas sanguineus,24,XO
Orthoptera,Acrididae,Parascopas,Parascopas similis,24,XO
Orthoptera,Acrididae,Paropaon,Paropaon laevifrons,24,XO
Orthoptera,Acrididae,Paropaon,Paropaon pilosus tingomariae,24,XO
Orthoptera,Acrididae,Pedies,Pedies andeanus,22,XO
Orthoptera,Acrididae,Pedies,Pedies sp. 1,22,XO
Orthoptera,Acrididae,Pedies,Pedies sp. 2,22,XO
Orthoptera,Acrididae,Pedies,Pedies sp. 3,22,XO
Orthoptera,Acrididae,Pedies,Pedies sp. 4,24,XO
Orthoptera,Acrididae,Propedies,Propedies bilobus,24,XO
Orthoptera,Acrididae,Propedies,Propedies bipunctatus,24,XO
Orthoptera,Acrididae,Propedies,Propedies fusiformis,24,XO
Orthoptera,Acrididae,Propedies,Propedies olivaceus,24,XO
Orthoptera,Acrididae,Propedies,Propedies sanguineus,24,XO
Orthoptera,Acrididae,Propedies,Propedies sp. 1,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas nigrigena,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 1,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 2,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 3,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 4,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 5,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 6,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 7,24,XO
Orthoptera,Acrididae,Pseudoscopas,Pseudoscopas sp. 8,24,XO
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus bolivianus,24,XO
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus olivaceus,24,XO
Orthoptera,Acrididae,Psiloscirtus,Psiloscirtus sp. A,24,XO
Orthoptera,Acrididae,Pycnosarcus,Pycnosarcus atavus,18,XO
Orthoptera,Acrididae,Schistocerca,Schistocerca cancellata,24,XO
Orthoptera,Acrididae,Schistocerca,Schistocerca flavofasciata,24,XO
Orthoptera,Acrididae,Schistocerca,Schistocerca pallens,24,XO
Orthoptera,Acrididae,Schistocerca,Schistocerca paraensis,24,XO
Orthoptera,Acrididae,Schistocerca,Schistocerca sp.,24,XO
Orthoptera,Acrididae,Scotussa,Scotussa cliens,22,XO
Orthoptera,Acrididae,Scotussa,Scotussa delicatula,16,XY
Orthoptera,Acrididae,Scotussa,Scotussa impudica,24,XO
Orthoptera,Acrididae,Scotussa,Scotussa lemniscata,24,XO
Orthoptera,Acrididae,Scotussa,Scotussa liebermanni,22,XO
Orthoptera,Acrididae,Scotussa,Scotussa sp. 1,24,XO
Orthoptera,Acrididae,Scyllina,Scyllina humilis,24,XO
Orthoptera,Acrididae,Scyllina,Scyllina signatipennis,22,XY
Orthoptera,Acrididae,Scyllina,Scyllina sp.,24,XO
Orthoptera,Acrididae,Scyllinops,Scyllinops brunneri,24,XO
Orthoptera,Acrididae,Scyllinops,Scyllinops pallida,24,XO
Orthoptera,Acrididae,Scyllinops,Scyllinops sp. 1,24,XO
Orthoptera,Acrididae,Scyllinops,Scyllinops sp. 2,24,XO
Orthoptera,Acrididae,Silvitettix,Silvitettix concolor,24,XO
Orthoptera,Acrididae,Sinipta,Sinipta acuta,24,XO
Orthoptera,Acrididae,Sinipta,Sinipta dalmani,24,XO
Orthoptera,Acrididae,Sinipta,Sinipta maldonadoi,24,XO
Orthoptera,Acrididae,Sitalces,Sitalces dorsalis,24,XO
Orthoptera,Acrididae,Sitalces,Sitalces infuscatus,24,XO
Orthoptera,Acrididae,Sitalces,Sitalces volxemi,20,XO
Orthoptera,Acrididae,Staurorhectus,Staurorhectus longicornis,24,XO
Orthoptera,Acrididae,Stenopola,Stenopola bohlsii,24,XO
Orthoptera,Acrididae,Stenopola,Stenopola boliviana,24,XO
Orthoptera,Acrididae,Stenopola,Stenopola dorsalis,24,XO
Orthoptera,Acrididae,Stenopola,Stenopola pallida,22,XO
Orthoptera,Acrididae,Stenopola,Stenopola rubrifons,24,XO
Orthoptera,Acrididae,Stereotettix,Stereotettix sp. 1,24,XO
Orthoptera,Acrididae,Tetrataenia,Tetrataenia surinama,20,XO
Orthoptera,Acrididae,Trimerotropis,Trimerotropis ochraceipennis,24,XO
Orthoptera,Acrididae,Trimerotropis,Trimerotropis pallidipennis,24,XO
Orthoptera,Acrididae,Xiphiola,Xiphiola borellii,24,XO
Orthoptera,Acrididae,Zygoclistron,Zygoclistron falconinum,20,XY
Orthoptera,Acrididae,Zygoclistron,Zygoclistron nasicum,20,XY
Orthoptera,Acrididae,Zygoclistron,Zygoclistron trachystictum,20,XY
Orthoptera,Ommexechidae,Aucacris,Aucacris bullocki,24,XO
Orthoptera,Ommexechidae,Calcitrena,Calcitrena maculosa,24,XO
Orthoptera,Ommexechidae,Clarazella,Clarazella bimaculata,24,XO
Orthoptera,Ommexechidae,Clarazella,Clarazella patagona,24,XO
Orthoptera,Ommexechidae,Conometopus,Conometopus sulcaticollis,26,XO
Orthoptera,Ommexechidae,Cumainocloidus,Cumainocloidus cordillerae,24,XO
Orthoptera,Ommexechidae,Descampsacris,Descampsacris serrulata,24,XO
Orthoptera,Ommexechidae,Graea,Graea horrida,24,XO
Orthoptera,Ommexechidae,Neuquina,Neuquina fictor,22,XY
Orthoptera,Ommexechidae,Ommexecha,Ommexecha sp.,24,XO
Orthoptera,Ommexechidae,Ommexecha,Ommexecha virens,24,XO
Orthoptera,Ommexechidae,Ommexechia,Ommexechia germari,22,XO
Orthoptera,Ommexechidae,Pachyosa,Pachyosa signata,22,XY
Orthoptera,Ommexechidae,Spathalium,Spathalium audouini,22,XY
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus chilensis,24,XO
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus micropterus,24,XO
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus sergioi,24,XO
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus sp.,24,XO
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus willemsei,22,XY
Orthoptera,Pauliniidae,Marellia,Marellia remipes,24,XO
Orthoptera,Pauliniidae,Paulinia,Paulinia acuminata,24,XO
Orthoptera,Pyrgomorphidae,Omura,Omura congrua,20,XO
Orthoptera,Romaleidae,Alcamenes,Alcamenes clarazianus,24,XO
Orthoptera,Romaleidae,Antandrus,Antandrus viridus,24,XO
Orthoptera,Romaleidae,Chariacris,Chariacris miniacea,24,XO
Orthoptera,Romaleidae,Chromacris,Chromacris miles,24,XO
Orthoptera,Romaleidae,Chromacris,Chromacris peruviana,24,XO
Orthoptera,Romaleidae,Chromacris,Chromacris speciosa,24,XO
Orthoptera,Romaleidae,Coryacris,Coryacris angustipennis,24,XO
Orthoptera,Romaleidae,Diponthus,Diponthus clarazianus,24,XO
Orthoptera,Romaleidae,Diponthus,Diponthus communis,22,XY
Orthoptera,Romaleidae,Diponthus,Diponthus dispar,22,XO
Orthoptera,Romaleidae,Diponthus,Diponthus electus,22,XO
Orthoptera,Romaleidae,Diponthus,Diponthus maculiferus,22,XO
Orthoptera,Romaleidae,Diponthus,Diponthus prope communis,24,XO
Orthoptera,Romaleidae,Diponthus,Diponthus sp.,24,XO
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora basalis,24,XO
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora brachyptera,24,XO
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora sp.,24,XO
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora trilineata,24,XO
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora viridicata,24,XO
Orthoptera,Romaleidae,Eutropidacris,Eutropidacris collares,24,XO
Orthoptera,Romaleidae,Prionolopha,Prionolopha serrata,24,XO
Orthoptera,Romaleidae,Procolpia,Procolpia minor,24,XO
Orthoptera,Romaleidae,Securigera,Securigera acutangula,24,XO
Orthoptera,Romaleidae,Xestotrachelus,Xestotrachelus robustus,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus attenuatus,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus discoideus,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus gracilis,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus insignis,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus laevipes,22,XY
Orthoptera,Romaleidae,Xyleus,Xyleus modestus,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus sp. 1,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus sp. 2,24,XO
Orthoptera,Romaleidae,Xyleus,Xyleus sp. 3,24,XO
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda hempeli,24,XO
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda iheringi,22,XY
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda juncorum,24,XO
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda omnicolor,24,XO
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda similis,24,XO
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda tarsata,24,XO
Orthoptera,Tristiridae,Atacamacris,Atacamacris diminuta,10,XY
Orthoptera,Tristiridae,Elysiacris,Elysiacris angusticollis,22,XO
Orthoptera,Tristiridae,Illapelia,Illapelia penai,24,XO
Orthoptera,Tristiridae,Peplacris,Peplacris recutita,22,XO
Orthoptera,Tristiridae,Tropidostethus,Tropidostethus bicarinatus,22,XO
Orthoptera,Acrididae,Chirista,Chirista compta,24,XO
Orthoptera,Acrididae,Coryphosima,Coryphosima stenoptera,24,XO
Orthoptera,Tettigoniidae,Isophya,Isophya altaica,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya andreevae,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya bureschi,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya camptoxypha,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya gulae,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya hemiptera,30,XY
Orthoptera,Tettigoniidae,Isophya,Isophya hospodat,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya kalishevskii,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya kisi,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya krausii,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya miksici,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya modesta longicaudata,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya modestior,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya obtusa,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya petkovi,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya pienensis,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya plevnensis,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya pravdini adamovici,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya pravdini pravdini,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya rammei,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya rectipennis,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya rhodopensis,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya schneideri,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya speciosa,32,XO
Orthoptera,Tettigoniidae,Isophya,Isophya tosevski,32,XO
Orthoptera,Phalangopsidae,Endecous,Endecous alejomesai,22,XO
Orthoptera,Phalangopsidae,Endecous,Endecous batariensis,22,XO
Orthoptera,Phalangopsidae,Endecous,Endecous cavernicolus,22,XO
Orthoptera,Phalangopsidae,Endecous,Endecous itatibensis,20,XO
Orthoptera,Phalangopsidae,Endecous,Endecous onthophagus,20,XO
