ID,Specimen,Field Number,country,State,Speciesb,COLOR,Sex,SVL,TL,RTL,V,SC,NBB,ABW,MBW,PBW,AIB,MIB,PIB,AWR,MWR,PWR,ASR,MSR,PSR,RSL,LSL,RIL,LIL,RPRO,LPRO,RPOC,LPOC,SBP,ED,HL,HW
15,UTA 53970,,Mexico,Quintana Roo,IG,blue,M,522,766,0.319,242,142,49,12,14,8,3,4,6,1.25,1.08,0.957,17,17,15,8,8,11,11,2,1,2,2,7,2.9,10.47,6.81
21,UTA 3074,,Mexico,Tamaulipas,IG,blue,M,427,625,0.317,214,129,49,9,8,6,7,6,4,1.294,1.364,0.957,17,17,17,9,9,11,11,1,1,2,2,7,2.3,10.55,8.34
22,UTA 3014,,Mexico,Veracruz,IG,blue,M,406,572,0.29,219,114,39,9,10,7,8,6,7,1.75,1.304,1.2,17,17,15,8,8,10,10,1,1,2,2,10,2.5,10.31,7.58
23,UTA 6865,,Guatemala,,IG,blue,M,527,738,0.286,220,118,55,8,7,6,3,5,5,1.333,1.167,1.207,17,17,17,8,8,11,10,1,1,3,2,9,2.4,11.53,10.1
24,UTA 9411,,Guatemala,,IG,blue,M,456,591,0.228,221,81,48,8,8,5,5,6,7,2.5,1.333,0.958,17,17,17,8,8,10,10,1,1,2,2,8,2.5,10.36,7.89
25,UTA 6869,,Guatemala,,IG,blue,M,583,825,0.293,223,117,52,11,10,6,3,6,8,1.304,1.061,1.107,17,17,17,8,8,10,10,1,1,2,2,8,2.5,11.73,8.86
26,UTA 3081,,Mexico,San Luis Potos¡,IG,blue,M,414,574,0.279,219,111,49,9,8,8,4,6,5,1.444,1.591,1.25,17,17,17,8,8,10,10,1,1,2,2,8,2.3,9.43,8.21
27,UTA 53969,,Mexico,Yucatan,IG,blue,M,445,626,0.289,199,109,36,16,13,9,4,6,5,1.25,1.739,1.318,17,17,17,8,8,9,10,1,1,2,2,7,2.4,9.96,7.62
28,UTA 53412,,Mexico,Yucatan,IT,orange,M,542,802,0.324,244,159,41,15,13,8,4,5,7,1.111,1.185,1.227,17,17,17,9,9,11,10,1,1,2,2,6,2.9,10.65,7.56
32,UTA 44972,,Guatemala,,IG,blue,M,570,820,0.305,240,140,53,12,10,9,3,2,5,1.143,1.2,1.158,17,17,17,9,9,9,11,1,2,3,3,8,3.2,11.22,7.38
33,UTA 45922,,Guatemala,,IG,blue,F,548,755,0.274,221,132,47,11,13,9,3,3,5,1.625,1.741,1.214,17,17,17,8,8,9,9,1,1,2,1,7,2.8,11.14,7.67
34,UTA 28380,,Guatemala,,IG,blue,M,502,708,0.291,226,127,68,9,8,6,4,3,6,2.333,1.667,1.25,17,17,17,9,8,10,10,1,1,2,2,4,2.8,10.52,7.07
55,UTA 22807,JAC 13299,Guatemala,,IGL,lightblue,M,523,724,0.278,220,117,43,13,10,7,5,9,3,1.2,1.909,1.6,17,17,17,8,8,10,10,2,2,2,2,11,3.1,12.2,7.8
56,UTA 22806,ENS 510,Guatemala,,IG,blue,F,473,658,0.281,218,111,45,12,10,8,7,5,4,0.571,1.308,1,17,17,17,8,8,10,10,2,1,2,2,8,2.7,12.3,8.1
57,UTA 22170,ENS 239,Guatemala,,IG,blue,M,490,678,0.277,233,119,53,12,9,7,3,4,3,1.25,1.111,1,17,17,17,8,8,10,10,1,1,2,2,7,2.8,11.8,6.4
59,UTA 45922,JAC 20322,Guatemala,,IG,blue,F,547,762,0.282,220,110,47,12,11,9,3,3,15,1.25,1.615,1.25,17,17,17,8,8,9,9,1,1,2,1,7,2.9,13.4,7.4
60,UTA 28380,ENS 2342,Guatemala,,IG,blue,M,510,715,0.287,226,125,66,8,7,5,4,4,6,1.2,1.667,1.4,17,17,17,9,8,10,10,1,1,2,2,4,2.9,11.7,6.9
2,TCWC 54656,,Mexico,Jalisco,IGL,lightblue,F,509,728,0.301,234,135,57,10,4.5,5,2,2,2,1.667,1.524,1,17,17,15,7,9,9,9,1,1,2,2,6,2.5,9.9,6.83
3,UTA 53968,,Mexico,Guerrero,IGL,lightblue,F,634,903,0.298,237,133,84,11,6,4,1,2,2,1,1.114,1.108,17,17,17,8,9,10,8,1,1,2,2,9,2.8,10.98,9.02
4,BYU 23956,,Mexico,Jalisco,IGL,lightblue,F,413,579,0.287,233,133,51,17,7.5,6,2,2,2,1.05,1.083,1.154,17,17,17,8,8,9,9,1,1,1,1,3,2.4,9.28,6.36
5,BYU 23872,,Mexico,Jalisco,IGL,lightblue,F,451,641,0.296,227,123,52,7.5,6,5,1,2,3,0.955,1.103,0.962,17,17,17,8,8,9,9,1,1,2,2,5,2.5,9.76,6.94
6,UTA 53413,,Mexico,Nayarit,IGG,blue,M,414,597,0.307,219,135,50,9,9,9,7,3,4,1.5,1.125,1.182,17,17,17,9,8,9,9,1,2,2,2,6,2.4,9.16,6.44
7,UTA 53539,,Mexico,Nayarit,IGL,lightblue,F,478,653,0.268,214,100,37,25,15,11,3,3,4,1.583,1.063,0.938,17,17,15,9,8,9,9,1,1,2,2,6,2.5,9.36,7.47
8,UTA 53540,,Mexico,Nayarit,IGL,lightblue,M,378,533,0.291,220,119,50,16,12,6,3,1,4,1.2,0.957,0.84,17,17,15,8,8,9,10,1,1,2,2,6,2.2,8.74,5.86
12,UTA 51979,,Mexico,Sinaloa,IGL,lightblue,M,546,769,0.29,221,120,45,21,16,7,2,0,3,1.176,1.261,1,17,17,17,8,8,10,10,1,1,2,2,5,2.6,10.95,7.29
13,UTA 4376,,Mexico,Oaxaca,IGL,lightblue,M,421,589,0.285,215,123,44,23,13,6,3,2,3,1.235,1.25,1.211,17,17,15,8,8,9,9,1,1,2,2,7,2.3,9.42,6.37
14,UTA 4823,,Guatemala,Izabal,IGL,lightblue,F,376,519,0.276,218,117,49,22,12,6,2,3,3,0.955,1,1.045,17,17,15,8,8,9,9,1,1,2,2,7,2.2,7.94,5.73
46,JAC 30596,JAC 30596,Mexico,Sinaloa,IGL,lightblue,F,507,697,0.273,223,115,52,21,8,5,1,0,6,1.4,1.333,1.2,17,17,17,8,8,8,8,1,1,2,2,8,2.6,11.9,7.1
47,JAC 30044,JAC 30044,Mexico,colima,IGL,lightblue,F,528,751,0.297,241,140,70,11,8,5,3,2,2,1.333,1.167,1.25,17,17,15,8,8,9,9,2,1,1,1,8,2.5,12.1,6.75
48,JAC 30125,JAC 30125,Mexico,colima,IGL,lightblue,F,562,813,0.309,233,136,52,14,9,6,2,1,4,1.2,1.167,1.3,17,17,15,8,8,9,9,1,1,2,2,6,2.8,11.72,7
49,JAC 28264,JAC 28264,Mexico,colima,IG,blue,F,531,746,0.288,229,123,50,9,9,7,4,4,7,1.5,0.875,1.75,17,17,17,8,8,9,9,1,1,2,2,5,2.5,11.3,6.9
50,JAC 30596,JAC 30596,Mexico,Sinaloa,IGL,lightblue,F,507,697,0.273,223,115,52,21,8,5,1,0,6,1.4,1.333,1.2,17,17,17,8,8,8,8,1,1,2,2,8,2.6,11.87,7.08
51,JAC 30112,JAC 30112,Mexico,colima,IGL,lightblue,F,591,839,0.296,236,125,64,16,8,7,1,3,5,1.2,1.545,1.211,17,17,15,8,8,9,9,1,1,3,3,8,2.7,11.85,7.7
52,JAC 30619,JAC 30619,Mexico,colima,IGL,lightblue,F,484,686,0.294,234,135,65,12,9,6,2,2,4,1.2,1.25,1.5,17,17,17,8,8,9,9,1,2,2,2,7,2.6,10.9,7.35
58,UTA 4496,JAC 740,Mexico,Oaxaca,IGL,lightblue,F,533,754,0.293,210,111,34,14,15,11,3,7,7,1.571,1.5,1.333,17,17,17,8,8,10,10,1,2,2,2,9,2.8,13,7.2
61,UTA 45651,ENS 9865,Mexico,Oaxaca,IGL,lightblue,F,537,745,0.279,228,121,41,12,12,9,6,4,11,1,1.417,1.545,17,17,17,8,8,10,11,1,1,2,2,7,2.7,12.4,7.6
62,UTA 57663,JAC 28138,Mexico,colima,IGL,lightblue,M,440,644,0.317,225,144,57,16,9,6,0,1,1,1.2,1,1.083,17,17,17,8,8,9,10,2,2,3,3,9,2.5,10.8,7
63,UTA 57669,JAC 30299,Mexico,colima,IGL,lightblue,M,469,666,0.296,225,131,45,8,6,8,8,9,9,0.778,1.133,1.167,17,17,17,8,8,9,9,2,2,2,2,5,2.8,11.3,7.4
64,UTA 57668,JAC 30127,Mexico,colima,IGL,lightblue,F,439,609,0.279,230,128,58,14,9,6,1,3,2,1.2,1.111,1.222,17,17,15,8,8,9,9,2,2,2,2,8,2.5,10.4,6.2
65,UTA 57665,JAC 28150,Mexico,colima,IGL,lightblue,F,506,710,0.287,230,123,48,13,9,6,4,3,7,1,1.083,1,17,17,15,8,8,9,9,1,1,2,2,9,2.4,10.8,6.5
66,UTA 57671,JAC 30493,Mexico,colima,IGL,lightblue,M,534,782,0.317,234,137,58,12,11,7,2,2,1,1,1.083,1,17,17,15,9,8,10,10,1,1,2,3,8,2.8,11.1,6.7
67,UTA 57664,JAC 28141,Mexico,colima,IGL,lightblue,F,562,787,0.286,229,119,44,10,9,8,8,4,13,1.333,1.429,1.333,17,17,17,8,8,9,9,2,2,2,2,10,2.7,12.5,7.1
68,UTA 57667,JAC 30101,Mexico,colima,IGL,lightblue,M,530,768,0.31,232,134,66,14,7,6,1,1,2,1.167,1.2,1.182,17,17,15,8,8,10,9,1,1,2,2,6,3,11.4,7.1
69,UTA 57670,JAC 30469,Mexico,colima,IGL,lightblue,F,501,697,0.281,240,136,70,12,8,5,2,4,3,1,1,1.077,17,17,17,8,9,8,10,1,2,2,2,10,2.7,11.1,6.6
70,JAC 57661,JAC 28004,Mexico,colima,IGL,lightblue,M,410,581,0.294,225,129,51,14,12,7,2,2,2,1,1,1,17,17,15,8,9,10,9,1,2,1,2,9,2.8,10.2,6.4
74,UTA 58932,JAC 11589,Mexico,Jalisco,IGL,lightblue,M,411,584,0.296,221,120,64,14,11,7,0,0,1,1,1,1.167,17,17,13,8,8,8,8,1,1,2,2,6,2.3,10.2,6.5
76,UTA 58935,ENS 12062,Mexico,Oaxaca,IGL,lightblue,F,576,827,0.304,224,128,43,8,9,6,8,7,8,1.5,1.4,1.867,17,17,15,8,8,10,10,1,1,2,2,6,2.5,13.5,8.4
78,UTA 58922,ENS 10312,Mexico,Oaxaca,IGL,lightblue,F,541,766,0.294,224,126,46,12,9,7,5,5,8,1.143,1.385,1,17,17,17,8,8,11,10,1,1,2,2,7,2.8,13.6,7.4
79,UTA 58923,ENS 10347,Mexico,Oaxaca,IGL,lightblue,M,536,773,0.307,230,138,54,10,9,7,4,3,6,1.6,1.667,1.154,17,17,17,8,8,10,10,1,1,2,2,10,3.1,12.3,7.7
1,CAS 132196,,Mexico,Nayarit,IGO,green,M,563,681,0.173,220,128,51,9,10,4.5,3,5,3,1.381,1.5,0.955,17,17,17,8,9,10,10,1,1,2,2,8,2.7,10.91,8.18
17,UTA 52646,,Mexico,Oaxaca,IGO,green,M,626,888,0.295,229,128,55,11,8,6,3,3,4,1.5,2,1.083,17,17,15,9,8,10,11,1,1,2,3,8,3.3,11.69,8
20,UTA 53967,,Mexico,Jalisco,IGO,green,M,557,790,0.295,237,129,50,7,9,9,4,7,4,1.313,1.29,1.227,17,17,17,8,8,9,9,2,2,2,2,5,2.6,10.08,7.69
71,UTA 58924,JAC 25033,Mexico,Guerrero,IGP,yellow,M,628,915,0.314,245,143,39,16,13,12,5,3,5,1.167,1.273,1.182,17,17,17,8,8,10,10,2,2,2,2,9,3.3,12.7,8.1
72,UTA 58934,ENS 11972,Mexico,Guerrero,IGP,yellow,F,428,595,0.281,234,133,71,11,8,6,1,2,3,1,1,1,17,17,15,8,8,9,9,1,1,2,2,8,2.4,10.5,6.6
73,UTA 60237,JAC 27763,Mexico,Guerrero,IGP,yellow,F,427,598,0.286,246,138,78,21,6,5,2,3,1,1,1,1,17,17,15,8,8,8,9,1,1,2,3,9,2.4,10.5,6
75,UTA 58933,,Mexico,Michoacan,IGP,yellow,M,603,895,0.326,234,143,53,15,12,6,3,1,2,1.286,1.067,1,17,17,15,8,8,9,9,1,1,2,2,10,3.3,12.1,7.4
84,UTA 53970,JAC 24486,,,IT,orange,M,526,770,0.317,244,153,48,13,12,7,2,3,5,3,2.5,2.3,17,17,17,8,7,11,10,2,1,3,2,6,3.4,10.2,6.7
9,UTA 58924,JAC 25033,Mexico,Guerrero,UNK,black,M,628,918,0.316,246,143,41,19,15,12,3,3,5,1.316,1.296,1.038,17,17,15,8,8,10,10,2,2,2,2,8,3.2,11.18,8.32
53,JAC 30452,JAC 30452,Mexico,colima,UNK,black,F,520,711,0.269,226,117,45,10,8,6,7,6,12,3.167,1.5,1.375,17,17,17,9,8,9,9,2,2,2,2,7,2.7,12,8.02
54,JAC 30427,JAC 30427,Mexico,colima,UNK,black,F,399,569,0.299,231,133,58,12,9,6,4,3,4,1.5,1.2,1.3,17,17,15,8,8,9,9,2,2,2,2,8,2.5,10.4,6.14
