Higher taxonomic group,Order,Family,Genus,Species,femalediploidnumber,malediploidnumber,"Predicted ploidy (1,2,3,4)",reproductivemode,sexchromosome,"Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","Haplodiploidy (arrhenotoky,paternal genome elimination,other)","Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","Polyfactorial (yes,no)","Molecular basis (dosage,Y dominant,W dominant)",entry initials,entry name,entry email,"notes, comments",source: Chromosome number (female),source: Chromosome number (male),"source: Predicted ploidy (1,2,3,4)","source: Sexual system (hermaphrodite,monoecy,dioecy,gynodioecy,androdioecy,gynomonoecy,andromonoecy,polygamodioecy,polygamomonoecy,apomictic,other)","source: Karyotype (ZO,ZW,XY,XO,WO,homomorphic,complex XY,complex ZW)","source: Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","source: Haplodiploidy (arrhenotoky,paternal genome elimination,other)","source: Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","source: Polyfactorial (yes,no)","source: Molecular basis (dosage,Y dominant,W dominant)",citation
Amphibia,Anura,Bufonidae,Bufo,siculus,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Stock M. et al. (2011) J Evol Biol. 24: 1064-1070.,Stock M. et al. (2011) J Evol Biol. 24: 1064-1070.,Stock M. et al. (2011) J Evol Biol. 24: 1064-1070.,,,,,Stock M. et al. (2011) J Evol Biol. 24: 1064-1070.
Amphibia,Anura,Bufonidae,Bufo,viridis-1,,,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,"Ueda H. (1990) Sci Rep Lab Amphibian Biol., Hiroshima Univ. 10: 155-164.","Ueda H. (1990) Sci Rep Lab Amphibian Biol., Hiroshima Univ. 10: 155-164.",,,,,,"Ueda H. (1990) Sci Rep Lab Amphibian Biol., Hiroshima Univ. 10: 155-164."
Amphibia,Anura,Bufonidae,Bufo,viridis-2,,,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,"Ueda H. (1990) Sci Rep Lab Amphibian Biol., Hiroshima Univ. 10: 155-164.","Ueda H. (1990) Sci Rep Lab Amphibian Biol., Hiroshima Univ. 10: 155-164.",,,,,,"Ueda H. (1990) Sci Rep Lab Amphibian Biol., Hiroshima Univ. 10: 155-164."
Amphibia,Anura,Bufonidae,Bufo,viridis-3,,,,gonochorous,ZW,female heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,chromosome banding,,,,Odierna G. et al. (2007) J. Biosci. 32: 763-768.,Odierna G. et al. (2007) J. Biosci. 32: 763-768.,Odierna G. et al. (2007) J. Biosci. 32: 763-768.,,,,,Odierna G. et al. (2007) J. Biosci. 32: 763-768.
Amphibia,Anura,Bufonidae,Bufo,viridis-4,,,,gonochorous,XY,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,sex-linked markers,,,,Stock et al. (2013) J. Evol. Biol. 26:674-682,Stock et al. (2013) J. Evol. Biol. 26:674-682,Stock et al. (2013) J. Evol. Biol. 26:674-682,,,,,Stock et al. (2013) J. Evol. Biol. 26:674-682
Amphibia,Anura,Bufonidae,Chaunus,ssp,22,22,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Amaro-Ghilardi R.C. et al. (2008) Genetica 134: 159-168.,Amaro-Ghilardi R.C. et al. (2008) Genetica 134: 159-168.,,Amaro-Ghilardi R.C. et al. (2008) Genetica 134: 159-168.,Amaro-Ghilardi R.C. et al. (2008) Genetica 134: 159-168.,,,,,,Amaro-Ghilardi R.C. et al. (2008) Genetica 134: 159-168.
Amphibia,Anura,Bufonidae,Melanophryniscus,stelzneri,22,22,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,,,,,Baraquet M. et al. (2011) Biologia 66: 543-547.
Amphibia,Anura,Bufonidae,Rhinella,achalensis,22,22,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,,,,,Baraquet M. et al. (2011) Biologia 66: 543-547.
Amphibia,Anura,Bufonidae,Rhinella,arenarum,22,22,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,,,,,Baraquet M. et al. (2011) Biologia 66: 543-547.
Amphibia,Anura,Bufonidae,Rhinella,fernandezae,22,22,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,,,,,Baraquet M. et al. (2011) Biologia 66: 543-547.
Amphibia,Anura,Bufonidae,Rhinella,schneideri,22,22,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,Baraquet M. et al. (2011) Biologia 66: 543-547.,Baraquet M. et al. (2011) Biologia 66: 543-547.,,,,,,Baraquet M. et al. (2011) Biologia 66: 543-547.
Amphibia,Anura,Centronelidae,Centrolenella,anthistenesi,,,,gonochorous,XY,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,slight size difference,,,,"Schmid M., Steinlein C., Feichtinger W. (1989) Chromosoma 97: 434-438.","Schmid M., Steinlein C., Feichtinger W. (1989) Chromosoma 97: 434-438.","Schmid M., Steinlein C., Feichtinger W. (1989) Chromosoma 97: 434-438.",,,,,"Schmid M., Steinlein C., Feichtinger W. (1989) Chromosoma 97: 434-438."
Amphibia,Anura,Cycloramphidae,Proceratophrys,boiei,22,22,,gonochorous,ZW,female heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Ananias F. et al. (2007) Hereditas 144: 206-212.,Ananias F. et al. (2007) Hereditas 144: 206-212.,,Ananias F. et al. (2007) Hereditas 144: 206-212.,Ananias F. et al. (2007) Hereditas 144: 206-212.,Ananias F. et al. (2007) Hereditas 144: 206-212.,,,,,Ananias F. et al. (2007) Hereditas 144: 206-212.
Amphibia,Anura,Dendrobatidae,Adelphobates,castaneoticus,18,18,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,,,,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.
Amphibia,Anura,Dendrobatidae,Adelphobates,quinquevittatus,18,18,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,,,,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.
Amphibia,Anura,Dendrobatidae,Ameerega,galactonotus,18,18,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,,,,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.
Amphibia,Anura,Dendrobatidae,Ameerega,picta,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,,,,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.
Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,18,18,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,,,,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.
Amphibia,Anura,Dendrobatidae,Epipedobates,femoralis,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,,,,,Aguiar O. et al. (2002) Herpetology 58: 293-303.
Amphibia,Anura,Dendrobatidae,Epipedobates,flavopictus,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,,,,,Aguiar O. et al. (2002) Herpetology 58: 293-303.
Amphibia,Anura,Dendrobatidae,Epipedobates,hahneli,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,,,,,Aguiar O. et al. (2002) Herpetology 58: 293-303.
Amphibia,Anura,Dendrobatidae,Epipedobates,trivittattus,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,Aguiar O. et al. (2002) Herpetology 58: 293-303.,Aguiar O. et al. (2002) Herpetology 58: 293-303.,,,,,,Aguiar O. et al. (2002) Herpetology 58: 293-303.
Amphibia,Anura,Discoglossidae,Alytes,obstetricans,38,38,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.,,"Schmid M., Vitelli L., Batistoni R. (1987) Chromosoma 95: 271-284.","Schmid M., Vitelli L., Batistoni R. (1987) Chromosoma 95: 271-284.",,,,,,Rodrigues P.C. et al. (2011) J. Genet 90: 31-37.
Amphibia,Anura,Discoglossidae,Discoglossus,pictus,,,,gonochorous,ZW,female heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,heteromorphy only in some populations,,,,Morescalchi A. (1964) Caryologia 17: 327-345.,Morescalchi A. (1964) Caryologia 17: 327-345.,Morescalchi A. (1964) Caryologia 17: 327-345.,,,,,Morescalchi A. (1964) Caryologia 17: 327-345.
Amphibia,Anura,Hylidae,Aparasphenodon,brunoi,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,,,,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36."
Amphibia,Anura,Hylidae,Gastrotheca,ovifera,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.,,,,,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.
Amphibia,Anura,Hylidae,Gastrotheca,pseustes,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,C-banding,,,,"Schmid M. (1989) pp 37-56 in Wactel S.S. Evolutionary mechanisms of sex determination. CRC Press, Boca Raton.","Schmid M. (1989) pp 37-56 in Wactel S.S. Evolutionary mechanisms of sex determination. CRC Press, Boca Raton.","Schmid M. (1989) pp 37-56 in Wactel S.S. Evolutionary mechanisms of sex determination. CRC Press, Boca Raton.",,,,,"Schmid M. (1989) pp 37-56 in Wactel S.S. Evolutionary mechanisms of sex determination. CRC Press, Boca Raton."
Amphibia,Anura,Hylidae,Gastrotheca,riobambae,,,,gonochorous,XY,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,Y>X,,,,"Schmid M., Haaf T., Geile B., Sims S. (1983) Chromosoma 88: 69-82.","Schmid M., Haaf T., Geile B., Sims S. (1983) Chromosoma 88: 69-82.","Schmid M., Haaf T., Geile B., Sims S. (1983) Chromosoma 88: 69-82.",,,,,"Schmid M., Haaf T., Geile B., Sims S. (1983) Chromosoma 88: 69-82."
Amphibia,Anura,Hylidae,Gastrotheca,walkeri,,,,gonochorous,XY,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,Y<<X,,,,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.,,,,,Schmid M. et al. (2002) Cytogenet. Genome Res. 96: 228-238.
Amphibia,Anura,Hylidae,Hyla,arborea,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Berset-Brandli L. et al. (2006)  Mol. Biol. Evol. 23: 1104-1106.,Berset-Brandli L. et al. (2006)  Mol. Biol. Evol. 23: 1104-1106.,Berset-Brandli L. et al. (2006)  Mol. Biol. Evol. 23: 1104-1106.,,,,,Berset-Brandli L. et al. (2006)  Mol. Biol. Evol. 23: 1104-1106.
Amphibia,Anura,Hylidae,Hyla,femoralis,,,,gonochorous,XY,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,NOR on the X,,,,"Schmid M., Steinlein C. (2003) Cytogenet. Genome Res. 101: 74-79.","Schmid M., Steinlein C. (2003) Cytogenet. Genome Res. 101: 74-79.","Schmid M., Steinlein C. (2003) Cytogenet. Genome Res. 101: 74-79.",,,,,"Schmid M., Steinlein C. (2003) Cytogenet. Genome Res. 101: 74-79."
Amphibia,Anura,Hylidae,Hyla,japonica,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,"Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. ","Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. ","Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. ",,,,,"Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. "
Amphibia,Anura,Hylidae,Hyla,savignyi,,,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Anderson K. (1991) in DM Green & SK Session: Amphibian Cytogenetics and Evolution. Academic Press.,Anderson K. (1991) in DM Green & SK Session: Amphibian Cytogenetics and Evolution. Academic Press.,,,,,,Anderson K. (1991) in DM Green & SK Session: Amphibian Cytogenetics and Evolution. Academic Press.
Amphibia,Anura,Hylidae,Hyla,squirella,,,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Anderson K. (1991) in DM Green & SK Session: Amphibian Cytogenetics and Evolution. Academic Press.,Anderson K. (1991) in DM Green & SK Session: Amphibian Cytogenetics and Evolution. Academic Press.,,,,,,Anderson K. (1991) in DM Green & SK Session: Amphibian Cytogenetics and Evolution. Academic Press.
Amphibia,Anura,Hylidae,Hyla,versicolor,,,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,"Wiley, J.E., Little M.L. (2000) Cytogenet Cell Genet 88: 11_14.","Wiley, J.E., Little M.L. (2000) Cytogenet Cell Genet 88: 11_14.",,,,,,"Wiley, J.E., Little M.L. (2000) Cytogenet Cell Genet 88: 11_14."
Amphibia,Anura,Hylidae,Hypsiboas,polytaenius,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,,,,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36."
Amphibia,Anura,Hylidae,Itapotihyla,langsdorffii,24,24,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,,,,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36."
Amphibia,Anura,Hylidae,Phasmahyla,exilis,26,26,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,,,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36."
Amphibia,Anura,Hylidae,Phyllomedusa,rohdei,40,40,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.","Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36.",,,,,"Nunes R.R.A., Fagundes V. (2008) Boletim Museu Biologia Mello Leitao 23: 21-36."
